date,Cum_GWS_km3
4/30/2002,0
5/31/2002,-1.080836275
6/30/2002,-2.635381158
7/31/2002,-4.270888562
8/31/2002,-6.134023651
9/30/2002,-7.889452014
10/31/2002,-8.987923115
11/30/2002,-9.122178721
12/31/2002,-8.243992209
1/31/2003,-7.045388016
2/28/2003,-6.193087575
3/31/2003,-5.759267387
4/30/2003,-5.450430423
5/31/2003,-5.62943572
6/30/2003,-6.672500413
7/31/2003,-8.022543462
8/31/2003,-9.411976727
9/30/2003,-10.7124917
10/31/2003,-11.58042448
11/30/2003,-11.71197414
12/31/2003,-11.01418361
1/31/2004,-9.97656652
2/29/2004,-8.737447485
3/31/2004,-7.681309747
4/30/2004,-7.634743818
5/31/2004,-8.660364938
6/30/2004,-10.17705294
7/31/2004,-11.76629681
8/31/2004,-13.61399396
9/30/2004,-15.28283026
10/31/2004,-15.7624835
11/30/2004,-15.38025358
12/31/2004,-14.68059834
1/31/2005,-13.36717862
2/28/2005,-11.79090283
3/31/2005,-10.08911811
4/30/2005,-8.827410344
5/31/2005,-7.98839708
6/30/2005,-7.616164023
7/31/2005,-8.271161162
8/31/2005,-9.36227967
9/30/2005,-10.23299314
10/31/2005,-10.63591791
11/30/2005,-10.57695932
12/31/2005,-9.597589285
1/31/2006,-7.763794692
2/28/2006,-6.157471809
3/31/2006,-4.502736847
4/30/2006,-2.165342587
5/31/2006,-0.517287046
6/30/2006,-0.472505409
7/31/2006,-1.450265815
8/31/2006,-2.697170025
9/30/2006,-3.737381678
10/31/2006,-4.480778733
11/30/2006,-4.63208684
12/31/2006,-4.235304867
1/31/2007,-3.730796619
2/28/2007,-3.162013854
3/31/2007,-2.993828958
4/30/2007,-3.405362557
5/31/2007,-4.673054246
6/30/2007,-6.658642135
7/31/2007,-8.633661501
8/31/2007,-10.73714769
9/30/2007,-12.38012141
10/31/2007,-13.19911134
11/30/2007,-13.47567169
12/31/2007,-13.28266577
1/31/2008,-12.47684886
2/29/2008,-11.43750385
3/31/2008,-11.08078169
4/30/2008,-11.54301437
5/31/2008,-12.75025009
6/30/2008,-14.50180588
7/31/2008,-16.39137186
8/31/2008,-18.41947937
9/30/2008,-20.18662839
10/31/2008,-21.22394007
11/30/2008,-21.46888323
12/31/2008,-21.16513672
1/31/2009,-20.72194492
2/28/2009,-19.98418345
3/31/2009,-19.42819064
4/30/2009,-19.73192513
5/31/2009,-20.78669383
6/30/2009,-22.26143634
7/31/2009,-24.02956474
8/31/2009,-26.00568622
9/30/2009,-27.65006907
10/31/2009,-28.2799985
11/30/2009,-28.16649638
12/31/2009,-27.77389338
1/31/2010,-26.61268986
2/28/2010,-25.14934132
3/31/2010,-24.23034405
4/30/2010,-23.77635023
5/31/2010,-23.85073441
6/30/2010,-24.54496277
7/31/2010,-25.65649514
8/31/2010,-26.87341874
9/30/2010,-27.85737615
10/31/2010,-28.15525592
11/30/2010,-27.6683318
12/31/2010,-25.9802772
1/31/2011,-23.63051051
2/28/2011,-21.63470466
3/31/2011,-19.07716019
4/30/2011,-16.57409802
5/31/2011,-15.21615527
6/30/2011,-14.48275261
7/31/2011,-14.53078712
8/31/2011,-15.21707446
9/30/2011,-15.81885202
10/31/2011,-15.92637434
11/30/2011,-15.52484008
12/31/2011,-14.97059043
1/31/2012,-14.31722358
2/29/2012,-13.826017
3/31/2012,-13.60791216
4/30/2012,-13.35466946
5/31/2012,-14.0379838
