ElementID,SubRegion,Acres,centroid_x,centroid_y,aream2,x_centroid,y_centroid
1,1,922.955398,554119.1804,4496937.912,3735067.98,-122.36015,40.62149772
2,1,941.9131311,555771.3279,4498195.681,3811787.204,-122.3405065,40.63271822
3,1,1291.951208,557423.9293,4499845.912,5228341.042,-122.3208153,40.6474706
4,1,1350.291231,558885.7893,4501473.559,5464434.74,-122.3033742,40.66202964
5,1,661.2286164,560449.9865,4502572.441,2675897.273,-122.2847647,40.67181495
6,1,1406.793099,561757.6997,4501222.801,5693089.689,-122.2694261,40.65956084
7,1,1247.511234,563451.3412,4499543.037,5048498.848,-122.2495621,40.64430061
8,1,1038.66826,564595.489,4497818.202,4203341.318,-122.236208,40.62867524
9,1,1222.632239,566603.8937,4498705.591,4947817.129,-122.212368,40.63650916
10,1,498.7371121,551873.7944,4495543.28,2018317.485,-122.3868106,40.60907885
11,1,317.4174169,553049.8691,4495915.063,1284542.712,-122.3728782,40.61235313
12,1,432.7801981,553723.871,4495013.332,1751399.324,-122.3649879,40.60418673
13,1,676.4490564,555075.0845,4495567.946,2737492.208,-122.3489688,40.60909402
14,1,859.1441229,556613.5762,4496448.973,3476832.911,-122.3307047,40.61692656
15,1,643.8924672,558065.4897,4497110.142,2605740.366,-122.3134804,40.62278167
16,1,328.0632108,558191.3863,4498486.705,1327624.712,-122.3118641,40.63517296
17,1,727.9694032,559472.1099,4498105.691,2945987.655,-122.296757,40.63164946
18,1,1124.79924,560307.7224,4499536.5,4551901.027,-122.2867397,40.64447771
19,1,829.5781866,561984.902,4498148.993,3357183.812,-122.2670413,40.63185476
20,1,928.5666813,562950.6574,4496688.439,3757776.038,-122.2557685,40.61862517
21,1,689.6156429,563598.445,4494864.626,2790775.494,-122.2482949,40.60214656
22,1,648.6297701,564895.5019,4495854.268,2624911.551,-122.2328635,40.61096053
23,1,771.1380486,566503.2672,4496662.264,3120684.965,-122.2137741,40.61811113
24,1,442.8876773,567911.5742,4496608.843,1792302.841,-122.1971326,40.6175152
25,1,1086.712493,569230.9593,4497319.931,4397769.43,-122.1814579,40.62381096
26,1,1127.001396,568786.0976,4499287.237,4560812.837,-122.1865009,40.64156975
27,1,300.7286105,550759.17,4494868.05,1217005.509,-122.4000401,40.60306529
28,1,168.6344257,551398.8216,4494075.566,682439.3085,-122.3925448,40.59588694
29,1,266.1135739,552276.8249,4494273.208,1076923.426,-122.3821522,40.59761238
30,1,150.8542516,552954.0949,4494420.96,610485.4969,-122.3741358,40.5989002
31,1,181.2703678,553611.7864,4494003.256,733575.1521,-122.3663982,40.59509498
32,1,277.8819865,554464.714,4493604.293,1124548.502,-122.3563534,40.59144522
33,1,494.0997618,555678.1181,4494142.537,1999550.794,-122.3419672,40.59621299
34,1,790.01352,557269.4156,4494778.964,3197071.287,-122.323104,40.60183729
35,1,757.3304762,558763.3154,4495597.364,3064807.702,-122.3053715,40.60910492
36,1,758.7073489,560394.9814,4496727.365,3070379.708,-122.2859764,40.6191663
37,1,875.5218877,561299.25,4495570.639,3543111.374,-122.2753993,40.60867977
38,1,657.2074506,562065.9086,4494129.121,2659624.192,-122.2664798,40.59563738
39,1,808.0335562,562437.4281,4492580.737,3269995.786,-122.2622426,40.58166138
40,1,608.2448578,564067.0186,4493278.666,2461479.609,-122.242918,40.58782392
41,1,616.2552054,565439.7429,4494218.428,2493896.336,-122.2266006,40.59618196
42,1,693.6482382,566751.7209,4494849.834,2807094.828,-122.2110297,40.60176485
43,1,768.7649434,568411.0396,4495134.497,3111081.348,-122.1913884,40.6041933
44,1,848.1956965,570167.1807,4495599.751,3432526.202,-122.1705808,40.60823719
45,1,1433.405832,572172.1701,4495490.864,5800787.595,-122.1468961,40.60708376
46,1,663.4883313,572175.2094,4497586.477,2685042.015,-122.1466194,40.62596002
47,1,1314.558996,570838.2524,4498807.234,5319831.514,-122.1622883,40.63707224
48,1,173.0139642,550105.0567,4494139.311,700162.6723,-122.4078291,40.59654057
49,1,65.73019309,550763.9556,4493969.137,266000.6541,-122.400056,40.5949674
50,1,134.2790466,550937.0366,4493431.212,543408.0222,-122.3980541,40.59011089
51,1,45.90858139,551595.617,4493511.234,185785.4374,-122.3902652,40.59079097
52,1,73.13567456,552206.403,4493440.808,295969.5743,-122.3830534,40.5901182
53,1,108.2803184,552967.8608,4493384.907,438194.902,-122.3740601,40.58956624
54,1,40.48707284,553360.9316,4493151.883,163845.3707,-122.369435,40.58744185
55,1,66.59685158,553770.6447,4493182.483,269507.8965,-122.3645912,40.58769093
56,1,199.6401516,554112.5921,4492520.732,807915.0296,-122.3606075,40.58170741
57,1,382.4139083,555164.2459,4492653.062,1547574.181,-122.3481704,40.58282991
58,1,546.9078581,556538.2575,4493001.365,2213257.578,-122.3319047,40.58587468
59,1,633.1818023,558147.5007,4493350.622,2562395.843,-122.3128579,40.58890925
60,1,746.6971552,560077.8416,4493695.75,3021776.178,-122.2900151,40.59188005
61,1,321.5448887,559787.0405,4494707.151,1301245.998,-122.2933554,40.60101202
62,1,796.8210947,560570.8291,4492229.51,3224620.564,-122.2843304,40.57863619
63,1,625.8662478,560888.9943,4490650.598,2532790.844,-122.2807238,40.56438974
