Dat 	 	STORAGE_AF  	 	LK_EVAP_AF  
10/2000		799057	 	5330	 
11/2000		752144		1620	 
12/2000		724501		1210	 
01/2001		688298	 	1210	 
02/2001		690549	 	778	 
03/2001		729101	 	3970	 
04/2001		768463	 	5125	 
05/2001		794322	 	8192	 
06/2001		768463	 	12264	 
07/2001		722207	 	15965	 
08/2001		679007	 	14944	 
09/2001		662618	 	8864	 
10/2001		611963	 	4871	 
11/2001		619874	 	1488	 
12/2001		645732	 	1156	 
01/2002		692783	 	1169	 
02/2002		727949	 	778	 
03/2002		772222	 	4036	 
04/2002		837882	 	5373	 
05/2002		891835	 	8507	 
06/2002		909943	 	12948	 
07/2002		879771	 	17238	 
08/2002		834749	 	16108	 
09/2002		767994	 	9491	 
10/2002		718090	 	5181	 
11/2002		714669	 	1501	 
12/2002		760511	 	1230	 
01/2003		802618	 	1230	 
02/2003		786312	 	833	 
03/2003		841747	 	4120	 
04/2003		916431	 	5474	 
05/2003		1018457	 	8608	 
06/2003		1024201	 	13626	 
07/2003		976061	 	18139	 
08/2003		922686	 	16909	 
09/2003		869943	 	9937	 
10/2003		832584	 	5534	 
11/2003		792669	 	1666	 
12/2003		785607	 	1242	 
01/2004		720147	 	1236	 
02/2004		769637	 	817	 
03/2004		837882	 	4058	 
04/2004		911936	 	5474	 
05/2004		989690	 	8670	 
06/2004		990465	 	13448	 
07/2004		934236		17954	 
08/2004		855320	 	16663	 
09/2004		813597	 	9699	 
10/2004		813358	 	5387	 
11/2004		782324	 	1607	 
12/2004		763079	 	1228	 
01/2005		733949	 	1230	 
02/2005		751681	 	798	 
03/2005		817963		4058	 
04/2005		869453	 	5415	 
05/2005		998749	 	8793	 
06/2005		1014292	 	8509	
07/2005		961015	 	18692	
08/2005		870433	 	17217	
09/2005		808336	 	9818	
10/2005		777646		5349	
11/2005		802228		1604	
12/2005		913000	 	1254	
01/2006		939020		1313	
02/2006		961802		873	
03/2006		998000	 	4427	
04/2006		1080000	 	5831	
05/2006		1120000	 	9285	
06/2006		1090000	 	14078	
07/2006		1060000	 	18631	
08/2006		997000	 	18077	
09/2006		945000	 	10306	
10/2006		905000	 	5718	
11/2006		854000	 	1726	
12/2006		803000	 	1291	
01/2007		793000	 	1230	
02/2007		821000	 	889	
03/2007		872656		4181	
04/2007		920689		5355	
05/2007		945076		8731	
06/2007		934487		13210	
07/2007		881000	 	17524	
08/2007		829000	 	16233	
09/2007		797000	 	9521	
10/2007		763000		5288	
11/2007		725935		1607	
12/2007		710435		1660	
01/2008		729371		1200	
02/2008		738102		3106	
03/2008		778116		4015	
04/2008		821793		5236	
05/2008		879525		8362	
06/2008		901501		12853	
07/2008		889621		17217	
08/2008		839349		16356	
09/2008		757540		8973	
10/2008		713161		5226	
11/2008		706578		1604	
12/2008		706578		1093	
01/2009		730977		1168	
02/2009		769204		778	
03/2009		826350		4058	
04/2009		867274		5234	
05/2009		929712		8485	
06/2009		947098		12928	
07/2009		891597		17585	
08/2009		815094		16415	
09/2009		768502		8886	
10/2009		726622		8886	
11/2009		734421		1608	
12/2009		761265		1230	
01/2010		811274		1229	
02/2010		846844		833	
03/2010		882229		4243	
04/2010		932000	 	5533	
05/2010		1009119		8915	
06/2010		1062881		13685	
07/2010		1018224		18446	
08/2010		945076		17216	
09/2010		886908	 	9997	
10/2010		853149		5595	
11/2010		828031		1666	
12/2010		862000	 	1291	
01/2011		810559		1291	
02/2011		839590		777	
03/2011		915939		4181	
04/2011		981000	 	5653	
05/2011		1040000	 	8177	
06/2011		1120000	 	13745	
07/2011		1097201		18139	
08/2011		1049940		18262	
09/2011		996684		10473	
10/2011		984823		5841	
11/2011		942046		1785	
12/2011		917188		1353	
01/2012		935998		1475	
02/2012		956721		862	
03/2012		1015619		4427	
04/2012		1074285		5831	
05/2012		1111946		9285	
06/2012		1095597		14043	
07/2012		1051522		18077	
08/2012		1046252		17207	
09/2012		1009119		10472	
10/2012		947603		6025	
11/2012		930214		1785	
12/2012		981224		1353	
01/2013		940280		1353	
02/2013		927955		778	
03/2013		973279		4366	
04/2013		997976		5772	
05/2013		991778		8977	
06/2013		959006		13031	
07/2013		897534		17585	
08/2013		835008		16355	 
09/2013		822631		9580	
10/2013		798388		5411	
11/2013		804597		1666	
12/2013		804406		1229	
01/2014		790737		1230	
02/2014		822651		833	
03/2014		869067		4181	
04/2014		899796		5534	
05/2014		910000		8608	
06/2014		871270		12949	
07/2014		816766		17032	
08/2014		774528		15802	
09/2014		707182		9282	
10/2014		693028		5103	
11/2014		712024		1547	
12/2014		772776		1168	
01/2015		798428		1230	
02/2015		853149		833	
03/2015		876824		4243	
04/2015		885556		5533	
05/2015		895553		8546	
06/2015		869474		12912	
07/2015		819159		17032	
08/2015		755680		15864	
09/2015		701373		9223	
10/2015		685391		5103	
11/2015		702503		1547	
12/2015		736261		1168	
01/2016		791322		1230	
02/2016		833322		805	
03/2016		944824		4181	
04/2016		1020309		5712	
05/2016		1080668		9100	
06/2016		1090257		13924	
07/2016		1030499		19246	
08/2016		971489		17340	
09/2016		906718		10116	
10/2016		894810		5595	
11/2016		914192		1726	
12/2016		975327		1291	
01/2017		1022917		1353	
02/2017		1105506		889	
03/2017		1050731		4735	
04/2017		1051785		5950	
05/2017		1062351		9223	
06/2017		1104701		13686	
07/2017		1059178		18692	
08/2017		996167		18077	
09/2017		958000	 	10052	
10/2017		922941		5780	
11/2017		943308		1726	
12/2017		935746		1353	
01/2018		930214		1353	
02/2018		950386		889	
03/2018		1003152		4427	
04/2018		1076412		5831	
05/2018		1103629		9285	
06/2018		1094795		14043	
07/2018		1053368		18631	
08/2018		975583		17462	
09/2018		886908		10175	
10/2018		889621		5534	
11/2018		913943		1726	
12/2018		897782		1291	
01/2019		902990		1291	
02/2019		947351		1333	
03/2019		956214		4427	
04/2019		1029976		5712	
05/2019		1089458		9100	
