Dat 	 	STORAGE_AF	 
10/2000		1375500	 
11/2000		1368300	 
12/2000		1363800	
01/2001		1377200	 
02/2001		1450500	 
03/2001		1489001	
04/2001		1472400	 
05/2001		1430000	 
06/2001		1382800	 
07/2001		1336500	 
08/2001		1295100	 
09/2001		1264300	 
10/2001		1246029	
11/2001		1256641	
12/2001		1370307	
01/2002		1480410	
02/2002		1494817	
03/2002		1506826	
04/2002		1489376	
05/2002		1457142	
06/2002		1410696	
07/2002		1360728	
08/2002		1318643	
09/2002		1286775	
10/2002		1266247	
11/2002		1263976	
12/2002		1494817	
01/2003		1570778	
02/2003		1586498	
03/2003		1604405	
04/2003		1617750	
05/2003		1596312	
06/2003		1555501	
07/2003		1505888	
08/2003		1464569	
09/2003		1430888	
10/2003		1410696	
11/2003		1405396	
12/2003		1523988	
01/2004		1586305	
02/2004		1649058	
03/2004		1600738	
04/2004		1577672	
05/2004		1540093	
06/2004		1493879	
07/2004		1443440	
08/2004		1401009	
09/2004		1369584	
10/2004		1358565	
11/2004		1355900	 
12/2004		1434943	
01/2005		1530993	 
02/2005		1576140	
03/2005		1623756	
04/2005		1603632	
05/2005		1609434	
06/2005		1575374	
07/2005		1527580	
08/2005		1482277	
09/2005		1452128	
10/2005		1435313	
11/2005		1430888	
12/2005		1641052	
01/2006		1616976	
02/2006		1641443	
03/2006		1636777	
04/2006		1622395	
05/2006		1596120	
06/2006		1561407	
07/2006		1515501	
08/2006		1474623	
09/2006		1444734	
10/2006		1429418	
11/2006		1425744	
12/2006		1435682	
01/2007		1431807	
02/2007		1484703	 
03/2007		1484890	
04/2007		1458999	
05/2007		1421885	
06/2007		1374826	
07/2007		1326299	
08/2007		1275883	
09/2007		1243251	
10/2007		1231298	
11/2007		1222840	
12/2007		1219734	
01/2008		1334521	
02/2008		1400278	
03/2008		1396600	 
04/2008		1364885	
05/2008		1325763	
06/2008		1278869	
07/2008		1228709	
08/2008		1183477	
09/2008		1151049	
10/2008		1133316	
11/2008		1128827	
12/2008		1126999	
01/2009		1123009	
02/2009		1204803	
03/2009		1259260	
04/2009		1235785	
05/2009		1208920	
06/2009		1125566	
07/2009		1076971	
08/2009		1032918	
09/2009		1001530	
10/2009		992771	
11/2009		985910	
12/2009		984043	
01/2010		1115220	
02/2010		1166866	
03/2010		1209300	 
04/2010		1253436	
05/2010		1239639	
06/2010		1202739	
07/2010		1153190	
08/2010		1112435	
09/2010		1083443	
10/2010		1071321	
11/2010		1069548	
12/2010		1134795	
01/2011		1157185	
02/2011		1229851	
03/2011		1443490	
04/2011		1459560	
05/2011		1441121	
06/2011		1419492	
07/2011		1375105	
08/2011		1331878	
09/2011		1302315	
10/2011		1290184	
11/2011		1287905	
12/2011		1276015	
01/2012		1289132	
02/2012		1286328	
03/2012		1366497	
04/2012		1393276	
05/2012		1360409	
06/2012		1315561	
07/2012		1267829	
08/2012		1224029	
09/2012		1194273	
10/2012		1177928	
11/2012		1209362	
12/2012		1367751	
01/2013		1381933	
02/2013		1380315	
03/2013		1361125	
04/2013		1336145	
05/2013		1296507	
06/2013		1251880	
07/2013		1201891	
08/2013		1163858	
09/2013		1137274	
10/2013		1119977	
11/2013		1110143	
12/2013		1100833	
01/2014		1085550	
02/2014		1105403	
03/2014		1111780	 
04/2014		1110143	
05/2014		1073903	
06/2014		1025942	
07/2014		976122	
08/2014		937843	
09/2014		908936	
10/2014		892329	
11/2014		884895	
12/2014		1001206	
01/2015		1000276	
02/2015		1061665	
03/2015		1051085	
04/2015		1026575	
05/2015		990898	
06/2015		948997	
07/2015		903385	
08/2015		867017	
09/2015		838709	
10/2015		824438	
11/2015		816987	
12/2015		821569	
01/2016		891733	
02/2016		897998	
03/2016		1044695	
04/2016		1039436	
05/2016		1012209	
06/2016		972404	
07/2016		929174	
08/2016		891882	
09/2016		864518	
10/2016		863931	
11/2016		871140	
12/2016		930996	
01/2017		1331744	
02/2017		1587711	
03/2017		1562918	
04/2017		1555447	
05/2017		1535040	
06/2017		1502705	
07/2017		1458280	
08/2017		1422629	
09/2017		1394898	
10/2017		1374567	
11/2017		1374567	
12/2017		1367017	
01/2018		1386953	
02/2018		1383711	
03/2018		1433022	
04/2018		1437955	
05/2018		1411702	
06/2018		1372413	
07/2018		1329390	
08/2018		1290184	
09/2018		1262964	
10/2018		1242564	
11/2018		1240263	
12/2018		1242220	
01/2019		1340971	
02/2019		1625628	
03/2019		1577243	
04/2019		1553180	
05/2019		1550160	
06/2019		1517095	
07/2019		 	
08/2019		 	
09/2019		 	
