Dat 	 	STORAGE_AF	 
10/2000		663886	 
11/2000		623198	 
12/2000		601363	
01/2001		582232	
02/2001		612810	
03/2001		702022	 
04/2001		762304	 
05/2001		799276	 
06/2001		765926	
07/2001		659646	 
08/2001		563042	 
09/2001		538363	 
10/2001		504067	 
11/2001		507774	 
12/2001		597978	 
01/2002		658785	 
02/2002		704012	 
03/2002		758898	 
04/2002		810636	 
05/2002		816850	 
06/2002		751871	 
07/2002		647106	 
08/2002		559962	 
09/2002		532088	 
10/2002		494695	 
11/2002		492073	 
12/2002		615746	 
01/2003		729845	 
02/2003		732725	 
03/2003		783240	 
04/2003		895619	 
05/2003		961925	 
06/2003		911922	 
07/2003		789276	 
08/2003		667426	 
09/2003		638488	 
10/2003		606395	
11/2003		582890	
12/2003		630559	
01/2004		610559	
02/2004		684929	
03/2004		755583	
04/2004		781902	
05/2004		759636	
06/2004		693016	
07/2004		595306	
08/2004		517296	
09/2004		487350	
10/2004		457150	 
11/2004		440541	 
12/2004		458491	 
01/2005		513577	 
02/2005		575230	 
03/2005		735733	 
04/2005		839480	 
05/2005		938389	 
06/2005		914373	 
07/2005		806924	 
08/2005		734649	 
09/2005		708042	 
10/2005		674903	
11/2005		638414	
12/2005		836422	
01/2006		734384	
02/2006		759964	
03/2006		805695	
04/2006		899183	
05/2006		937447	
06/2006		899915	
07/2006		788282	
08/2006		722443	
09/2006		696553	
10/2006		668370	
11/2006		655089	
12/2006		687888	
01/2007		674620	
02/2007		744239	
03/2007		809782	
04/2007		856834	
05/2007		852806	
06/2007		804072	
07/2007		725698	
08/2007		656767	
09/2007		617540	
10/2007		585715	
11/2007		545297	
12/2007		528218	
01/2008		545463	
02/2008		575202	
03/2008		646484	
04/2008		695857	
05/2008		755556	
06/2008		719116	
07/2008		639565	
08/2008		567818	
09/2008		522525	
10/2008		488384	
11/2008		475970	
12/2008		460199	
01/2009		476213	
02/2009		575030	
03/2009		772971	
04/2009		817896	
05/2009		929339	
06/2009		860003	
07/2009		758088	
08/2009		652426	
09/2009		613539	
10/2009		586166	
11/2009		554042	
12/2009		546229	
01/2010		581557	
02/2010		615691	
03/2010		684245	
04/2010		807019	
05/2010		902823	
06/2010		923919	
07/2010		783914	
08/2010		664341	
09/2010		625263	
10/2010		618636	
11/2010		626021	
12/2010		737391	
01/2011		696669	
02/2011		689598	
03/2011		785677	
04/2011		883998	
05/2011		914374	
06/2011		955576	
07/2011		866097	
08/2011		730542	
09/2011		701244	
10/2011		688133	
11/2011		665965	
12/2011		643088	
01/2012		648858	
02/2012		650976	
03/2012		817167	
04/2012		930228	
05/2012		946445	
06/2012		895539	
07/2012		790090	
08/2012		675662	
09/2012		628020	
10/2012		588353	
11/2012		623424	
12/2012		793291	
01/2013		778658	
02/2013		774422	
03/2013		804629	
04/2013		835960	
05/2013		788113	
06/2013		738555	
07/2013		653914	
08/2013		577203	
09/2013		549808	
10/2013		504897	
11/2013		460880	 
12/2013		431288	
01/2014		404486	
02/2014		481008	
03/2014		600640	
04/2014		670314	
05/2014		644872	
06/2014		591279	
07/2014		512858	
08/2014		445395	
09/2014		418880	
10/2014		389977	
11/2014		389977	
12/2014		484892	
01/2015		502942	
02/2015		595707	
03/2015		601769	
04/2015		585744	
05/2015		558043	
06/2015		515357	
07/2015		462055	
08/2015		421546	
09/2015		396336	
10/2015		364043	
11/2015		343543	
12/2015		394648	
01/2016		582040	
02/2016		684630	
03/2016		816008	
04/2016		880655	
05/2016		901286	
06/2016		822324	
07/2016		740464	
08/2016		676992	
09/2016		644928	
10/2016		640400	 
11/2016		669160	
12/2016		775024	
01/2017		788639	
02/2017		780800	 
03/2017		805119	
04/2017		894738	
05/2017		941515	
06/2017		960490	
07/2017		835894	
08/2017		725850	
09/2017		691373	
10/2017		649657	
11/2017		714424	
12/2017		701927	
01/2018		758599	
02/2018		770402	
03/2018		868393	
04/2018		931726	
05/2018		888614	
06/2018		805076	
07/2018		724893	
08/2018		652221	
09/2018		619823	
10/2018		578256	
11/2018		552001	
12/2018		543268	
01/2019		651143	
02/2019		762286	
03/2019		804159	
04/2019		921424	
05/2019		948985	
06/2019		933366	
07/2019		 	
08/2019		 	
09/2019		 	
