Dat 	 	STORAGE_AF	 
10/2000		49584	
11/2000		45958	
12/2000		45555	
01/2001		65742	
02/2001		156608	
03/2001		212020	
04/2001		209076	
05/2001		181886	
06/2001		144654	
07/2001		108910	
08/2001		65742	
09/2001		47568	
10/2001		 	
11/2001		62504	
12/2001		183135	
01/2002		247206	 
02/2002		267185	 
03/2002		283765	
04/2002		279900	
05/2002		242945	
06/2002		191058	
07/2002		135592	
08/2002		86665	
09/2002		49988	
10/2002		34701	
11/2002		38314	
12/2002		233585	
01/2003		261165	
02/2003		292439	
03/2003		315142	
04/2003		327003	
05/2003		303758	
06/2003		255767	
07/2003		199002	
08/2003		153718	
09/2003		113000	
10/2003		87676	
11/2003		92570	
12/2003		213703	
01/2004		249774	
02/2004		367258	
03/2004		317336	
04/2004		305066	
05/2004		257081	
06/2004		204871	
07/2004		156105	
08/2004		102369	
09/2004		63716	
10/2004		55233	
11/2004		58464	
12/2004		114232	
01/2005		208000	
02/2005		265000	 
03/2005		314703	
04/2005		315580	
05/2005		317500	
06/2005		286366	
07/2005		226000	 
08/2005		183135	
09/2005		149633	
10/2005		132301	
11/2005		135730	
12/2005		275114	
01/2006		270000	
02/2006		314265	
03/2006		323921	
04/2006		323482	
05/2006		304560	
06/2006		264790	
07/2006		202000	
08/2006		155600	 
09/2006		128189	
10/2006		111773	 
11/2006		111750	 
12/2006		140122	
01/2007		142000	
02/2007		233585	
03/2007		251550	
04/2007		240700	
05/2007		215808	
06/2007		170256	
07/2007		125723	
08/2007		84013	
09/2007		51602	
10/2007		44348	
11/2007		40323	
12/2007		51602	
01/2008		188000	 
02/2008		285499	
03/2008		291300	 
04/2008		275546	
05/2008		232736	
06/2008		188553	
07/2008		148362	
08/2008		89714	
09/2008		54023	
10/2008		45555	
11/2008		44750	
12/2008		46360	
01/2009		45555	
02/2009		120800	
03/2009		168600	
04/2009		161564	
05/2009		154130	
06/2009		123673	
07/2009		90122	
08/2009		56040	
09/2009		33094	
10/2009		26690	
11/2009		22294	
12/2009		28290	
01/2010		184801	
02/2010		236557	
03/2010		285065	
04/2010		323921	
05/2010		290268	
06/2010		243794	
07/2010		179387	
08/2010		119979	
09/2010		90938	
10/2010		91346	
11/2010		97467	
12/2010		209497	
01/2011		235708	
02/2011		302014	
03/2011		382852	
04/2011		313388	
05/2011		285499	
06/2011		257910	
07/2011		198164	
08/2011		144242	
09/2011		109319	
10/2011		101961	
11/2011		99501	
12/2011		94202	
01/2012		118337	
02/2012		121621	
03/2012		124120	
04/2012		241664	
05/2012		213282	
06/2012		173575	
07/2012		127368	
08/2012		86862	
09/2012		61696	
10/2012		49181	
11/2012		78726	
12/2012		231038	
01/2013		241238	
02/2013		242942	
03/2013		253198	
04/2013		247206	
05/2013		211599	
06/2013		170670	
07/2013		122442	
08/2013		81571	
09/2013		50795	
10/2013		36307	
11/2013		28690	
12/2013		24290	
01/2014		21895	
02/2014		57656	
03/2014		86048	
04/2014		93386	
05/2014		73854	
06/2014		48400	
07/2014		23491	
08/2014		 	
09/2014		 	
10/2014		 	
11/2014		 	
12/2014		111773	
01/2015		116695	
02/2015		184385	
03/2015		181886	
04/2015		175650	
05/2015		150422	
06/2015		121210	
07/2015		87676	
08/2015		55637	
09/2015		35504	
10/2015		21895	
11/2015		17905	
12/2015		51198	
01/2016		178555	
02/2016		201097	
03/2016		320848	
04/2016		304630	
05/2016		264772	
06/2016		210338	
07/2016		152894	
08/2016		97876	
09/2016		59676	
10/2016		65337	
11/2016		68986	
12/2016		146302	
01/2017		336257	
02/2017		418684	
03/2017		315580	
04/2017		324801	
05/2017		292874	
06/2017		247634	
07/2017		189805	
08/2017		142594	
09/2017		111364	
10/2017		90938	 
11/2017		97059	
12/2017		92571	
01/2018		123263	
02/2018		122852	
03/2018		169842	
04/2018		204030	
05/2018		187718	
06/2018		176218	
07/2018		108501	
08/2018		77102	
09/2018		52005	
10/2018		39117	
11/2018		43140	
12/2018		53619	
01/2019		188135	
02/2019		415538	
03/2019		353058	
04/2019		315580	
05/2019		312949	
06/2019		271229	
07/2019		 	
08/2019		 	
09/2019		 	
