Dat 	 	STORAGE_AF	 
10/2000		316580	
11/2000		315790	
12/2000		314220	
01/2001		296400	
02/2001		280820	
03/2001		268330	
04/2001		270260	
05/2001		260870	
06/2001		235145	
07/2001		221450	
08/2001		208400	
09/2001		194790	
10/2001		204650	
11/2001		191780	
12/2001		202560	
01/2002		239450	
02/2002		233800	
03/2002		271730	
04/2002		295890	
05/2002		280830	
06/2002		286050	
07/2002		263970	
08/2002		247470	
09/2002		237620	
10/2002		250020	
11/2002		248862	
12/2002		262305	
01/2003		282800	
02/2003		305630	
03/2003		303830	
04/2003		312130	
05/2003		356870	
06/2003		376860	
07/2003		324250	
08/2003		287050	
09/2003		278840	
10/2003		289312	
11/2003		282310	
12/2003		289877	 
01/2004		310040	
02/2004		316840	
03/2004		350780	
04/2004		357420	
05/2004		307970	
06/2004		283740	
07/2004		264700	
08/2004		250720	
09/2004		242630	
10/2004		250720	
11/2004		243550	
12/2004		254230	
01/2005		307452	
02/2005		336580	
03/2005		371740	
04/2005		372590	
05/2005		397400	
06/2005		406540	
07/2005		367792	
08/2005		327180	
09/2005		294870	
10/2005		310040	
11/2005		305380	
12/2005		331480	
01/2006		264940	
02/2006		265180	
03/2006		340100	
04/2006		355480	
05/2006		380580	
06/2006		394760	
07/2006		356040	
08/2006		340100	
09/2006		304340	
10/2006		313430	
11/2006		311870	 
12/2006		322390	
01/2007		318950	
02/2007		307450	
03/2007		305380	
04/2007		288560	
05/2007		266870	
06/2007		252350	
07/2007		230450	
08/2007		219480	
09/2007		213630	
10/2007		213950	
11/2007		211560	
12/2007		199270	
01/2008		200860	
02/2008		206880	
03/2008		210980	
04/2008		200140	
05/2008		175758	
06/2008		162910	
07/2008		150660	
08/2008		150490	
09/2008		145770	
10/2008		145000	
11/2008		138560	
12/2008		137200	
01/2009		141640	
02/2009		156580	
03/2009		202460	
04/2009		230340	
05/2009		318090	
06/2009		330250	
07/2009		329580	
08/2009		329540	
09/2009		322320	
10/2009		289310	
11/2009		281380	
12/2009		278470	
01/2010		286420	
02/2010		303945	
03/2010		325780	
04/2010		350230	
05/2010		352370	
06/2010		392500	
07/2010		362030	
08/2010		339490	
09/2010		317630	
10/2010		280880	
11/2010		266860	
12/2010		245900	
01/2011		246360	
02/2011		288930	
03/2011		326970	
04/2011		292720	
05/2011		306670	
06/2011		409730	
07/2011		394470	
08/2011		340240	
09/2011		307840	
10/2011		273430	
11/2011		250600	
12/2011		255110	
01/2012		250020	
02/2012		240570	
03/2012		228450	
04/2012		251240	
05/2012		292840	
06/2012		293860	
07/2012		278840	
08/2012		269650	
09/2012		261280	
10/2012		258300	
11/2012		254580	
12/2012		292460	
01/2013		314610	
02/2013		336440	
03/2013		343510	
04/2013		331190	
05/2013		307970	
06/2013		290950	
07/2013		276680	
08/2013		263850	
09/2013		256470	
10/2013		251650	
11/2013		244640	
12/2013		228890	
01/2014		213630	
02/2014		202300	
03/2014		191020	
04/2014		173850	
05/2014		151400	
06/2014		142140	
07/2014		138730	
08/2014		133340	
09/2014		134030	
10/2014		132820	
11/2014		122110	
12/2014		136897	
01/2015		131820	
02/2015		126960	
03/2015		115590	
04/2015		102800	
05/2015		102700	
06/2015		89070	
07/2015		83330	
08/2015		81940	
09/2015		99780	
10/2015		117650	
11/2015		105960	
12/2015		96495	
01/2016		90100	
02/2016		110520	
03/2016		184240	
04/2016		240340	
05/2016		291450	
06/2016		329110	
07/2016		309460	
08/2016		298890	
09/2016		289310	
10/2016		282740	
11/2016		279760	
12/2016		290637	
01/2017		270560	
02/2017		395640	
03/2017		303120	
04/2017		283120	
05/2017		291140	
06/2017		400419	
07/2017		374160	
08/2017		356040	
09/2017		333140	
10/2017		297040	
11/2017		289112	
12/2017		303484	
01/2018		316060	
02/2018		302893	
03/2018		336378	
04/2018		383055	
05/2018		386770	
06/2018		380870	
07/2018		362590	
08/2018		347680	
09/2018		337460	
10/2018		306020	
11/2018		297313	
12/2018		306008	
01/2019		318750	
02/2019		308100	
03/2019		308740	
04/2019		326240	
05/2019		345420	
06/2019		393890	
07/2019		 	
08/2019		 	
09/2019		 	
