Dat 	 	STORAGE_AF 	 
10/2000		1655000	 
11/2000		1643000	 
12/2000		1631000	 
01/2001		1643000	 
02/2001		1651000	 
03/2001		1679000	 
04/2001		1673000	 
05/2001		1650000	 
06/2001		1528000	 
07/2001		1384000	 
08/2001		1267000	 
09/2001		1198000	 
10/2001		1146000	 
11/2001		1152882	
12/2001		1260000	 
01/2002		1396748	
02/2002		1471223	
03/2002		1527000	 
04/2002		1538170	
05/2002		1573036	
06/2002		1566000	 
07/2002		1425187	
08/2002		1315000	 
09/2002		1254000	 
10/2002		1214788	
11/2002		1246628	
12/2002		1299230	
01/2003		1374504	
02/2003		1414349	
03/2003		1434000	 
04/2003		1510000	 
05/2003		1675000	 
06/2003		1842697	
07/2003		1698184	
08/2003		1571971	
09/2003		1515000	 
10/2003		1441066	
11/2003		1445000	 
12/2003		1480000	 
01/2004		1538170	
02/2004		1619000	 
03/2004		1680000	 
04/2004		1687000	 
05/2004		1697054	
06/2004		1677941	
07/2004		1525000	
08/2004		1396748	
09/2004		1331765	
10/2004		1291000	 
11/2004		1323000	 
12/2004		1379000	 
01/2005		1572000	 
02/2005		1659000	 
03/2005		1703000	 
04/2005		1638000	 
05/2005		1901000	 
06/2005		2007000	 
07/2005		1943000	 
08/2005		1767000	 
09/2005		1676000	 
10/2005		1635000	 
11/2005		1620000	 
12/2005		1707000	 
01/2006		1664000	 
02/2006		1647000	 
03/2006		1696000	 
04/2006		1829000	 
05/2006		1882000	 
06/2006		2003000	 
07/2006		1934620	
08/2006		1770484	
09/2006		1667000	 
10/2006		1611760	 
11/2006		1597000	 
12/2006		1599851	
01/2007		1607000	 
02/2007		1644000	 
03/2007		1641278	
04/2007		1609590	
05/2007		1611760	
06/2007		1524598	
07/2007		1400645	
08/2007		1301072	
09/2007		1266000	 
10/2007		1239501	
11/2007		1221812	
12/2007		1221812	
01/2008		1290962	
02/2008		1367788	
03/2008		1363961	
04/2008		1385108	
05/2008		1344952	
06/2008		1347790	
07/2008		1223572	
08/2008		1110427	
09/2008		1053229	
10/2008		1026576	
11/2008		1035928	
12/2008		1045000	
01/2009		1098972	
02/2009		1199959	
03/2009		1346844	
04/2009		1419267	
05/2009		1716331	
06/2009		1761177	
07/2009		1629000	 
08/2009		1513185	
09/2009		1443060	
10/2009		1413366	
11/2009		1406506	
12/2009		1427165	
01/2010		1490556	
02/2010		1552889	
03/2010		1645686	
04/2010		1744978	
05/2010		1902345	
06/2010		2009383	
07/2010		1903600	
08/2010		1755379	
09/2010		1660075	
10/2010		1643481	
11/2010		1665634	
12/2010		1716331	
01/2011		1624829	
02/2011		1639078	
03/2011		1726603	
04/2011		1583721	
05/2011		1722032	
06/2011		1917201	
07/2011		2015820	
08/2011		1780998	
09/2011		1632490	
10/2011		1581579	
11/2011		1579440	
12/2011		1576236	
01/2012		1525639	
02/2012		1514220	
03/2012		1522518	
04/2012		1652315	
05/2012		1672350	
06/2012		1577303	
07/2012		1430135	
08/2012		1301995	
09/2012		1223572	
10/2012		1183542	
11/2012		1189871	
12/2012		1327080	
01/2013		1372582	
02/2013		1398696	
03/2013		1408463	
04/2013		1471223	
05/2013		1473223	
06/2013		1389949	
07/2013		1252889	
08/2013		1135262	
09/2013		1077149	
10/2013		1024248	
11/2013		1026576	
12/2013		1033585	
01/2014		1043767	
02/2014		1057893	
03/2014		1083592	
04/2014		1080367	
05/2014		1077149	
06/2014		1005000	
07/2014		898270	
08/2014		819600	
09/2014		777390	
10/2014		756483	
11/2014		756483	
12/2014		793802	
01/2015		826912	
02/2015		871714	
03/2015		893331	
04/2015		843016	
05/2015		826246	
06/2015		755855	
07/2015		693656	
08/2015		651153	
09/2015		644340	
10/2015		642079	
11/2015		648309	
12/2015		706771	
01/2016		818278	
02/2016		944356	
03/2016		1218296	
04/2016		1363197	
05/2016		1533984	
06/2016		1562408	
07/2016		1460118	
08/2016		1366830	
09/2016		1318678	
10/2016		1324275	
11/2016		1358237	
12/2016		1514842	
01/2017		1795091	
02/2017		2002962	
03/2017		1760016	
04/2017		1641278	
05/2017		1770484	
06/2017		1980359	
07/2017		1992721	
08/2017		1797448	
09/2017		1699313	
10/2017		1598772	
11/2017		1623082	
12/2017		1643041	
01/2018		1665634	
02/2018		1667862	
03/2018		1783543	
04/2018		1878309	
05/2018		1902345	
06/2018		1845103	
07/2018		1708374	
08/2018		1590158	
09/2018		1505957	
10/2018		1402596	
11/2018		1404745	
12/2018		1428946	
01/2019		1498755	
02/2019		1660075	
03/2019		1641278	
04/2019		1700444	
05/2019		1855959	
06/2019		1963504	
07/2019		 	
08/2019		 	
09/2019		 	
