Dat 	 	STORAGE_AF 	 	LK_EVAP_AF 	 	DC_PUMP_CFS 	 
10/2000		579500		434		4788	
11/2000		560900	 	655		3187	
12/2000		532900		837		2925	
01/2001		491800	 	1099		2828	
02/2001		524600	 	684		2331	
03/2001		602195		1704		3319	
04/2001		667500	 	1902		4251	
05/2001		695800	 	4590		7431	
06/2001		586100	 	4598		9577	
07/2001		488900	 	4594		10482	
08/2001		430500	 	3562		8234	
09/2001		367600	 	2725		6979	
10/2001		287404		1726		5916	
11/2001		261932		995	 	3655	
12/2001		337281		800	 	3087	
01/2002		481044		570	 	3219	
02/2002		602372		680	 	3008	
03/2002		720553		1051		3416	
04/2002		759131		3662		4812	
05/2002		822211		5736		6951	
06/2002		766500		8894		8460	
07/2002		610358		7379		9393	
08/2002		546701		6637		8322	
09/2002		509754		7260		7450	
10/2002		456772		2614		5956	
11/2002		446483		1317		3294	
12/2002		537546		389		2630	
01/2003		601048		444		2795	
02/2003		531361		1214		2683	
03/2003		619747		2069		3760	
04/2003		830606		2065		3787	
05/2003		962364		4826		6048	
06/2003		923969		6920		10026	
07/2003		800125		7658		10681	
08/2003		699947		5391		8179	
09/2003		658100		4407		7720	
10/2003		561872		3013		6543	
11/2003		498994		952		3209	
12/2003		532500		458		2726	
01/2004		554000		238		2336	
02/2004		617300		869		2194	
03/2004		706553		2600		3362	
04/2004		630205		4969		5044	
05/2004		634746		3884		7412	
06/2004		565029		5875		7856	
07/2004		430309		5633		8642	
08/2004		390008		4146		8006	
09/2004		376439		3646		7438	
10/2004		355407		1956		6331	
11/2004		326481		732		3364	
12/2004		391157		589		2971	
01/2005		583360		607		2670	
02/2005		609202		910		2689	
03/2005		673908		2247		3196	
04/2005		830086		3164		4071	
05/2005		959148		4185		5432	
06/2005		932812		5280		7642	
07/2005		847402		7752		9396	
08/2005		743110		7022		9284	
09/2005		652327		4076		7865	
10/2005		566821		2811		6299	
11/2005		516683		1323		4346	
12/2005		648549		1224		3279	
01/2006		425054		674		2924	
02/2006		445373		928		2775	
03/2006		710214		1845		2868	
04/2006		766500		2348		3191	
05/2006		927571		5246		7187	
06/2006		919072		7125		8670	
07/2006		819628		8418		9414	
08/2006		733596		6274		9540	
09/2006		638842		3866		8529	
10/2006		537961		2057		6643	
11/2006		487700		609		4112	
12/2006		481588		504		3655	
01/2007		468362		859		3715	
02/2007		589367		748		3135	
03/2007		693272		2122		4034	
04/2007		739574		3035		5131	
05/2007		787214		4681		6472	
06/2007		655931		4796		7959	
07/2007		489539		4526		8637	
08/2007		375647		3848		8284	
09/2007		323046		2410		6863	
10/2007		284151		1287		4900	
11/2007		237321		740		3966	
12/2007		222474		381		3376	
01/2008		277762		407		3096	
02/2008		371436		756		2950	
03/2008		451461		1642		4710	
04/2008		536798		2834		6339	
05/2008		617057		3943		8037	
06/2008		472791		4810		8662	
07/2008		348372		3699		9109	
08/2008		300287		3186		9094	
09/2008		269825		2283		7707	
