Dat 	 	STORAGE_AF  	 	RAIN_IN	  
10/2000		259800	 	3.69	
11/2000		234600	 	1.31	
12/2000		215800	 	1.48	
01/2001		201400	 	5.62	
02/2001		177600	 	5.03	
03/2001		189500	 	2.97	
04/2001		215300	 	5.41	
05/2001		353700	 	0.00	
06/2001		348000	 	0.00	
07/2001		320500	 	1.44	
08/2001		285400	 	0.00	
09/2001		252800	 	0.41	
10/2001		222000	 	1.17	
11/2001		202800	 	7.22	
12/2001		192300	 	9.14	
01/2002		146300	 	2.78	
02/2002		124500	 	2.14	
03/2002		114600	 	3.57	
04/2002		179800	 	2.06	
05/2002		311100	 	2.55	 
06/2002		359900	 	0.00	
07/2002		337900	 	0.00	
08/2002		302000	 	0.00	
09/2002		268400	 	0.26	
10/2002		241600	 	0.00	
11/2002		244200	 	6.17	
12/2002		238300	 	9.16	 
01/2003		238500	 	0.96	 
02/2003		234700	 	2.25	
03/2003		241400	 	2.87	
04/2003		237500	 	10.27	
05/2003		361000	 	3.13	
06/2003		359600	 	0.00	
07/2003		346100	 	0.32	 
08/2003		316900	 	0.98	 
09/2003		284200	 	0.08	 
10/2003		256100	 	0.01	
11/2003		236365		3.12	 
12/2003		253000	 	9.66	
01/2004		248128		2.54	
02/2004		229800	 	8.86	
03/2004		230700	 	1.84	
04/2004		262900	 	0.46	 
05/2004		361800	 	0.86	
06/2004		356420		0.00	 
07/2004		336900	 	0.00	
08/2004		302900	 	0.00	
09/2004		269800	 	0.13	
10/2004		246800	 	8.52	
11/2004		241600	 	2.42	
12/2004		238500	 	5.55	
01/2005		249600	 	10.77	
02/2005		226300	 	6.04	
03/2005		191000	 	8.62	
04/2005		185200	 	3.23	
05/2005		284900	 	5.69	
06/2005		361400	 	0.79	
07/2005		355100	 	0.00	
08/2005		330500	 	0.66	
09/2005		299000	 	0.04	
10/2005		267500	 	1.10	
11/2005		240430		2.00	 
12/2005		268500	 	13.97	
01/2006		268700	 	9.19	 
02/2006		262600	 	4.00	
03/2006		213000	 	10.25	
04/2006		199000	 	9.51	 
05/2006		302200	 	0.92	
06/2006		354700	 	0.23	
07/2006		358300	 	0.24	
08/2006		332700	 	0.00	
09/2006		301800	 	0.00	
10/2006		270800	 	1.03	
11/2006		249200	 	2.86	
12/2006		230700	 	3.84	
01/2007		219000	 	1.46	
02/2007		224700	 	7.04	
03/2007		253500	 	1.87	
04/2007		302100	 	2.57	
05/2007		361000	 	1.25	
06/2007		351900	 	0.00	
07/2007		324900	 	0.21	
08/2007		294000	 	0.13	
09/2007		262700	 	0.83	
10/2007		232900	 	0.95	
11/2007		204200	 	0.64	
12/2007		179256		4.39	
01/2008		169968		9.97	
02/2008		168044		7.10	
03/2008		164196		0.70	
04/2008		166500	 	0.16	
05/2008		317200		1.79	
06/2008		357602		0.00	
07/2008		342576		0.00	
08/2008		308200		0.00	
09/2008		275850		0.00	
10/2008		245549		1.91	
11/2008		240260		3.94	
12/2008		224345		4.76	
01/2009		243100	 	6.09	
02/2009		236196		6.20	
03/2009		243668		4.86	
04/2009		286350		2.00	 
05/2009		348600		5.24	 
06/2009		360360		0.85	
07/2009		349770		0.00	
08/2009		319790		0.45	
09/2009		291840		0.04	
10/2009		282348		3.45	
11/2009		264312		0.59	 
12/2009		252966		5.68	
01/2010		268193		6.96	 
02/2010		272454		5.90	
03/2010		263256		4.61	
04/2010		265368		6.25	
05/2010		205400	 	3.16	
06/2010		350355		0.01	
07/2010		354500	 	0.00	
08/2010		321500	 	0.10	
09/2010		292760	 	0.00	
10/2010		319412		8.53	 
11/2010		314130		7.85	 
12/2010		299025		14.64	
01/2011		284348		2.40	
02/2011		237379		5.54	
03/2011		209361		13.14	
04/2011		239240		1.81	
05/2011		254700	 	3.21	
06/2011		345600	 	3.56	
07/2011		363200	 	0.00	
08/2011		352500		0.08	
09/2011		331978		1.99	
10/2011		317711		2.34	
11/2011		300505		1.82	
12/2011		290010		0.00	
01/2012		285300		5.49	 
02/2012		274237		1.26	 
03/2012		280000		5.44	
04/2012		334282		4.99	 
05/2012		358784		0.04	
06/2012		350355		0.79	
07/2012		321302		0.01	
08/2012		288546		0.15	
09/2012		259755		0.03	
10/2012		234176		0.82	
11/2012		220068		7.76	
12/2012		240700	 	12.20	
01/2013		248816		1.04	 
02/2013		250371		0.60	
03/2013		242813		3.91	
04/2013		281400	 	1.59	 
05/2013		349185		0.92	
06/2013		360163		0.39	T
07/2013		332746		0.00	
08/2013		296624		0.00	
09/2013		264840		0.77	
10/2013		237210		1.18	
11/2013		216312		1.11	
12/2013		198416		1.08	
01/2014		190990		1.89	
02/2014		184880		6.08	
03/2014		187160		4.74	
04/2014		249506		3.55	
05/2014		341800		0.26	
06/2014		350940		0.20	
07/2014		326440		1.54	
08/2014		301990		0.01	
09/2014		278910		0.51	
10/2014		259230		0.22	
11/2014		237886		3.57	
12/2014		233000		4.74	
01/2015		232832		0.00	
02/2015		249160		4.12	
03/2015		250544		0.76	
04/2015		262205		4.01	
05/2015		319412		3.01	
06/2015		339865		0.64	
07/2015		324340		1.69	
08/2015		299395		0.00	
09/2015		273166		0.08	
10/2015		262380		2.87	
11/2015		261680		3.86	
12/2015		260105		8.13	
01/2016		281443		9.14	
02/2016		255742		1.59	
03/2016		255046		7.77	
04/2016		280538		3.36	
05/2016		294200	 	0.55	
06/2016		361548		2.44	
07/2016		347625		0.00	
08/2016		316388		0.00	
09/2016		285986		0.05	
10/2016		309819		6.47	
11/2016		313942		2.60	
12/2016		320168		7.66	
01/2017		311315		19.03	
02/2017		310567		16.20	
03/2017		285076		5.02	
04/2017		282892		5.62	
05/2017		274595		0.49	
06/2017		342964		0.14	
07/2017		359769		0.00	
08/2017		353480		0.00	
09/2017		334858		1.84	
10/2017		315258		0.59	
11/2017		327199		6.17	
12/2017		318467		0.35	
01/2018		317144		4.45	
02/2018		288546		0.96	
03/2018		287814		15.26	
04/2018		324720		3.73	
05/2018		349965		0.18	
06/2018		359966		0.00	
07/2018		343934		0.09	
08/2018		316766		0.00	
09/2018		293312		0.20	
10/2018		273879		0.57	
11/2018		257134		6.96	
12/2018		245720		2.13	
01/2019		259230		5.65	
02/2019		297545		12.97	
03/2019		272632		5.46	
04/2019		283802		1.60	
05/2019		236027		5.62	
06/2019		346845		0.00	
07/2019		 		0.00	
08/2019		 		 	
09/2019		 		 	
