Dat 	 	STORAGE_AF 	 	LK EVAP_AF
10/2000		627900	 	1550	
11/2000		602500	 	1000	
12/2000		592400	 	600	
01/2001		588400	 	500	
02/2001		603400	 	700	
03/2001		661500	 	1300	
04/2001		687400	 	1600	
05/2001		771500	 	2600	
06/2001		689300	 	3250	
07/2001		581100	 	3850	
08/2001		487900	 	3300	
09/2001		440500	 	2200	
10/2001		385679		1550	
11/2001		366900	 	1000	
12/2001		389100	 	600	
01/2002		416900	 	500	
02/2002		436400	 	700	
03/2002		459500	 	1300	
04/2002		527400	 	1600	
05/2002		592000	 	2600	
06/2002		572200	 	3250	
07/2002		471987		3850	
08/2002		386800	 	3300	
09/2002		332652		2200	
10/2002		286600	 	1550	
11/2002		301200	 	1000	
12/2002		318300	 	600	
01/2003		346100	 	500	
02/2003		365800	 	700	
03/2003		385400	 	1300	
04/2003		434400	 	1600	
05/2003		584600	 	2600	
06/2003		661400	 	3250	
07/2003		575500	 	3850	
08/2003		496000	 	3300	
09/2003		444400	 	2200	
10/2003		393963		1550	
11/2003		381700	 	1000	
12/2003		387000	 	600	
01/2004		403000	 	500	
02/2004		444600	 	700	
03/2004		532800	 	1300	
04/2004		576000	 	1600	
05/2004		576500	 	2600	
06/2004		521600	 	3250	
07/2004		420301		3850	
08/2004		334362		3300	
09/2004		279626		2200	
10/2004		262000	 	1550	
11/2004		268000	 	1000	
12/2004		292000	 	600	
01/2005		475000	 	500	
02/2005		565000	 	700	
03/2005		683000	 	1300	
04/2005		640000	 	1600	
05/2005		878000	 	2600	
06/2005		996000	 	3250	
07/2005		948000	 	3850	
08/2005		824940		3300	
09/2005		731000	 	2200	
10/2005		677676		1550	
11/2005		666738		1000	
12/2005		684000	 	600	
01/2006		666789		500	
02/2006		689000	 	700	
03/2006		680000	 	1300	
04/2006		759000	 	1600	
05/2006		930000	 	2600	
06/2006		1020000	 	3250	
07/2006		954000	 	3850	
08/2006		831000	 	3300	
09/2006		737000	 	2200	
10/2006		655083		1550	
11/2006		645000	 	1000	
12/2006		640963		600	
01/2007		636376		500	
02/2007		656000	 	700	
03/2007		658000	 	1300	
04/2007		673000	 	1600	
05/2007		657299		2600	
06/2007		563000	 	3250	
07/2007		457093		3850	
08/2007		377288		3300	
09/2007		326719		2200	
10/2007		300900		1550	
11/2007		266000		1000	
12/2007		244600		600	
01/2008		271500		500	
02/2008		314200		700	
03/2008		337400		1300	
04/2008		359600		1600	
05/2008		449100		2600	
06/2008		457209		3250	
07/2008		385441		3850	
08/2008		320161		3300	
09/2008		279518		2200	
10/2008		257800	 	1550	
11/2008		256800	 	1000	
12/2008		249800	 	600	
01/2009		283900	 	500	
02/2009		328100	 	700	
03/2009		396500	 	1300	
04/2009		487800	 	1600	
05/2009		672500	 	2600	
06/2009		662300	 	3250	
07/2009		578200	 	3850	
08/2009		494597		3300	
09/2009		431900	 	2200	
10/2009		412233		1550	
11/2009		403464		1000	
12/2009		408453		600	
01/2010		447725		500	
02/2010		500836		700	
03/2010		564811		1300	
04/2010		646423		1600	
05/2010		754124		2600	
06/2010		951044		3250	
07/2010		887559		3850	
08/2010		782369		3300	
09/2010		680108		2200	
10/2010		649066		1550	
11/2010		664191		1000	
12/2010		769604		600	
01/2011		793600	 	500	
02/2011		706200	 	700	
03/2011		762714		1300	
04/2011		688756		1600	
05/2011		749688		2600	
06/2011		1001830		3250	
07/2011		980548		3850	
08/2011		854500		3300	
09/2011		766800	 	2200	
10/2011		687449		1550	
11/2011		672061		1000	
12/2011		659371		600	
01/2012		662462		500	
02/2012		661042		700	
03/2012		661295		1300	
04/2012		772753		1600	
05/2012		777924		2600	
06/2012		704936		3250	
07/2012		595403		3850	
08/2012		499682		3300	
09/2012		440107		2200	
10/2012		384794		1550	
11/2012		372910		1000	
12/2012		433766		600	
01/2013		446284		500	
02/2013		453482		700	
03/2013		470804		1300	
04/2013		542871		1600	
05/2013		569873		2600	
06/2013		524544		3250	
07/2013		432839		3850	
08/2013		364433		3300	
09/2013		301773		2200	
10/2013		258425		1550	
11/2013		244616		1000	
12/2013		231921		600	
01/2014		218236		500	
02/2014		216442		700	
03/2014		235384		1300	
04/2014		280031		1600	
05/2014		311152		2600	
06/2014		273790		3250	
07/2014		211856		3850	
08/2014		158528		3300	
09/2014		121610		2200	
10/2014		90050		1550	
11/2014		76924		1000	
12/2014		73168		600	
01/2015		64250	 	500	
02/2015		87522		700	
03/2015		92891		1300	
04/2015		104096		1600	
05/2015		129060		2600	
06/2015		130308		3250	
07/2015		109655		3850	
08/2015		95500		3300	
09/2015		87223		2200	
10/2015		68860		1550	
11/2015		66151		1000	
12/2015		88003		600	
01/2016		138633		500	
02/2016		183860		700	
03/2016		337711		1300	
04/2016		479810		1600	
05/2016		585491		2600	
06/2016		603353		3250	
07/2016		516479		3850	
08/2016		439207		3300	
09/2016		387252		2200	
10/2016		377758		1550	
11/2016		387081		1000	
12/2016		451760		600	
01/2017		745886		500	
02/2017		918857		700	
03/2017		696279		1300	
04/2017		663478		1600	
05/2017		827595		2600	
06/2017		1011088		3250	
07/2017		962046		3850	
08/2017		875250		3300	
09/2017		767949		2200	
