Dat 	 	STORAGE_AF	 
10/2000		151908	
11/2000		150840	
12/2000		150364	
01/2001		153687	
02/2001		169494	
03/2001		184014	
04/2001		183889	
05/2001		173555	
06/2001		160309	
07/2001		146859	
08/2001		133476	
09/2001		123242	
10/2001		119216	
11/2001		116743	
12/2001		131960	
01/2002		147579	
02/2002		158545	
03/2002		181678	
04/2002		180223	
05/2002		174130	
06/2002		163427	
07/2002		150028	
08/2002		138055	
09/2002		128572	
10/2002		124121	
11/2002		122116	
12/2002		134501	
01/2003		139018	
02/2003		141362	
03/2003		144959	
04/2003		158315	
05/2003		158257	
06/2003		146804	
07/2003		132508	
08/2003		118675	
09/2003		108611	
10/2003		100584	
11/2003		98892	
12/2003		105275	
01/2004		116160	
02/2004		137735	
03/2004		146528	
04/2004		140013	
05/2004		129705	
06/2004		117915	
07/2004		105046	
08/2004		93162	
09/2004		83850	
10/2004		81610	
11/2004		80208	
12/2004		95426	
01/2005		166460	
02/2005		194035	
03/2005		237391	
04/2005		249256	
05/2005		253947	
06/2005		246304	
07/2005		232490	
08/2005		218646	
09/2005		206172	
10/2005		199318	
11/2005		174282	
12/2005		193136	
01/2006		181275	
02/2006		191726	
03/2006		255072	
04/2006		262455	
05/2006		262990	
06/2006		247888	
07/2006		227857	
08/2006		206937	
09/2006		192975	
10/2006		189210	
11/2006		175803	
12/2006		171954	
01/2007		169972	
02/2007		187849	
03/2007		191471	
04/2007		187849	
05/2007		178374	
06/2007		165751	
07/2007		151711	
08/2007		136431	
09/2007		127113	
10/2007		123217	
11/2007		120574	
12/2007		119093	
01/2008		138563	
02/2008		156506	
03/2008		157768	
04/2008		150000	
05/2008		139314	
06/2008		126348	
07/2008		111838	
08/2008		96975	
09/2008		87379	
10/2008		83167	
11/2008		80051	
12/2008		79562	
01/2009		81472	
02/2009		94107	
03/2009		119117	
04/2009		114132	
05/2009		107075	
06/2009		95122	
07/2009		80858	
08/2009		69155	
09/2009		61157	
10/2009		58804	
11/2009		55900	
12/2009		56730	
01/2010		82806	
02/2010		99914	
03/2010		121991	
04/2010		145289	
05/2010		147717	
06/2010		139932	
07/2010		128469	
08/2010		117353	
09/2010		108938	
10/2010		105413	
11/2010		109641	
12/2010		166194	
01/2011		182424	
02/2011		217411	
03/2011		225578	
04/2011		241806	
05/2011		243044	
06/2011		234951	
07/2011		217891	
08/2011		202037	
09/2011		189655	
10/2011		186146	
11/2011		172829	
12/2011		167171	
01/2012		168182	
02/2012		168509	
03/2012		183514	
04/2012		200135	
05/2012		191630	
06/2012		179420	
07/2012		165397	
08/2012		151542	
09/2012		141335	
10/2012		136192	
11/2012		134554	
12/2012		162374	
01/2013		166283	
02/2013		167617	
03/2013		165308	
04/2013		159700	
05/2013		149107	
06/2013		136510	
07/2013		122966	
08/2013		111032	
09/2013		102880	
10/2013		98958	
11/2013		96624	
12/2013		94668	
01/2014		92841	
02/2014		96624	
03/2014		100517	
04/2014		97523	
05/2014		87359	
06/2014		75346	
07/2014		63068	
08/2014		51859	
09/2014		44093	
10/2014		41163	
11/2014		40465	
12/2014		49624	
01/2015		50099	
02/2015		66272	
03/2015		65362	
04/2015		63478	
05/2015		58559	
06/2015		51722	
07/2015		42836	
08/2015		34216	
09/2015		28142	
10/2015		26164	
11/2015		24582	
12/2015		37899	
01/2016		72944	
02/2016		81372	
03/2016		137095	
04/2016		138028	
05/2016		129885	
06/2016		118356	
07/2016		105160	
08/2016		91712	
09/2016		79699	
10/2016		76794	
11/2016		77120	
12/2016		96144	
01/2017		173494	
02/2017		220437	
03/2017		212206	
04/2017		246304	
05/2017		246562	
06/2017		238617	
07/2017		224147	
08/2017		210049	
09/2017		198535	
10/2017		193810	
11/2017		157137	
12/2017		151993	
01/2018		158056	
02/2018		158632	
03/2018		208540	
04/2018		222235	
05/2018		212612	
06/2018		199122	
07/2018		184953	
08/2018		172195	
09/2018		162112	
10/2018		155763	
11/2018		152021	
12/2018		151824	
01/2019		172105	
02/2019		187059	
03/2019		211126	
04/2019		229019	
05/2019		227225	
06/2019		200659	
07/2019		 	
08/2019		 	
09/2019		 	
