Dat 	 	STORAGE_AF 	 	LK_EVAP_AF 	  
10/2000		1822000		3053	
11/2000		1848000	 	1307	
12/2000		1876000	 	897	
01/2001		1874000	 	974	
02/2001		1896000	 	1141	
03/2001		1921000	 	2229	
04/2001		1876000	 	3160	
05/2001		1799000	 	7156	
06/2001		1716000	 	7950	
07/2001		1624000	 	7861	
08/2001		1538000	 	7468	
09/2001		1481000	 	5094	
10/2001		1468052		3552	
11/2001		1471352		1505	
12/2001		1516405		619	
01/2002		1569452		607	
02/2002		1587383		1432	
03/2002		1621470		2206	
04/2002		1588923		2965	
05/2002		1546999		5244	
06/2002		1478529		6920	
07/2002		1391280		7472	
08/2002		1319882		6331	
09/2002		1278233		4959	
10/2002		1287850		3150	
11/2002		1304231		1384	
12/2002		1358261		785	
01/2003		1405253		619	
02/2003		1426776		1067	
03/2003		1425154		2063	
04/2003		1427227		1817	
05/2003		1459446		4005	
06/2003		1447233		6383	
07/2003		1368774		7890	
08/2003		1303719		6002	
09/2003		1280300		5252	
10/2003		1265987		3584	
11/2003		1275712		1355	
12/2003		1317700		1379	
01/2004		1377100		662	
02/2004		1442000		1462	
03/2004		1496373		2598	
04/2004		1470526		4064	
05/2004		1395011		5486	
06/2004		1302186		6310	
07/2004		1204873		6859	
08/2004		1140943		5998	
09/2004		1110106		4772	
10/2004		1134609		2188	
11/2004		1163963		1085	
12/2004		1214384		595	
01/2005		1339810		704	
02/2005		1436983		839	
03/2005		1578354		1736	
04/2005		1677612		2977	
05/2005		1872329		4290	
06/2005		2039080		6423	
07/2005		2027123		9307	
08/2005		1965453		8767	
09/2005		1933205		5455	
10/2005		1941019		3622	
11/2005		1957582		1989	
12/2005		2026677		813	
01/2006		1972250		1037	
02/2006		2016320		1382	
03/2006		2074976		1484	
04/2006		2207572		2793	
05/2006		2287150		6070	
06/2006		2349393		7878	
07/2006		2265720		10245	
08/2006		2145494		8448	
09/2006		2056251		6746	
10/2006		1988087		3870	
11/2006		1994488		1339	
12/2006		1992391		1089	
01/2007		1976860		1085	
02/2007		2001123		1456	
03/2007		1978510		2499	
04/2007		1908906		3717	
05/2007		1778198		6040	
06/2007		1673235		7055	
07/2007		1573370		7605	
08/2007		1491552		6587	
09/2007		1436983		4255	
10/2007		1427769		2644	
11/2007		1436349		1525	
12/2007		1451235		946	
01/2008		1488589		984	
02/2008		1531046		1262	
03/2008		1488312		2386	
04/2008		1410347		3802	
05/2008		1351193		4770	
06/2008		1285061		6145	
07/2008		1200743		6361	
08/2008		1131486		6444	
09/2008		1099283		4598	
10/2008		1103728		2811	
11/2008		1123012		1067	
12/2008		1145886		633	
01/2009		1167778		682	
02/2009		1207877		946	
03/2009		1288019		1795	
04/2009		1270338		3053	
05/2009		1333235		4288	
06/2009		1299636		4979	
07/2009		1224270		6710	
08/2009		1157550		6246	
09/2009		1108410		4802	
10/2009		1103882		2549	
11/2009		1115658		1361	
12/2009		1164679		776	
01/2010		1219849		528	
02/2010		1234122		916	
03/2010		1267408		1728	
04/2010		1276719		2182	
05/2010		1290558		3237	
06/2010		1419401		5038	
07/2010		1372374		6740	
08/2010		1307388		5984	
09/2010		1275964		5048	
10/2010		1280677		2787	
11/2010		1317054		1178	
12/2010		1479909		1079	
01/2011		1601177		809	
02/2011		1693879		1281	
03/2011		1940802		2166	
04/2011		1985990		3570	
05/2011		2091766		4937	
06/2011		2300383		5958	
07/2011		2275641		8723	
08/2011		2142033		8394	
09/2011		2052200		6748	
10/2011		1944064		3921	
11/2011		1962608		1857	
12/2011		1974661		1436	
01/2012		1972469		1960	
02/2012		1964905		1827	
03/2012		1981590		2358	
04/2012		1945044		3699	
05/2012		1837855		6200	
06/2012		1735018		7109	
07/2012		1637702		8055	
08/2012		1556392		8134	
09/2012		1510706		5978	
10/2012		1477425		3227	
11/2012		1502599		1547	
12/2012		1593641		510	
01/2013		1635643		1004	
02/2013		1600114		1236	
03/2013		1553922		2547	
04/2013		1457437		3844	
05/2013		1334186		5572	
06/2013		1252644		6175	
07/2013		1159291		7383	
08/2013		1087462		6248	
09/2013		1047055		4338	
10/2013		1025200		3634	
11/2013		1037292		2003	
12/2013		1048613		1208	
01/2014		1045600		1777	
02/2014		1060019		1029	
03/2014		1036628		2436	
04/2014		917188		2910	
05/2014		799143		4171	
06/2014		712700		5050	
07/2014		625841		4895	
08/2014		553486		4013	
09/2014		519723		3043	
10/2014		513336		2243	
11/2014		513099		742	
12/2014		547389		722	
01/2015		562683		528	
02/2015		605603		821	
03/2015		553486		1630	
04/2015		491080		2224	
05/2015		452563		2725	
06/2015		401254		3503	
07/2015		343869		3074	
08/2015		294767		2729	
09/2015		267700		1991	
10/2015		271444		1230	
11/2015		267250		500	
12/2015		310248		290	
01/2016		392920		633	
02/2016		458704		807	
03/2016		617344		1139	
04/2016		622100		1940	
05/2016		624233		3047	
06/2016		630628		4270	
07/2016		582745		4669	
08/2016		544428		3929	
09/2016		528429		2920	
10/2016		509971		1579	
11/2016		528622		746	
12/2016		628257		478	
01/2017		1012764		462	
02/2017		1577779		1063	
03/2017		1811888		2592	
04/2017		2002009		3320	
05/2017		2079169		5633	
06/2017		2181351		7500	
07/2017		2140535		9870	
08/2017		2044794		8612	
09/2017		2023891		6294	
10/2017		2000459		5125	
11/2017		1998133		1591	
12/2017		1980930		1333	
01/2018		1981480		740	
02/2018		1919574		1787	
03/2018		2018876		2208	
04/2018		2061993		4090	
05/2018		1959767		6772	
06/2018		1907831		9382	
07/2018		1870946		9473	
08/2018		1824631		8353	
09/2018		1784903		7327	
10/2018		1756323		5199	
11/2018		1765237		2856	
12/2018		1789248		1022	
01/2019		1870521		1353	
02/2019		2005331		1341	
03/2019		2001123		2335	
04/2019		1920977		4096	
05/2019		2047263		4889	
06/2019		2222758		8472	
07/2019		 		 	
08/2019		 		 	
09/2019		 		 	
