Dat 	 	STORAGE_AF	 
10/2000		1834794	
11/2000		1761851	
12/2000		1724943	
01/2001		1737247	
02/2001		1842156	
03/2001		2048313	 
04/2001		2188360	
05/2001		2118837	
06/2001		1918269	
07/2001		1730944	 
08/2001		1539412	
09/2001		1487684	
10/2001		1433405	 
11/2001		1416920	
12/2001		1595882	 
01/2002		1915916	
02/2002		2120160	
03/2002		2414816	
04/2002		2659095	 
05/2002		2639503	
06/2002		2353690	 
07/2002		1883126	
08/2002		1539412	
09/2002		1399662	
10/2002		1280304	
11/2002		1227434	 
12/2002		1624336	 
01/2003		2153511	 
02/2003		2259701	
03/2003		2634628	 
04/2003		3073436	 
05/2003		3512826	 
06/2003		3461356	 
07/2003		2850416	 
08/2003		2458192	 
09/2003		2283761	
10/2003		2185994	
11/2003		2072284	
12/2003		2248197	
01/2004		2458925	
02/2004		2862905	
03/2004		3066010	
04/2004		3048779	
05/2004		3041820	
06/2004		2757705	
07/2004		2265364	
08/2004		1885961	
09/2004		1752980	
10/2004		1665639	
11/2004		1604002	
12/2004		1644209	
01/2005		1814709	
02/2005		2023476	 
03/2005		2457576	
04/2005		2841886	
05/2005		3495082	
06/2005		3480532	
07/2005		3255959	
08/2005		3032324	
09/2005		2877345	
10/2005		2740131	
11/2005		2615801	
12/2005		2924550	
01/2006		2790281	
02/2006		3007906	
03/2006		2898959	
04/2006		3136502	
05/2006		3479595	
06/2006		3476472	
07/2006		3258938	
08/2006		3014386	
09/2006		2832969	
10/2006		2759691	
11/2006		2679694	
12/2006		2792688	
01/2007		2794559	
02/2007		3009314	
03/2007		3123325	
04/2007		3077733	
05/2007		2965185	
06/2007		2643746	
07/2007		2194341	
08/2007		1823397	
09/2007		1568222	
10/2007		1446394	
11/2007		1275358	
12/2007		1227133	
01/2008		1329605	
02/2008		1449003	
03/2008		1676803	
04/2008		1707115	
05/2008		1765513	
06/2008		1521481	
07/2008		1296076	
08/2008		1127759	
09/2008		1097190	
10/2008		1029201	
11/2008		999087	
12/2008		981102	
01/2009		1020262	
02/2009		1360571	
03/2009		1977695	
04/2009		2055092	
05/2009		2282265	
06/2009		2057141	
07/2009		1553150	
08/2009		1383116	
09/2009		1336524	
10/2009		1290389	
11/2009		1136561	
12/2009		1029538	
01/2010		1190456	
02/2010		1385646	
03/2010		1650006	
04/2010		2113554	
05/2010		2493582	
06/2010		2719225	
07/2010		2408098	
08/2010		2040149	
09/2010		1755185	
10/2010		1701643	
11/2010		1637776	
12/2010		2180485	
01/2011		2439164	
02/2011		2684110	
03/2011		2839996	
04/2011		3305375	
05/2011		3399667	
06/2011		3515021	
07/2011		3499471	
08/2011		3308537	
09/2011		3044665	
10/2011		2895802	
11/2011		2806607	
12/2011		2545085	
01/2012		2544960	
02/2012		2519738	
03/2012		2942669	
04/2012		3422147	
05/2012		3499941	
06/2012		3225696	
07/2012		2672806	
08/2012		2229540	
09/2012		1977171	
10/2012		1826464	
11/2012		1861555	
12/2012		2524968	
01/2013		2691914	
02/2013		2848116	
03/2013		2981941	
04/2013		3040407	
05/2013		2812109	
06/2013		2557762	
07/2013		2143724	
08/2013		1783469	
09/2013		1633287	
10/2013		1528375	
11/2013		1391616	
12/2013		1285882	
01/2014		1262049	
02/2014		1406989	
03/2014		1716103	
04/2014		1876552	
05/2014		1734181	
06/2014		1511388	
07/2014		1252662	
08/2014		1100386	
09/2014		1075879	
10/2014		953720	
11/2014		910446	
12/2014		1346988	
01/2015		1443957	
02/2015		1735519	
03/2015		1793611	
04/2015		1782496	
05/2015		1565377	
06/2015		1395387	
07/2015		1161959	
08/2015		1072117	
09/2015		1057227	
10/2015		1006530	
11/2015		929152	
12/2015		1016837	
01/2016		1534234	
02/2016		1864669	
03/2016		3059742	
04/2016		3399820	
05/2016		3307333	
06/2016		2957945	
07/2016		2333733	
08/2016		1839567	
09/2016		1618960	
10/2016		1559166	
11/2016		1485786	
12/2016		1981577	
01/2017		2841754	
02/2017		2706003	
03/2017		2681122	
04/2017		2621552	
05/2017		2465532	
06/2017		2331494	
07/2017		2111246	
08/2017		1704000	
09/2017		1331591	
10/2017		1217912	 
11/2017		1268268	
12/2017		1230752	
01/2018		1408227	
02/2018		1460064	
03/2018		2093173	
04/2018		2432967	
05/2018		2409544	
06/2018		2253033	
07/2018		1943932	
08/2018		1596780	
09/2018		1364688	
10/2018		1178891	
11/2018		1029870	
12/2018		1031666	
01/2019		1403938	
02/2019		2188476	
03/2019		2849335	
04/2019		3285244	
05/2019		3461356	
06/2019		3457467	
07/2019		 	
08/2019		 	
09/2019		 	
