Dat 	 	STORAGE_AF 	 	RAIN_IN 	 
10/2000		343194		2.96	
11/2000		378110		0.10	
12/2000		408826		0.12	
01/2001		425117		3.91	
02/2001		454650		3.83	
03/2001		517113		0.98	
04/2001		637179		3.33	
05/2001		855169		0.00	
06/2001		619285		0.00	
07/2001		366240		0.25	
08/2001		278142		0.00	
09/2001		276048		0.00	
10/2001		286752		0.40	
11/2001		314883		2.41	
12/2001		359625		5.24	
01/2002		417338		1.45	
02/2002		446058		1.01	
03/2002		459191		2.31	
04/2002		549898		1.16	
05/2002		616789		1.04	 
06/2002		465166		0.00	
07/2002		200555		0.00	
08/2002		121818		0.00	
09/2002		133296		0.00	
10/2002		143684		0.00	
11/2002		217374		2.99	
12/2002		261655		4.80	
01/2003		305142		0.36	
02/2003		365549		2.56	
03/2003		441279		1.95	
04/2003		523629		3.16	
05/2003		743907		1.62	
06/2003		669557		0.00	 
07/2003		368043		0.00	
08/2003		232560		0.00	
09/2003		181929		0.00	
10/2003		153320		0.02	
11/2003		170884		0.71	
12/2003		210540		4.22	
01/2004		265559		0.55	
02/2004		319830		4.05	
03/2004		433764		1.32	
04/2004		508300		0.16	
05/2004		612582		0.18	
06/2004		408020		0.00	
07/2004		178997		0.00	
08/2004		115564		0.00	
09/2004		114961		0.00	
10/2004		130406		3.64	
11/2004		160965		0.83	
12/2004		203618		4.37	
01/2005		341489		4.94	
02/2005		435277		3.34	
03/2005		568026		4.14	
04/2005		661770		1.20	
05/2005		880390		3.29	
06/2005		981516		0.02	
07/2005		837965		0.00	
08/2005		611949		0.04	
09/2005		517030		0.36	
10/2005		451172		0.20	
11/2005		459542		0.19	
12/2005		521383		4.96	
01/2006		653798		5.15	
02/2006		719421		1.58	
03/2006		843444		6.53	
04/2006		888856		7.27	
05/2006		919004		0.66	
06/2006		987117		0.00	
07/2006		833148		0.00	
08/2006		589199		0.00	
09/2006		465361		0.00	
10/2006		410330		0.28	
11/2006		434823		0.03	
12/2006		467951		2.56	
01/2007		492237		0.76	
02/2007		513109		4.17	
03/2007		559505		1.80	
04/2007		640041		0.85	
05/2007		698332		0.12	
06/2007		507521		0.00	
07/2007		266613		0.01	
08/2007		186556		0.01	
09/2007		185394		 	
10/2007		190288		0.35	
11/2007		198946		0.08	
12/2007		216165		3.10	
01/2008		268992		5.57	
02/2008		345742		4.34	
03/2008		355727		0.23	
04/2008		415266		0.01	
