Dat 	 	STORAGE_AF 	 	RAIN_IN 	 	LK_EVAP_AF 	 
10/2000		2941357	 	 		5429	
11/2000		2885680	 	 		2440	
12/2000		2910875	 	 		2450	
01/2001		3035294		 		2942	
02/2001		3495969		 		2164	
03/2001		3955799		 		6417	
04/2001		4020071		 		8351	
05/2001		3782524		 		16949	
06/2001		3283078		 		15541	
07/2001		2716074		 		15543	
08/2001		2389562		 		13375	
09/2001		2199643		 		9223	
10/2001		2167051		2.87		6637	
11/2001		2284384		18.63		333	
12/2001		2986262		20.05		532	
01/2002		3516585		6.10		956	
02/2002		3839544		5.21		4078	
03/2002		4136151		4.71		6300	
04/2002		4296717		1.78		8848	
05/2002		4121856		2.67		13781	
06/2002		3678844		0.28		17982	
07/2002		3102924		0.00		18714	
08/2002		2758417		0.00		13841	
09/2002		2558201		0.00		11346	
10/2002		2414071		0.00		7075	
11/2002		2334938		5.22		4225	
12/2002		3223197		37.82	 	1730	
01/2003		3536772		6.79	 	2033	
02/2003		3584283		2.99	 	2870	
03/2003		4103708		7.37		4681	
04/2003		4536624		12.02	 	5451	
05/2003		4435987		1.21	 	11520	
06/2003		4088097		0.00		18554	
07/2003		3547162		0.10		18718	
08/2003		3258552		1.47		13260	
09/2003		3159376	 	0.15		12409	
10/2003		3090889		0.00	 	8696	
11/2003		3090196		10.75		2745	
12/2003		3345962	 	19.70	 	2533	
01/2004		3606500		7.38	 	1408	
02/2004		3868600		19.40		2678	
03/2004		3905184		4.24		7043	
04/2004		4059792		2.91		9584	
05/2004		3863800		0.77	 	11980	
06/2004		3360818		0.60	 	15826	
07/2004		2802297	 	0.00		15882	
08/2004		2410369		0.00		12236	
09/2004		2182851		0.02	 	8771	
10/2004		2158914		7.31	 	4346	
11/2004		2124248		1.83		2489	
12/2004		2417193		18.12		2339	
01/2005		2832031		6.93	 	2160	
02/2005		3168056		5.96		3043	
03/2005		3827041		10.39	 	4893	
04/2005		4207234		3.60	 	7073	
05/2005		4467986		9.80		9862	
06/2005		4217184		1.90		13579	
07/2005		3639214		0.00		18679	
08/2005		3271767		0.00		15043	
09/2005		3034837		0.00		10588	
10/2005		2855374		0.95		6000	
11/2005		2896041		9.53		3404	
12/2005		3754767		22.84		3433	
01/2006		3586074		14.08		3025	
02/2006		3834224		8.21		4465	
03/2006		3853900		16.67		3521	
04/2006		4057305		13.72		7535	
05/2006		4467101		1.30		13650	
06/2006		4249102		0.55		15709	
07/2006		3784113		0.00		20023	
08/2006		3377701		0.00		14476	
09/2006		3205145		0.00		11514	
10/2006		3119405		0.24		6807	
11/2006		3127097		6.98		2313	
12/2006		3334767		11.69		2598	
01/2007		3374275		1.25		3059	
02/2007		3772193		12.81		2428	
03/2007		4010994		0.77	 	6181	
04/2007		3901137		3.02		8721	
05/2007		3601174		0.88		13172	
06/2007		3140631		0.12		15039	
07/2007		2559821		2.68		14329	
08/2007		2133899		0.01		10897	
09/2007		1879144		0.00		6647	
10/2007		1800690		4.16	 	3467	
11/2007		1729679		0.60	 	2660	
12/2007		1784100		10.24	 	1995	
01/2008		2179031		16.69	 	1882	
02/2008		2641041		10.52		2765	
03/2008		2990558		0.28	 	4905	
04/2008		2954112		0.76	 	8271	
05/2008		2806832		1.13		10600	
06/2008		2402186		0.08		12738	
07/2008		1905819		0.00		11225	
08/2008		1570784		0.00		10378	
09/2008		1384481		0.00		6992	
10/2008		1282770		4.43		3898	
11/2008		1331169		4.01		1718	
12/2008		1361975		4.33		1043	
01/2009		1416145		0.52		1987	
02/2009		1960458		20.77		1997	
03/2009		2880614		8.43		4009	
04/2009		2998247		3.31		7942	
05/2009		3118941		7.45		11520	
06/2009		2797114		2.35		11286	
07/2009		2325795		0.00		13906	
08/2009		1936123		0.00		10907	
09/2009		1773947		0.02		7631	
10/2009		1707930		8.13		5338	
11/2009		1673687		1.36		2610	
12/2009		1777112		6.62		1466	
01/2010		2596882		21.78		3031	
02/2010		3380147		12.02		3287	
