Dat 	 	STORAGE_AF	 
10/2000		1051945	
11/2000		1299262	
12/2000		1470439	
01/2001		1595959	
02/2001		1797186	
03/2001		1977986	
04/2001		1910991	
05/2001		1493135	
06/2001		1033071	
07/2001		829778	
08/2001		760039	
09/2001		829590	
10/2001		764056	
11/2001		964447	
12/2001		1385632	
01/2002		1807066	
02/2002		1925324	
03/2002		2027963	
04/2002		1844188	
05/2002		1402950	
06/2002		873969	
07/2002		646887	
08/2002		643876	
09/2002		688435	
10/2002		649730	
11/2002		787573	
12/2002		1010089	
01/2003		1437576	
02/2003		1739389	
03/2003		1953851	
04/2003		1818676	
05/2003		1428330	
06/2003		1217645	
07/2003		918347	
08/2003		787480	
09/2003		939243	
10/2003		961975	
11/2003		1122517	
12/2003		1316540	
01/2004		1664413	
02/2004		1878476	
03/2004		2020089	
04/2004		1768145	
05/2004		1213592	
06/2004		719890	
07/2004		492864	
08/2004		498397	
09/2004		670373	
10/2004		787850	
11/2004		1057649	
12/2004		1283146	
01/2005		1810485	
02/2005		1968294	
03/2005		2029615	
04/2005		1898434	
05/2005		1696202	
06/2005		1566575	
07/2005		1343373	
08/2005		1197211	
09/2005		1328065	
10/2005		1462938	
11/2005		1627412	
12/2005		1893469	
01/2006		2030250	
02/2006		2019836	
03/2006		2031649	
04/2006		2024025	
05/2006		1897192	
06/2006		1696202	
07/2006		1398138	
08/2006		1235614	
09/2006		1313144	
10/2006		1460894	
11/2006		1651022	
12/2006		1922081	
01/2007		1942573	
02/2007		1895951	
03/2007		1792436	
04/2007		1566575	
05/2007		1023273	
06/2007		509533	
07/2007		411629	
08/2007		476786	
09/2007		639414	
10/2007		811518	
11/2007		1038843	
12/2007		1313034	
01/2008		1542231	
02/2008		1774814	
03/2008		1690949	
04/2008		1464301	
05/2008		1103441	
06/2008		667409	
07/2008		431820	
08/2008		269655	
09/2008		236625	
10/2008		254136	
11/2008		410393	
12/2008		480017	
01/2009		701877	
02/2009		820771	
03/2009		1006276	
04/2009		959210	
05/2009		710595	
06/2009		350801	
07/2009		380491	
08/2009		401559	
09/2009		421203	
10/2009		502230	
11/2009		605139	
12/2009		873682	
01/2010		1159828	
02/2010		1439270	
03/2010		1715110	
04/2010		1668806	
05/2010		1447635	
06/2010		1185237	
07/2010		903601	
08/2010		774865	
09/2010		788588	
10/2010		911061	
11/2010		1142743	
12/2010		1532646	
01/2011		1904771	
02/2011		2006021	
03/2011		2034956	
04/2011		2026311	
05/2011		1830803	
06/2011		1824920	
07/2011		1685702	
08/2011		1492906	
09/2011		1516179	
10/2011		1721469	
11/2011		1759187	
12/2011		1928320	
01/2012		1938318	
02/2012		1721829	
03/2012		1763906	
04/2012		1646764	
05/2012		1306689	
06/2012		856617	
07/2012		677891	
08/2012		598520	
09/2012		640014	
10/2012		674390	
11/2012		807324	
12/2012		1098379	
01/2013		1211780	
02/2013		1221168	
03/2013		1298825	
04/2013		1109961	
05/2013		784896	
06/2013		424805	
07/2013		318979	
08/2013		464705	
09/2013		504424	
10/2013		433747	
11/2013		513870	
12/2013		603713	
01/2014		615668	
02/2014		675615	
03/2014		856047	
04/2014		955758	
05/2014		848080	
06/2014		654911	
07/2014		456514	
08/2014		379996	
09/2014		463945	
10/2014		393798	
11/2014		488516	
12/2014		820209	
01/2015		1102924	
02/2015		1293156	
03/2015		1353537	
04/2015		1273053	
05/2015		1090440	
06/2015		813104	
07/2015		522825	
08/2015		409593	
09/2015		397672	
10/2015		347784	
11/2015		395733	
12/2015		436272	
01/2016		693022	
02/2016		888455	
03/2016		1058669	
04/2016		956645	
05/2016		677366	
06/2016		362753	
07/2016		195296	
08/2016		322141	
09/2016		509927	
10/2016		589681	
11/2016		866804	
12/2016		1249284	
01/2017		1699786	
02/2017		1991481	
03/2017		2014762	
04/2017		1998304	
05/2017		1909871	
06/2017		1997166	
07/2017		1924576	
08/2017		1837307	
09/2017		1751572	
10/2017		1501948	
11/2017		1522160	
12/2017		1638022	
01/2018		1735776	
02/2018		1538302	
03/2018		1774086	
04/2018		1755801	
05/2018		1527688	
06/2018		1206244	
07/2018		906214	
08/2018		970782	
09/2018		1115040	
10/2018		1218285	
11/2018		1172985	
12/2018		1502521	
01/2019		1749640	
02/2019		1982901	
03/2019		2028217	
04/2019		1748795	
05/2019		1441077	
06/2019		1491534	
07/2019		 	
08/2019		 	
09/2019		 	
