"","crop_id","crop_name","crop_category","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,"Corn","C","2021","1577","2884","2994","4716","2294","3679","2432","1452","2168","643","1374"
"2",2,"Cotton","C","28","32","11","171","90","3","115","4","36","7","21","54"
"3",3,"Rice","R","80757","244655","261941","267257","260524","279777","266872","261789","245329","273848","182129","259026"
"4",4,"Sorghum","C","5","NA","4","174","231","1465","1151","604","217","328","328","125"
"5",5,"Soybeans","C","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1"
"6",6,"Sunflower","C","107","452","1699","1733","1970","1131","2926","2187","496","1789","1445","4072"
"10",10,"Peanuts","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",11,"Tobacco","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12",12,"Sweet Corn","C","NA","19","5","NA","1","140","NA","NA","NA","79","NA","NA"
"13",13,"Pop or Orn Corn","C","64","235","505","NA","NA","NA","235","1","NA","1239","772","607"
"14",14,"Mint","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21",21,"Barley","C","16","399","167","1924","190","296","26","101","449","78","184","563"
"22",22,"Durum Wheat","C","NA","8","6","NA","NA","63","NA","NA","81","NA","NA","NA"
"23",23,"Spring Wheat","C","NA","NA","20","NA","NA","NA","87","37","22","4","281","NA"
"24",24,"Winter Wheat","C","15381","54338","52349","52733","42328","16864","14284","22771","14227","13855","20287","6736"
"25",25,"Other Small Grains","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26",26,"Dbl Crop WinWht/Soybeans","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",27,"Rye","C","1072","967","331","938","110","1355","768","808","160","559","502","427"
"28",28,"Oats","C","2390","8028","14546","7812","7215","2795","3098","7774","2030","3714","3639","192"
"29",29,"Millet","C","NA","NA","1","NA","NA","NA","18","NA","18","NA","NA","1"
"30",30,"Speltz","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",31,"Canola","C","NA","NA","NA","NA","1","8","NA","1","609","38","NA","NA"
"32",32,"Flaxseed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33",33,"Safflower","C","2004","4983","1665","2571","1532","1335","1099","432","846","903","1416","3384"
"34",34,"Rape Seed","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35",35,"Mustard","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36",36,"Alfalfa","C","8964","24897","25790","27731","27694","23868","20239","26398","25673","21413","28479","14294"
"37",37,"Other Hay/Non Alfalfa","C","121","10420","29801","23065","27733","25392","36028","45061","39374","40938","29567","56225"
"38",38,"Camelina","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39",39,"Buckwheat","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41",41,"Sugarbeets","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"42",42,"Dry Beans","C","79","117","192","687","842","1253","1272","1922","2182","2834","2024","2606"
"43",43,"Potatoes","C","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","1"
"44",44,"Other Crops","C","NA","10281","5412","1156","1937","4304","2853","388","1735","2257","3423","2313"
"45",45,"Sugarcane","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46",46,"Sweet Potatoes","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"47",47,"Misc Vegs & Fruits","C","NA","NA","7","NA","1","2","NA","NA","8","NA","2","NA"
"48",48,"Watermelons","C","NA","543","62","1","137","513","NA","32","269","72","86","80"
"49",49,"Onions","C","1","19","67","16","23","26","NA","29","84","17","19","94"
"50",50,"Cucumbers","C","NA","98","53","NA","10","NA","NA","NA","239","69","155","256"
"51",51,"Chick Peas","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52",52,"Lentils","C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"53",53,"Peas","C","7","NA","1","98","110","642","428","2","137","207","4","389"
"54",54,"Tomatoes","C","16","274","409","27","1793","2537","4293","2017","5718","1997","720","1226"
"55",55,"Caneberries","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
