# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:06:24 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11199500 WHITE R NR DUCOR CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11199500
#            TS   parameter     statistic     Description
#          9166       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9166_00060_00003	9166_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11199500	1971-02-01	6.60	A
USGS	11199500	1971-02-02	6.60	A
USGS	11199500	1971-02-03	6.60	A
USGS	11199500	1971-02-04	6.60	A
USGS	11199500	1971-02-05	6.60	A
USGS	11199500	1971-02-06	6.60	A
USGS	11199500	1971-02-07	6.40	A
USGS	11199500	1971-02-08	6.40	A
USGS	11199500	1971-02-09	6.40	A
USGS	11199500	1971-02-10	6.40	A
USGS	11199500	1971-02-11	6.40	A
USGS	11199500	1971-02-12	6.60	A
USGS	11199500	1971-02-13	6.60	A
USGS	11199500	1971-02-14	6.60	A
USGS	11199500	1971-02-15	6.40	A
USGS	11199500	1971-02-16	6.90	A
USGS	11199500	1971-02-17	7.50	A
USGS	11199500	1971-02-18	8.20	A
USGS	11199500	1971-02-19	7.20	A
USGS	11199500	1971-02-20	7.20	A
USGS	11199500	1971-02-21	5.80	A
USGS	11199500	1971-02-22	5.80	A
USGS	11199500	1971-02-23	6.10	A
USGS	11199500	1971-02-24	5.60	A
USGS	11199500	1971-02-25	5.40	A
USGS	11199500	1971-02-26	5.20	A
USGS	11199500	1971-02-27	5.20	A
USGS	11199500	1971-02-28	5.20	A
USGS	11199500	1971-03-01	5.20	A
USGS	11199500	1971-03-02	4.80	A
USGS	11199500	1971-03-03	4.60	A
USGS	11199500	1971-03-04	4.80	A
USGS	11199500	1971-03-05	4.60	A
USGS	11199500	1971-03-06	4.20	A
USGS	11199500	1971-03-07	4.20	A
USGS	11199500	1971-03-08	4.20	A
USGS	11199500	1971-03-09	3.90	A
USGS	11199500	1971-03-10	3.90	A
USGS	11199500	1971-03-11	3.90	A
USGS	11199500	1971-03-12	4.20	A
USGS	11199500	1971-03-13	6.90	A
USGS	11199500	1971-03-14	6.10	A
USGS	11199500	1971-03-15	5.00	A
USGS	11199500	1971-03-16	4.80	A
USGS	11199500	1971-03-17	4.60	A
USGS	11199500	1971-03-18	4.40	A
USGS	11199500	1971-03-19	4.20	A
USGS	11199500	1971-03-20	4.10	A
USGS	11199500	1971-03-21	4.10	A
USGS	11199500	1971-03-22	4.10	A
USGS	11199500	1971-03-23	4.10	A
USGS	11199500	1971-03-24	4.40	A
USGS	11199500	1971-03-25	4.40	A
USGS	11199500	1971-03-26	4.10	A
USGS	11199500	1971-03-27	4.40	A
USGS	11199500	1971-03-28	5.20	A
USGS	11199500	1971-03-29	4.60	A
USGS	11199500	1971-03-30	4.40	A
USGS	11199500	1971-03-31	4.20	A
USGS	11199500	1971-04-01	4.10	A
USGS	11199500	1971-04-02	3.80	A
USGS	11199500	1971-04-03	3.80	A
USGS	11199500	1971-04-04	3.80	A
USGS	11199500	1971-04-05	3.80	A
USGS	11199500	1971-04-06	3.90	A
USGS	11199500	1971-04-07	4.10	A
USGS	11199500	1971-04-08	4.20	A
USGS	11199500	1971-04-09	4.40	A
USGS	11199500	1971-04-10	4.40	A
USGS	11199500	1971-04-11	4.60	A
USGS	11199500	1971-04-12	4.40	A
USGS	11199500	1971-04-13	4.80	A
USGS	11199500	1971-04-14	5.40	A
USGS	11199500	1971-04-15	5.80	A
USGS	11199500	1971-04-16	5.20	A
USGS	11199500	1971-04-17	6.90	A
USGS	11199500	1971-04-18	14.0	A
USGS	11199500	1971-04-19	10.0	A
USGS	11199500	1971-04-20	8.50	A
USGS	11199500	1971-04-21	8.20	A
USGS	11199500	1971-04-22	7.50	A
USGS	11199500	1971-04-23	6.60	A
USGS	11199500	1971-04-24	6.60	A
USGS	11199500	1971-04-25	6.60	A
USGS	11199500	1971-04-26	5.80	A
USGS	11199500	1971-04-27	5.80	A
USGS	11199500	1971-04-28	6.10	A
USGS	11199500	1971-04-29	6.10	A
USGS	11199500	1971-04-30	6.10	A
USGS	11199500	1971-05-01	6.60	A
USGS	11199500	1971-05-02	6.60	A
USGS	11199500	1971-05-03	6.90	A
USGS	11199500	1971-05-04	8.50	A
USGS	11199500	1971-05-05	10.0	A
USGS	11199500	1971-05-06	15.0	A
USGS	11199500	1971-05-07	15.0	A
USGS	11199500	1971-05-08	12.0	A
USGS	11199500	1971-05-09	10.0	A
USGS	11199500	1971-05-10	9.20	A
USGS	11199500	1971-05-11	8.20	A
USGS	11199500	1971-05-12	9.20	A
USGS	11199500	1971-05-13	8.20	A
USGS	11199500	1971-05-14	8.20	A
USGS	11199500	1971-05-15	7.80	A
USGS	11199500	1971-05-16	7.20	A
USGS	11199500	1971-05-17	7.50	A
USGS	11199500	1971-05-18	7.50	A
USGS	11199500	1971-05-19	6.60	A
USGS	11199500	1971-05-20	6.40	A
USGS	11199500	1971-05-21	5.80	A
USGS	11199500	1971-05-22	5.60	A
USGS	11199500	1971-05-23	5.20	A
USGS	11199500	1971-05-24	4.60	A
USGS	11199500	1971-05-25	4.40	A
USGS	11199500	1971-05-26	5.00	A
USGS	11199500	1971-05-27	20.0	A
USGS	11199500	1971-05-28	18.0	A
USGS	11199500	1971-05-29	12.0	A
USGS	11199500	1971-05-30	10.0	A
USGS	11199500	1971-05-31	7.80	A
USGS	11199500	1971-06-01	6.60	A
USGS	11199500	1971-06-02	6.10	A
USGS	11199500	1971-06-03	5.40	A
USGS	11199500	1971-06-04	5.20	A
USGS	11199500	1971-06-05	4.60	A
USGS	11199500	1971-06-06	4.40	A
USGS	11199500	1971-06-07	4.20	A
USGS	11199500	1971-06-08	3.60	A
USGS	11199500	1971-06-09	3.50	A
USGS	11199500	1971-06-10	3.60	A
USGS	11199500	1971-06-11	3.60	A
USGS	11199500	1971-06-12	3.20	A
USGS	11199500	1971-06-13	3.00	A
USGS	11199500	1971-06-14	2.80	A
USGS	11199500	1971-06-15	2.80	A
USGS	11199500	1971-06-16	2.60	A
USGS	11199500	1971-06-17	2.50	A
USGS	11199500	1971-06-18	2.40	A
USGS	11199500	1971-06-19	2.20	A
USGS	11199500	1971-06-20	2.10	A
USGS	11199500	1971-06-21	1.90	A
USGS	11199500	1971-06-22	1.80	A
USGS	11199500	1971-06-23	1.70	A
USGS	11199500	1971-06-24	1.70	A
USGS	11199500	1971-06-25	1.70	A
USGS	11199500	1971-06-26	1.60	A
