# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:01:23 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11209900 KAWEAH R A THREE RIVERS CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11209900
#            TS   parameter     statistic     Description
#          9264       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	9264_00060_00003	9264_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11209900	1970-01-01	168	A
USGS	11209900	1970-01-02	158	A
USGS	11209900	1970-01-03	150	A
USGS	11209900	1970-01-04	141	A
USGS	11209900	1970-01-05	133	A
USGS	11209900	1970-01-06	138	A
USGS	11209900	1970-01-07	146	A
USGS	11209900	1970-01-08	141	A
USGS	11209900	1970-01-09	151	A
USGS	11209900	1970-01-10	707	A
USGS	11209900	1970-01-11	362	A
USGS	11209900	1970-01-12	310	A
USGS	11209900	1970-01-13	272	A
USGS	11209900	1970-01-14	533	A
USGS	11209900	1970-01-15	633	A
USGS	11209900	1970-01-16	7000	A
USGS	11209900	1970-01-17	2930	A
USGS	11209900	1970-01-18	1240	A
USGS	11209900	1970-01-19	874	A
USGS	11209900	1970-01-20	725	A
USGS	11209900	1970-01-21	628	A
USGS	11209900	1970-01-22	603	A
USGS	11209900	1970-01-23	558	A
USGS	11209900	1970-01-24	1010	A
USGS	11209900	1970-01-25	735	A
USGS	11209900	1970-01-26	599	A
USGS	11209900	1970-01-27	599	A
USGS	11209900	1970-01-28	544	A
USGS	11209900	1970-01-29	474	A
USGS	11209900	1970-01-30	440	A
USGS	11209900	1970-01-31	412	A
USGS	11209900	1970-02-01	410	A
USGS	11209900	1970-02-02	390	A
USGS	11209900	1970-02-03	381	A
USGS	11209900	1970-02-04	375	A
USGS	11209900	1970-02-05	364	A
USGS	11209900	1970-02-06	359	A
USGS	11209900	1970-02-07	361	A
USGS	11209900	1970-02-08	366	A
USGS	11209900	1970-02-09	359	A
USGS	11209900	1970-02-10	359	A
USGS	11209900	1970-02-11	405	A
USGS	11209900	1970-02-12	392	A
USGS	11209900	1970-02-13	400	A
USGS	11209900	1970-02-14	420	A
USGS	11209900	1970-02-15	372	A
USGS	11209900	1970-02-16	361	A
USGS	11209900	1970-02-17	440	A
USGS	11209900	1970-02-18	381	A
USGS	11209900	1970-02-19	364	A
USGS	11209900	1970-02-20	333	A
USGS	11209900	1970-02-21	337	A
USGS	11209900	1970-02-22	324	A
USGS	11209900	1970-02-23	318	A
USGS	11209900	1970-02-24	314	A
USGS	11209900	1970-02-25	310	A
USGS	11209900	1970-02-26	316	A
USGS	11209900	1970-02-27	318	A
USGS	11209900	1970-02-28	410	A
USGS	11209900	1970-03-01	625	A
USGS	11209900	1970-03-02	970	A
USGS	11209900	1970-03-03	637	A
USGS	11209900	1970-03-04	499	A
USGS	11209900	1970-03-05	642	A
USGS	11209900	1970-03-06	558	A
USGS	11209900	1970-03-07	558	A
USGS	11209900	1970-03-08	540	A
USGS	11209900	1970-03-09	512	A
USGS	11209900	1970-03-10	552	A
USGS	11209900	1970-03-11	484	A
USGS	11209900	1970-03-12	459	A
USGS	11209900	1970-03-13	473	A
USGS	11209900	1970-03-14	543	A
USGS	11209900	1970-03-15	564	A
USGS	11209900	1970-03-16	577	A
USGS	11209900	1970-03-17	594	A
USGS	11209900	1970-03-18	577	A
USGS	11209900	1970-03-19	523	A
USGS	11209900	1970-03-20	490	A
USGS	11209900	1970-03-21	490	A
USGS	11209900	1970-03-22	515	A
USGS	11209900	1970-03-23	546	A
USGS	11209900	1970-03-24	594	A
USGS	11209900	1970-03-25	665	A
USGS	11209900	1970-03-26	717	A
USGS	11209900	1970-03-27	665	A
USGS	11209900	1970-03-28	629	A
USGS	11209900	1970-03-29	598	A
USGS	11209900	1970-03-30	558	A
USGS	11209900	1970-03-31	512	A
USGS	11209900	1970-04-01	478	A
USGS	11209900	1970-04-02	490	A
USGS	11209900	1970-04-03	546	A
USGS	11209900	1970-04-04	570	A
USGS	11209900	1970-04-05	605	A
USGS	11209900	1970-04-06	701	A
USGS	11209900	1970-04-07	701	A
USGS	11209900	1970-04-08	721	A
USGS	11209900	1970-04-09	795	A
USGS	11209900	1970-04-10	874	A
USGS	11209900	1970-04-11	936	A
USGS	11209900	1970-04-12	894	A
USGS	11209900	1970-04-13	844	A
USGS	11209900	1970-04-14	748	A
USGS	11209900	1970-04-15	665	A
USGS	11209900	1970-04-16	625	A
USGS	11209900	1970-04-17	594	A
USGS	11209900	1970-04-18	561	A
USGS	11209900	1970-04-19	546	A
USGS	11209900	1970-04-20	512	A
USGS	11209900	1970-04-21	518	A
USGS	11209900	1970-04-22	484	A
USGS	11209900	1970-04-23	481	A
USGS	11209900	1970-04-24	473	A
USGS	11209900	1970-04-25	509	A
USGS	11209900	1970-04-26	555	A
USGS	11209900	1970-04-27	570	A
USGS	11209900	1970-04-28	512	A
USGS	11209900	1970-04-29	487	A
USGS	11209900	1970-04-30	512	A
USGS	11209900	1970-05-01	574	A
USGS	11209900	1970-05-02	653	A
USGS	11209900	1970-05-03	761	A
USGS	11209900	1970-05-04	826	A
USGS	11209900	1970-05-05	874	A
USGS	11209900	1970-05-06	1010	A
USGS	11209900	1970-05-07	868	A
USGS	11209900	1970-05-08	922	A
USGS	11209900	1970-05-09	966	A
USGS	11209900	1970-05-10	1150	A
USGS	11209900	1970-05-11	1100	A
USGS	11209900	1970-05-12	958	A
USGS	11209900	1970-05-13	1060	A
USGS	11209900	1970-05-14	1460	A
USGS	11209900	1970-05-15	1810	A
USGS	11209900	1970-05-16	2020	A
USGS	11209900	1970-05-17	2130	A
USGS	11209900	1970-05-18	2110	A
USGS	11209900	1970-05-19	1930	A
USGS	11209900	1970-05-20	1760	A
USGS	11209900	1970-05-21	1740	A
USGS	11209900	1970-05-22	1820	A
USGS	11209900	1970-05-23	1890	A
USGS	11209900	1970-05-24	1990	A
USGS	11209900	1970-05-25	1820	A
USGS	11209900	1970-05-26	1640	A
USGS	11209900	1970-05-27	1690	A
USGS	11209900	1970-05-28	1700	A
USGS	11209900	1970-05-29	1680	A
USGS	11209900	1970-05-30	1690	A
USGS	11209900	1970-05-31	1680	A
USGS	11209900	1970-06-01	1700	A
USGS	11209900	1970-06-02	1600	A
USGS	11209900	1970-06-03	1440	A
USGS	11209900	1970-06-04	1280	A
USGS	11209900	1970-06-05	1110	A
USGS	11209900	1970-06-06	1050	A
USGS	11209900	1970-06-07	1080	A
USGS	11209900	1970-06-08	1030	A
USGS	11209900	1970-06-09	1280	A
USGS	11209900	1970-06-10	974	A
USGS	11209900	1970-06-11	810	A
USGS	11209900	1970-06-12	766	A
USGS	11209900	1970-06-13	661	A
USGS	11209900	1970-06-14	588	A
USGS	11209900	1970-06-15	532	A
USGS	11209900	1970-06-16	523	A
USGS	11209900	1970-06-17	570	A
