# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:58:40 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11211300 DRY C NR LEMONCOVE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11211300
#            TS   parameter     statistic     Description
#          9274       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9274_00060_00003	9274_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11211300	1970-01-01	6.20	A
USGS	11211300	1970-01-02	6.80	A
USGS	11211300	1970-01-03	6.20	A
USGS	11211300	1970-01-04	6.20	A
USGS	11211300	1970-01-05	5.70	A
USGS	11211300	1970-01-06	5.70	A
USGS	11211300	1970-01-07	5.70	A
USGS	11211300	1970-01-08	5.70	A
USGS	11211300	1970-01-09	5.70	A
USGS	11211300	1970-01-10	34.0	A
USGS	11211300	1970-01-11	21.0	A
USGS	11211300	1970-01-12	19.0	A
USGS	11211300	1970-01-13	14.0	A
USGS	11211300	1970-01-14	32.0	A
USGS	11211300	1970-01-15	72.0	A
USGS	11211300	1970-01-16	928	A
USGS	11211300	1970-01-17	376	A
USGS	11211300	1970-01-18	135	A
USGS	11211300	1970-01-19	91.0	A
USGS	11211300	1970-01-20	63.0	A
USGS	11211300	1970-01-21	47.0	A
USGS	11211300	1970-01-22	36.0	A
USGS	11211300	1970-01-23	34.0	A
USGS	11211300	1970-01-24	72.0	A
USGS	11211300	1970-01-25	57.0	A
USGS	11211300	1970-01-26	32.0	A
USGS	11211300	1970-01-27	28.0	A
USGS	11211300	1970-01-28	28.0	A
USGS	11211300	1970-01-29	25.0	A
USGS	11211300	1970-01-30	23.0	A
USGS	11211300	1970-01-31	21.0	A
USGS	11211300	1970-02-01	20.0	A
USGS	11211300	1970-02-02	19.0	A
USGS	11211300	1970-02-03	18.0	A
USGS	11211300	1970-02-04	18.0	A
USGS	11211300	1970-02-05	17.0	A
USGS	11211300	1970-02-06	16.0	A
USGS	11211300	1970-02-07	16.0	A
USGS	11211300	1970-02-08	16.0	A
USGS	11211300	1970-02-09	15.0	A
USGS	11211300	1970-02-10	16.0	A
USGS	11211300	1970-02-11	17.0	A
USGS	11211300	1970-02-12	16.0	A
USGS	11211300	1970-02-13	16.0	A
USGS	11211300	1970-02-14	21.0	A
USGS	11211300	1970-02-15	17.0	A
USGS	11211300	1970-02-16	16.0	A
USGS	11211300	1970-02-17	25.0	A
USGS	11211300	1970-02-18	20.0	A
USGS	11211300	1970-02-19	17.0	A
USGS	11211300	1970-02-20	16.0	A
USGS	11211300	1970-02-21	15.0	A
USGS	11211300	1970-02-22	13.0	A
USGS	11211300	1970-02-23	13.0	A
USGS	11211300	1970-02-24	13.0	A
USGS	11211300	1970-02-25	12.0	A
USGS	11211300	1970-02-26	12.0	A
USGS	11211300	1970-02-27	11.0	A
USGS	11211300	1970-02-28	21.0	A
USGS	11211300	1970-03-01	124	A
USGS	11211300	1970-03-02	338	A
USGS	11211300	1970-03-03	121	A
USGS	11211300	1970-03-04	105	A
USGS	11211300	1970-03-05	185	A
USGS	11211300	1970-03-06	104	A
USGS	11211300	1970-03-07	81.0	A
USGS	11211300	1970-03-08	66.0	A
USGS	11211300	1970-03-09	53.0	A
USGS	11211300	1970-03-10	55.0	A
USGS	11211300	1970-03-11	42.0	A
USGS	11211300	1970-03-12	37.0	A
USGS	11211300	1970-03-13	33.0	A
USGS	11211300	1970-03-14	31.0	A
USGS	11211300	1970-03-15	30.0	A
