# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:03:22 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11221700 MILL C NR PIEDRA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11221700
#            TS   parameter     statistic     Description
#          9327       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9327_00060_00003	9327_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11221700	1970-01-01	13.0	A
USGS	11221700	1970-01-02	13.0	A
USGS	11221700	1970-01-03	12.0	A
USGS	11221700	1970-01-04	12.0	A
USGS	11221700	1970-01-05	11.0	A
USGS	11221700	1970-01-06	11.0	A
USGS	11221700	1970-01-07	11.0	A
USGS	11221700	1970-01-08	12.0	A
USGS	11221700	1970-01-09	12.0	A
USGS	11221700	1970-01-10	35.0	A
USGS	11221700	1970-01-11	48.0	A
USGS	11221700	1970-01-12	50.0	A
USGS	11221700	1970-01-13	33.0	A
USGS	11221700	1970-01-14	55.0	A
USGS	11221700	1970-01-15	134	A
USGS	11221700	1970-01-16	1950	A
USGS	11221700	1970-01-17	584	A
USGS	11221700	1970-01-18	196	A
USGS	11221700	1970-01-19	116	A
USGS	11221700	1970-01-20	88.0	A
USGS	11221700	1970-01-21	70.0	A
USGS	11221700	1970-01-22	60.0	A
USGS	11221700	1970-01-23	54.0	A
USGS	11221700	1970-01-24	92.0	A
USGS	11221700	1970-01-25	88.0	A
USGS	11221700	1970-01-26	64.0	A
USGS	11221700	1970-01-27	64.0	A
USGS	11221700	1970-01-28	62.0	A
USGS	11221700	1970-01-29	52.0	A
USGS	11221700	1970-01-30	46.0	A
USGS	11221700	1970-01-31	43.0	A
USGS	11221700	1970-02-01	41.0	A
USGS	11221700	1970-02-02	39.0	A
USGS	11221700	1970-02-03	38.0	A
USGS	11221700	1970-02-04	36.0	A
USGS	11221700	1970-02-05	35.0	A
USGS	11221700	1970-02-06	31.0	A
USGS	11221700	1970-02-07	30.0	A
USGS	11221700	1970-02-08	28.0	A
USGS	11221700	1970-02-09	28.0	A
USGS	11221700	1970-02-10	28.0	A
USGS	11221700	1970-02-11	30.0	A
USGS	11221700	1970-02-12	28.0	A
USGS	11221700	1970-02-13	31.0	A
USGS	11221700	1970-02-14	48.0	A
USGS	11221700	1970-02-15	36.0	A
USGS	11221700	1970-02-16	31.0	A
USGS	11221700	1970-02-17	62.0	A
USGS	11221700	1970-02-18	54.0	A
USGS	11221700	1970-02-19	43.0	A
USGS	11221700	1970-02-20	38.0	A
USGS	11221700	1970-02-21	35.0	A
USGS	11221700	1970-02-22	31.0	A
USGS	11221700	1970-02-23	30.0	A
USGS	11221700	1970-02-24	30.0	A
USGS	11221700	1970-02-25	28.0	A
USGS	11221700	1970-02-26	27.0	A
USGS	11221700	1970-02-27	27.0	A
USGS	11221700	1970-02-28	49.0	A
USGS	11221700	1970-03-01	178	A
USGS	11221700	1970-03-02	487	A
USGS	11221700	1970-03-03	186	A
USGS	11221700	1970-03-04	189	A
USGS	11221700	1970-03-05	427	A
USGS	11221700	1970-03-06	186	A
USGS	11221700	1970-03-07	148	A
USGS	11221700	1970-03-08	129	A
USGS	11221700	1970-03-09	116	A
