# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:05:03 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11251000 SAN JOAQUIN R BL FRIANT CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11251000
#            TS   parameter     statistic     Description
#          9427       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9427_00060_00003	9427_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11251000	1970-01-01	42.0	A
USGS	11251000	1970-01-02	42.0	A
USGS	11251000	1970-01-03	44.0	A
USGS	11251000	1970-01-04	44.0	A
USGS	11251000	1970-01-05	44.0	A
USGS	11251000	1970-01-06	44.0	A
USGS	11251000	1970-01-07	46.0	A
USGS	11251000	1970-01-08	46.0	A
USGS	11251000	1970-01-09	47.0	A
USGS	11251000	1970-01-10	47.0	A
USGS	11251000	1970-01-11	49.0	A
USGS	11251000	1970-01-12	49.0	A
USGS	11251000	1970-01-13	47.0	A
USGS	11251000	1970-01-14	60.0	A
USGS	11251000	1970-01-15	55.0	A
USGS	11251000	1970-01-16	187	A
USGS	11251000	1970-01-17	85.0	A
USGS	11251000	1970-01-18	70.0	A
USGS	11251000	1970-01-19	58.0	A
USGS	11251000	1970-01-20	57.0	A
USGS	11251000	1970-01-21	54.0	A
USGS	11251000	1970-01-22	65.0	A
USGS	11251000	1970-01-23	336	A
USGS	11251000	1970-01-24	801	A
USGS	11251000	1970-01-25	966	A
USGS	11251000	1970-01-26	798	A
USGS	11251000	1970-01-27	502	A
USGS	11251000	1970-01-28	497	A
USGS	11251000	1970-01-29	492	A
USGS	11251000	1970-01-30	492	A
USGS	11251000	1970-01-31	492	A
USGS	11251000	1970-02-01	492	A
USGS	11251000	1970-02-02	492	A
USGS	11251000	1970-02-03	935	A
USGS	11251000	1970-02-04	1760	A
USGS	11251000	1970-02-05	1950	A
USGS	11251000	1970-02-06	1940	A
USGS	11251000	1970-02-07	1940	A
USGS	11251000	1970-02-08	1940	A
USGS	11251000	1970-02-09	1780	A
USGS	11251000	1970-02-10	1000	A
USGS	11251000	1970-02-11	233	A
USGS	11251000	1970-02-12	50.0	A
USGS	11251000	1970-02-13	49.0	A
USGS	11251000	1970-02-14	50.0	A
USGS	11251000	1970-02-15	49.0	A
USGS	11251000	1970-02-16	49.0	A
USGS	11251000	1970-02-17	57.0	A
USGS	11251000	1970-02-18	54.0	A
USGS	11251000	1970-02-19	50.0	A
USGS	11251000	1970-02-20	50.0	A
USGS	11251000	1970-02-21	49.0	A
USGS	11251000	1970-02-22	47.0	A
USGS	11251000	1970-02-23	42.0	A
USGS	11251000	1970-02-24	42.0	A
USGS	11251000	1970-02-25	42.0	A
USGS	11251000	1970-02-26	42.0	A
USGS	11251000	1970-02-27	42.0	A
USGS	11251000	1970-02-28	47.0	A
USGS	11251000	1970-03-01	116	A
USGS	11251000	1970-03-02	155	A
USGS	11251000	1970-03-03	76.0	A
USGS	11251000	1970-03-04	89.0	A
USGS	11251000	1970-03-05	138	A
USGS	11251000	1970-03-06	95.0	A
USGS	11251000	1970-03-07	85.0	A
USGS	11251000	1970-03-08	82.0	A
USGS	11251000	1970-03-09	76.0	A
USGS	11251000	1970-03-10	73.0	A
USGS	11251000	1970-03-11	68.0	A
USGS	11251000	1970-03-12	66.0	A
USGS	11251000	1970-03-13	65.0	A
USGS	11251000	1970-03-14	63.0	A
USGS	11251000	1970-03-15	62.0	A
