# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:01:07 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11257500 FRESNO R NR KNOWLES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11257500
#            TS   parameter     statistic     Description
#          9457       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9457_00060_00003	9457_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11257500	1970-01-01	38.0	A
USGS	11257500	1970-01-02	36.0	A
USGS	11257500	1970-01-03	34.0	A
USGS	11257500	1970-01-04	31.0	A
USGS	11257500	1970-01-05	29.0	A
USGS	11257500	1970-01-06	28.0	A
USGS	11257500	1970-01-07	34.0	A
USGS	11257500	1970-01-08	35.0	A
USGS	11257500	1970-01-09	44.0	A
USGS	11257500	1970-01-10	212	A
USGS	11257500	1970-01-11	133	A
USGS	11257500	1970-01-12	95.0	A
USGS	11257500	1970-01-13	93.0	A
USGS	11257500	1970-01-14	213	A
USGS	11257500	1970-01-15	285	A
USGS	11257500	1970-01-16	1810	A
USGS	11257500	1970-01-17	949	A
USGS	11257500	1970-01-18	381	A
USGS	11257500	1970-01-19	240	A
USGS	11257500	1970-01-20	215	A
USGS	11257500	1970-01-21	254	A
USGS	11257500	1970-01-22	253	A
USGS	11257500	1970-01-23	192	A
USGS	11257500	1970-01-24	242	A
USGS	11257500	1970-01-25	201	A
USGS	11257500	1970-01-26	169	A
