# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:02:40 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11270900 MERCED R BL MERCED FALLS DAM NR SNELL CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11270900
#            TS   parameter     statistic     Description
#        238143       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	238143_00060_00003	238143_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11270900	1970-01-01	1240	A
USGS	11270900	1970-01-02	1210	A
USGS	11270900	1970-01-03	1220	A
USGS	11270900	1970-01-04	1210	A
USGS	11270900	1970-01-05	1220	A
USGS	11270900	1970-01-06	1210	A
USGS	11270900	1970-01-07	1070	A
USGS	11270900	1970-01-08	834	A
USGS	11270900	1970-01-09	882	A
USGS	11270900	1970-01-10	1020	A
USGS	11270900	1970-01-11	344	A
USGS	11270900	1970-01-12	140	A
USGS	11270900	1970-01-13	133	A
USGS	11270900	1970-01-14	179	A
USGS	11270900	1970-01-15	153	A
USGS	11270900	1970-01-16	283	A
USGS	11270900	1970-01-17	158	A
USGS	11270900	1970-01-18	147	A
USGS	11270900	1970-01-19	145	A
USGS	11270900	1970-01-20	145	A
USGS	11270900	1970-01-21	162	A
USGS	11270900	1970-01-22	147	A
USGS	11270900	1970-01-23	143	A
USGS	11270900	1970-01-24	141	A
USGS	11270900	1970-01-25	139	A
USGS	11270900	1970-01-26	135	A
USGS	11270900	1970-01-27	141	A
USGS	11270900	1970-01-28	146	A
USGS	11270900	1970-01-29	147	A
USGS	11270900	1970-01-30	146	A
USGS	11270900	1970-01-31	146	A
USGS	11270900	1970-02-01	144	A
USGS	11270900	1970-02-02	430	A
USGS	11270900	1970-02-03	2030	A
USGS	11270900	1970-02-04	2010	A
USGS	11270900	1970-02-05	2020	A
USGS	11270900	1970-02-06	2010	A
USGS	11270900	1970-02-07	1980	A
USGS	11270900	1970-02-08	1990	A
USGS	11270900	1970-02-09	1830	A
USGS	11270900	1970-02-10	1510	A
USGS	11270900	1970-02-11	1510	A
USGS	11270900	1970-02-12	1370	A
USGS	11270900	1970-02-13	1530	A
USGS	11270900	1970-02-14	1530	A
USGS	11270900	1970-02-15	1530	A
USGS	11270900	1970-02-16	1540	A
USGS	11270900	1970-02-17	1850	A
USGS	11270900	1970-02-18	2000	A
USGS	11270900	1970-02-19	2010	A
USGS	11270900	1970-02-20	1850	A
USGS	11270900	1970-02-21	983	A
USGS	11270900	1970-02-22	1020	A
USGS	11270900	1970-02-23	1000	A
USGS	11270900	1970-02-24	1650	A
USGS	11270900	1970-02-25	1390	A
USGS	11270900	1970-02-26	1000	A
USGS	11270900	1970-02-27	919	A
USGS	11270900	1970-02-28	544	A
USGS	11270900	1970-03-01	570	A
USGS	11270900	1970-03-02	1430	A
USGS	11270900	1970-03-03	2020	A
USGS	11270900	1970-03-04	2300	A
USGS	11270900	1970-03-05	2420	A
USGS	11270900	1970-03-06	2380	A
USGS	11270900	1970-03-07	2410	A
USGS	11270900	1970-03-08	2410	A
USGS	11270900	1970-03-09	2440	A
USGS	11270900	1970-03-10	941	A
USGS	11270900	1970-03-11	1490	A
USGS	11270900	1970-03-12	975	A
USGS	11270900	1970-03-13	524	A
USGS	11270900	1970-03-14	516	A
USGS	11270900	1970-03-15	522	A
USGS	11270900	1970-03-16	504	A
USGS	11270900	1970-03-17	503	A
USGS	11270900	1970-03-18	519	A
USGS	11270900	1970-03-19	531	A
USGS	11270900	1970-03-20	520	A
USGS	11270900	1970-03-21	516	A
USGS	11270900	1970-03-22	510	A
USGS	11270900	1970-03-23	509	A
USGS	11270900	1970-03-24	568	A
USGS	11270900	1970-03-25	740	A
USGS	11270900	1970-03-26	860	A
USGS	11270900	1970-03-27	929	A
USGS	11270900	1970-03-28	965	A
USGS	11270900	1970-03-29	1020	A
USGS	11270900	1970-03-30	1160	A
USGS	11270900	1970-03-31	1340	A
USGS	11270900	1970-04-01	1420	A
USGS	11270900	1970-04-02	1440	A
USGS	11270900	1970-04-03	1500	A
USGS	11270900	1970-04-04	1600	A
USGS	11270900	1970-04-05	1620	A
USGS	11270900	1970-04-06	1650	A
USGS	11270900	1970-04-07	1690	A
USGS	11270900	1970-04-08	1650	A
USGS	11270900	1970-04-09	1660	A
USGS	11270900	1970-04-10	1670	A
USGS	11270900	1970-04-11	1700	A
USGS	11270900	1970-04-12	1690	A
USGS	11270900	1970-04-13	1690	A
USGS	11270900	1970-04-14	1660	A
USGS	11270900	1970-04-15	1640	A
USGS	11270900	1970-04-16	1590	A
USGS	11270900	1970-04-17	1560	A
USGS	11270900	1970-04-18	1530	A
USGS	11270900	1970-04-19	1520	A
USGS	11270900	1970-04-20	1530	A
USGS	11270900	1970-04-21	1530	A
USGS	11270900	1970-04-22	1530	A
USGS	11270900	1970-04-23	1570	A
USGS	11270900	1970-04-24	1580	A
USGS	11270900	1970-04-25	1520	A
USGS	11270900	1970-04-26	1480	A
USGS	11270900	1970-04-27	1460	A
USGS	11270900	1970-04-28	1440	A
USGS	11270900	1970-04-29	1420	A
USGS	11270900	1970-04-30	1420	A
USGS	11270900	1970-05-01	1440	A
USGS	11270900	1970-05-02	1500	A
USGS	11270900	1970-05-03	1570	A
USGS	11270900	1970-05-04	1580	A
USGS	11270900	1970-05-05	1580	A
USGS	11270900	1970-05-06	1630	A
USGS	11270900	1970-05-07	1670	A
USGS	11270900	1970-05-08	1650	A
USGS	11270900	1970-05-09	1630	A
USGS	11270900	1970-05-10	1610	A
USGS	11270900	1970-05-11	1570	A
USGS	11270900	1970-05-12	1560	A
USGS	11270900	1970-05-13	1520	A
USGS	11270900	1970-05-14	1500	A
USGS	11270900	1970-05-15	1490	A
USGS	11270900	1970-05-16	1500	A
USGS	11270900	1970-05-17	1490	A
USGS	11270900	1970-05-18	1510	A
USGS	11270900	1970-05-19	1530	A
USGS	11270900	1970-05-20	1540	A
USGS	11270900	1970-05-21	1570	A
USGS	11270900	1970-05-22	1550	A
USGS	11270900	1970-05-23	1540	A
USGS	11270900	1970-05-24	1540	A
USGS	11270900	1970-05-25	1540	A
USGS	11270900	1970-05-26	1570	A
USGS	11270900	1970-05-27	1590	A
USGS	11270900	1970-05-28	1580	A
USGS	11270900	1970-05-29	1570	A
USGS	11270900	1970-05-30	1570	A
USGS	11270900	1970-05-31	1570	A
USGS	11270900	1970-06-01	1580	A
USGS	11270900	1970-06-02	1640	A
USGS	11270900	1970-06-03	1740	A
USGS	11270900	1970-06-04	1820	A
USGS	11270900	1970-06-05	1800	A
USGS	11270900	1970-06-06	1750	A
USGS	11270900	1970-06-07	1740	A
USGS	11270900	1970-06-08	1740	A
USGS	11270900	1970-06-09	1690	A
USGS	11270900	1970-06-10	1630	A
USGS	11270900	1970-06-11	1620	A
USGS	11270900	1970-06-12	1610	A
USGS	11270900	1970-06-13	1600	A
USGS	11270900	1970-06-14	1600	A
USGS	11270900	1970-06-15	1550	A
USGS	11270900	1970-06-16	1630	A
USGS	11270900	1970-06-17	1710	A
USGS	11270900	1970-06-18	1680	A
USGS	11270900	1970-06-19	1740	A
USGS	11270900	1970-06-20	1770	A
USGS	11270900	1970-06-21	1760	A
USGS	11270900	1970-06-22	1760	A
USGS	11270900	1970-06-23	1800	A
USGS	11270900	1970-06-24	1840	A
USGS	11270900	1970-06-25	1840	A
USGS	11270900	1970-06-26	1830	A
USGS	11270900	1970-06-27	1790	A
USGS	11270900	1970-06-28	1760	A
USGS	11270900	1970-06-29	1770	A
USGS	11270900	1970-06-30	1770	A
USGS	11270900	1970-07-01	1740	A
USGS	11270900	1970-07-02	1740	A
USGS	11270900	1970-07-03	1740	A
USGS	11270900	1970-07-04	1740	A
USGS	11270900	1970-07-05	1760	A
USGS	11270900	1970-07-06	1780	A
USGS	11270900	1970-07-07	1800	A
USGS	11270900	1970-07-08	1870	A
USGS	11270900	1970-07-09	1930	A
USGS	11270900	1970-07-10	1940	A
USGS	11270900	1970-07-11	1940	A
USGS	11270900	1970-07-12	1930	A
USGS	11270900	1970-07-13	1920	A
USGS	11270900	1970-07-14	1910	A
USGS	11270900	1970-07-15	1900	A
USGS	11270900	1970-07-16	1910	A
USGS	11270900	1970-07-17	1880	A
USGS	11270900	1970-07-18	1860	A
USGS	11270900	1970-07-19	1820	A
USGS	11270900	1970-07-20	1810	A
USGS	11270900	1970-07-21	1880	A
USGS	11270900	1970-07-22	1920	A
USGS	11270900	1970-07-23	1910	A
USGS	11270900	1970-07-24	1910	A
USGS	11270900	1970-07-25	1910	A
USGS	11270900	1970-07-26	1880	A
USGS	11270900	1970-07-27	1880	A
USGS	11270900	1970-07-28	1930	A
USGS	11270900	1970-07-29	1910	A
USGS	11270900	1970-07-30	1920	A
USGS	11270900	1970-07-31	1910	A
USGS	11270900	1970-08-01	1890	A
USGS	11270900	1970-08-02	1860	A
USGS	11270900	1970-08-03	1840	A
USGS	11270900	1970-08-04	1830	A
USGS	11270900	1970-08-05	1810	A
USGS	11270900	1970-08-06	1800	A
USGS	11270900	1970-08-07	1810	A
USGS	11270900	1970-08-08	1830	A
USGS	11270900	1970-08-09	1840	A
USGS	11270900	1970-08-10	1800	A
USGS	11270900	1970-08-11	1810	A
USGS	11270900	1970-08-12	1820	A
USGS	11270900	1970-08-13	1840	A
USGS	11270900	1970-08-14	1830	A
USGS	11270900	1970-08-15	1790	A
USGS	11270900	1970-08-16	1770	A
USGS	11270900	1970-08-17	1770	A
USGS	11270900	1970-08-18	1780	A
USGS	11270900	1970-08-19	1750	A
USGS	11270900	1970-08-20	1740	A
USGS	11270900	1970-08-21	1710	A
USGS	11270900	1970-08-22	1670	A
USGS	11270900	1970-08-23	1630	A
USGS	11270900	1970-08-24	1620	A
USGS	11270900	1970-08-25	1620	A
USGS	11270900	1970-08-26	1590	A
USGS	11270900	1970-08-27	1620	A
USGS	11270900	1970-08-28	1590	A
USGS	11270900	1970-08-29	1570	A
USGS	11270900	1970-08-30	1560	A
USGS	11270900	1970-08-31	1480	A
USGS	11270900	1970-09-01	1450	A
USGS	11270900	1970-09-02	1430	A
USGS	11270900	1970-09-03	1410	A
USGS	11270900	1970-09-04	1410	A
USGS	11270900	1970-09-05	1430	A
USGS	11270900	1970-09-06	1450	A
USGS	11270900	1970-09-07	1390	A
USGS	11270900	1970-09-08	1320	A
USGS	11270900	1970-09-09	1360	A
USGS	11270900	1970-09-10	1380	A
USGS	11270900	1970-09-11	1410	A
USGS	11270900	1970-09-12	1380	A
USGS	11270900	1970-09-13	1370	A
USGS	11270900	1970-09-14	1320	A
USGS	11270900	1970-09-15	1260	A
USGS	11270900	1970-09-16	1220	A
USGS	11270900	1970-09-17	1170	A
USGS	11270900	1970-09-18	1160	A
USGS	11270900	1970-09-19	1160	A
USGS	11270900	1970-09-20	1190	A
USGS	11270900	1970-09-21	1220	A
USGS	11270900	1970-09-22	1190	A
USGS	11270900	1970-09-23	1180	A
USGS	11270900	1970-09-24	1150	A
USGS	11270900	1970-09-25	1160	A
USGS	11270900	1970-09-26	1140	A
USGS	11270900	1970-09-27	1130	A
USGS	11270900	1970-09-28	1110	A
USGS	11270900	1970-09-29	1160	A
USGS	11270900	1970-09-30	1200	A
USGS	11270900	1970-10-01	1160	A
USGS	11270900	1970-10-02	1150	A
