# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:06:07 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11289650 TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11289650
#            TS   parameter     statistic     Description
#          9716       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=11289650&ts_ids=9716]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9716_00060_00003	9716_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11289650	1970-10-01	11.0	A
USGS	11289650	1970-10-02	61.0	A
USGS	11289650	1970-10-03	17.0	A
USGS	11289650	1970-10-04	9.60	A
USGS	11289650	1970-10-05	9.60	A
USGS	11289650	1970-10-06	10.0	A
USGS	11289650	1970-10-07	11.0	A
USGS	11289650	1970-10-08	13.0	A
USGS	11289650	1970-10-09	12.0	A
USGS	11289650	1970-10-10	12.0	A
USGS	11289650	1970-10-11	3.50	A
USGS	11289650	1970-10-12	7.50	A
USGS	11289650	1970-10-13	7.20	A
USGS	11289650	1970-10-14	4.10	A
USGS	11289650	1970-10-15	6.10	A
USGS	11289650	1970-10-16	2.20	A
USGS	11289650	1970-10-17	4.80	A
USGS	11289650	1970-10-18	9.10	A
USGS	11289650	1970-10-19	17.0	A
USGS	11289650	1970-10-20	4.70	A
USGS	11289650	1970-10-21	2.50	A
USGS	11289650	1970-10-22	1.50	A
USGS	11289650	1970-10-23	1.20	A
USGS	11289650	1970-10-24	1.00	A
USGS	11289650	1970-10-25	0.60	A
USGS	11289650	1970-10-26	0.40	A
USGS	11289650	1970-10-27	0.30	A
USGS	11289650	1970-10-28	0.20	A
USGS	11289650	1970-10-29	0.10	A
USGS	11289650	1970-10-30	0.10	A
USGS	11289650	1970-10-31	0.10	A
USGS	11289650	1970-11-01	0.10	A
USGS	11289650	1970-11-02	0.10	A
USGS	11289650	1970-11-03	0.10	A
USGS	11289650	1970-11-04	0.20	A
USGS	11289650	1970-11-05	0.30	A
USGS	11289650	1970-11-06	0.30	A
USGS	11289650	1970-11-07	0.40	A
USGS	11289650	1970-11-08	11.0	A
USGS	11289650	1970-11-09	97.0	A
USGS	11289650	1970-11-10	220	A
USGS	11289650	1970-11-11	218	A
USGS	11289650	1970-11-12	220	A
USGS	11289650	1970-11-13	214	A
USGS	11289650	1970-11-14	213	A
USGS	11289650	1970-11-15	211	A
USGS	11289650	1970-11-16	196	A
USGS	11289650	1970-11-17	198	A
USGS	11289650	1970-11-18	196	A
USGS	11289650	1970-11-19	198	A
USGS	11289650	1970-11-20	199	A
USGS	11289650	1970-11-21	199	A
USGS	11289650	1970-11-22	199	A
USGS	11289650	1970-11-23	199	A
USGS	11289650	1970-11-24	201	A
USGS	11289650	1970-11-25	201	A
USGS	11289650	1970-11-26	201	A
USGS	11289650	1970-11-27	199	A
USGS	11289650	1970-11-28	201	A
USGS	11289650	1970-11-29	203	A
USGS	11289650	1970-11-30	201	A
USGS	11289650	1970-12-01	203	A
USGS	11289650	1970-12-02	203	A
USGS	11289650	1970-12-03	421	A
USGS	11289650	1970-12-04	1470	A
USGS	11289650	1970-12-05	2460	A
USGS	11289650	1970-12-06	2460	A
USGS	11289650	1970-12-07	1810	A
USGS	11289650	1970-12-08	970	A
USGS	11289650	1970-12-09	697	A
USGS	11289650	1970-12-10	643	A
USGS	11289650	1970-12-11	689	A
USGS	11289650	1970-12-12	866	A
USGS	11289650	1970-12-13	997	A
USGS	11289650	1970-12-14	1160	A
USGS	11289650	1970-12-15	1270	A
USGS	11289650	1970-12-16	1500	A
USGS	11289650	1970-12-17	2060	A
USGS	11289650	1970-12-18	2180	A
USGS	11289650	1970-12-19	2250	A
USGS	11289650	1970-12-20	2240	A
USGS	11289650	1970-12-21	2180	A
USGS	11289650	1970-12-22	2180	A
USGS	11289650	1970-12-23	2190	A
USGS	11289650	1970-12-24	2280	A
USGS	11289650	1970-12-25	2330	A
USGS	11289650	1970-12-26	2370	A
USGS	11289650	1970-12-27	2400	A
USGS	11289650	1970-12-28	2420	A
USGS	11289650	1970-12-29	2090	A
USGS	11289650	1970-12-30	2020	A
USGS	11289650	1970-12-31	2080	A
USGS	11289650	1971-01-01	2320	A
USGS	11289650	1971-01-02	2490	A
USGS	11289650	1971-01-03	2490	A
USGS	11289650	1971-01-04	2300	A
USGS	11289650	1971-01-05	1510	A
