# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:05:17 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11302000 STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11302000
#            TS   parameter     statistic     Description
#        213275       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	213275_00060_00003	213275_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11302000	1970-01-01	1760	A
USGS	11302000	1970-01-02	686	A
USGS	11302000	1970-01-03	847	A
USGS	11302000	1970-01-04	868	A
USGS	11302000	1970-01-05	868	A
USGS	11302000	1970-01-06	428	A
USGS	11302000	1970-01-07	280	A
USGS	11302000	1970-01-08	903	A
USGS	11302000	1970-01-09	910	A
USGS	11302000	1970-01-10	854	A
USGS	11302000	1970-01-11	875	A
USGS	11302000	1970-01-12	875	A
USGS	11302000	1970-01-13	875	A
USGS	11302000	1970-01-14	1160	A
USGS	11302000	1970-01-15	1820	A
USGS	11302000	1970-01-16	4440	A
USGS	11302000	1970-01-17	12100	A
USGS	11302000	1970-01-18	8150	A
USGS	11302000	1970-01-19	6980	A
USGS	11302000	1970-01-20	6340	A
USGS	11302000	1970-01-21	9180	A
USGS	11302000	1970-01-22	16200	A
USGS	11302000	1970-01-23	9090	A
USGS	11302000	1970-01-24	7830	A
USGS	11302000	1970-01-25	7850	A
USGS	11302000	1970-01-26	7850	A
USGS	11302000	1970-01-27	7400	A
USGS	11302000	1970-01-28	6220	A
USGS	11302000	1970-01-29	4920	A
USGS	11302000	1970-01-30	3620	A
USGS	11302000	1970-01-31	2640	A
USGS	11302000	1970-02-01	2570	A
USGS	11302000	1970-02-02	2350	A
USGS	11302000	1970-02-03	2960	A
USGS	11302000	1970-02-04	3110	A
USGS	11302000	1970-02-05	2820	A
USGS	11302000	1970-02-06	2580	A
USGS	11302000	1970-02-07	2400	A
USGS	11302000	1970-02-08	2250	A
USGS	11302000	1970-02-09	2140	A
USGS	11302000	1970-02-10	2120	A
USGS	11302000	1970-02-11	2090	A
USGS	11302000	1970-02-12	2070	A
USGS	11302000	1970-02-13	2040	A
USGS	11302000	1970-02-14	1630	A
USGS	11302000	1970-02-15	1640	A
USGS	11302000	1970-02-16	1660	A
USGS	11302000	1970-02-17	1680	A
USGS	11302000	1970-02-18	1950	A
USGS	11302000	1970-02-19	2130	A
USGS	11302000	1970-02-20	2150	A
USGS	11302000	1970-02-21	2150	A
USGS	11302000	1970-02-22	2150	A
USGS	11302000	1970-02-23	2150	A
USGS	11302000	1970-02-24	2150	A
USGS	11302000	1970-02-25	2010	A
USGS	11302000	1970-02-26	1870	A
USGS	11302000	1970-02-27	1870	A
USGS	11302000	1970-02-28	1870	A
USGS	11302000	1970-03-01	2340	A
USGS	11302000	1970-03-02	3940	A
USGS	11302000	1970-03-03	3580	A
USGS	11302000	1970-03-04	2930	A
