# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:58:17 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11329500 DRY C NR GALT CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11329500
#            TS   parameter     statistic     Description
#          9983       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9983_00060_00003	9983_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11329500	1970-01-01	65.0	A
USGS	11329500	1970-01-02	47.0	A
USGS	11329500	1970-01-03	41.0	A
USGS	11329500	1970-01-04	36.0	A
USGS	11329500	1970-01-05	31.0	A
USGS	11329500	1970-01-06	28.0	A
USGS	11329500	1970-01-07	27.0	A
USGS	11329500	1970-01-08	26.0	A
USGS	11329500	1970-01-09	31.0	A
USGS	11329500	1970-01-10	158	A
USGS	11329500	1970-01-11	183	A
USGS	11329500	1970-01-12	128	A
USGS	11329500	1970-01-13	132	A
USGS	11329500	1970-01-14	1700	A
USGS	11329500	1970-01-15	1990	A
USGS	11329500	1970-01-16	2170	A
USGS	11329500	1970-01-17	2820	A
USGS	11329500	1970-01-18	1440	A
USGS	11329500	1970-01-19	620	A
USGS	11329500	1970-01-20	422	A
USGS	11329500	1970-01-21	2420	A
USGS	11329500	1970-01-22	3110	A
USGS	11329500	1970-01-23	1400	A
USGS	11329500	1970-01-24	1670	A
USGS	11329500	1970-01-25	1280	A
USGS	11329500	1970-01-26	795	A
USGS	11329500	1970-01-27	876	A
USGS	11329500	1970-01-28	735	A
USGS	11329500	1970-01-29	543	A
USGS	11329500	1970-01-30	474	A
USGS	11329500	1970-01-31	420	A
USGS	11329500	1970-02-01	378	A
USGS	11329500	1970-02-02	343	A
USGS	11329500	1970-02-03	317	A
USGS	11329500	1970-02-04	303	A
USGS	11329500	1970-02-05	292	A
USGS	11329500	1970-02-06	271	A
USGS	11329500	1970-02-07	274	A
USGS	11329500	1970-02-08	267	A
USGS	11329500	1970-02-09	248	A
USGS	11329500	1970-02-10	238	A
USGS	11329500	1970-02-11	233	A
USGS	11329500	1970-02-12	231	A
USGS	11329500	1970-02-13	276	A
USGS	11329500	1970-02-14	391	A
USGS	11329500	1970-02-15	320	A
