# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:56:53 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11335000 COSUMNES R A MICHIGAN BAR CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11335000
#            TS   parameter     statistic     Description
#          9996       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9996_00060_00003	9996_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11335000	1970-01-01	302	A
USGS	11335000	1970-01-02	274	A
USGS	11335000	1970-01-03	240	A
USGS	11335000	1970-01-04	222	A
USGS	11335000	1970-01-05	208	A
USGS	11335000	1970-01-06	190	A
USGS	11335000	1970-01-07	190	A
USGS	11335000	1970-01-08	198	A
USGS	11335000	1970-01-09	229	A
USGS	11335000	1970-01-10	902	A
USGS	11335000	1970-01-11	764	A
USGS	11335000	1970-01-12	641	A
USGS	11335000	1970-01-13	824	A
USGS	11335000	1970-01-14	5220	A
USGS	11335000	1970-01-15	3620	A
USGS	11335000	1970-01-16	8810	A
USGS	11335000	1970-01-17	9420	A
USGS	11335000	1970-01-18	5290	A
USGS	11335000	1970-01-19	3640	A
USGS	11335000	1970-01-20	3710	A
USGS	11335000	1970-01-21	11300	A
USGS	11335000	1970-01-22	11100	A
USGS	11335000	1970-01-23	5570	A
USGS	11335000	1970-01-24	6500	A
USGS	11335000	1970-01-25	4700	A
USGS	11335000	1970-01-26	3560	A
USGS	11335000	1970-01-27	4280	A
USGS	11335000	1970-01-28	3540	A
USGS	11335000	1970-01-29	2720	A
USGS	11335000	1970-01-30	2280	A
USGS	11335000	1970-01-31	1880	A
USGS	11335000	1970-02-01	1610	A
USGS	11335000	1970-02-02	1390	A
USGS	11335000	1970-02-03	1250	A
USGS	11335000	1970-02-04	1130	A
USGS	11335000	1970-02-05	1040	A
USGS	11335000	1970-02-06	1030	A
USGS	11335000	1970-02-07	950	A
USGS	11335000	1970-02-08	887	A
USGS	11335000	1970-02-09	842	A
USGS	11335000	1970-02-10	797	A
USGS	11335000	1970-02-11	779	A
USGS	11335000	1970-02-12	797	A
USGS	11335000	1970-02-13	1170	A
USGS	11335000	1970-02-14	1740	A
USGS	11335000	1970-02-15	1200	A
USGS	11335000	1970-02-16	1030	A
USGS	11335000	1970-02-17	3220	A
USGS	11335000	1970-02-18	1880	A
USGS	11335000	1970-02-19	1450	A
USGS	11335000	1970-02-20	1280	A
USGS	11335000	1970-02-21	1160	A
USGS	11335000	1970-02-22	1070	A
USGS	11335000	1970-02-23	980	A
USGS	11335000	1970-02-24	941	A
USGS	11335000	1970-02-25	878	A
USGS	11335000	1970-02-26	833	A
USGS	11335000	1970-02-27	806	A
USGS	11335000	1970-02-28	779	A
USGS	11335000	1970-03-01	3610	A
USGS	11335000	1970-03-02	2980	A
USGS	11335000	1970-03-03	1740	A
USGS	11335000	1970-03-04	1690	A
USGS	11335000	1970-03-05	1750	A
USGS	11335000	1970-03-06	1370	A
USGS	11335000	1970-03-07	1250	A
USGS	11335000	1970-03-08	2100	A
USGS	11335000	1970-03-09	1560	A
USGS	11335000	1970-03-10	1670	A
USGS	11335000	1970-03-11	1440	A
USGS	11335000	1970-03-12	1320	A
USGS	11335000	1970-03-13	1200	A
USGS	11335000	1970-03-14	1160	A
USGS	11335000	1970-03-15	1150	A
USGS	11335000	1970-03-16	1120	A
USGS	11335000	1970-03-17	1090	A
USGS	11335000	1970-03-18	1030	A
USGS	11335000	1970-03-19	960	A
USGS	11335000	1970-03-20	905	A
USGS	11335000	1970-03-21	860	A
USGS	11335000	1970-03-22	824	A
USGS	11335000	1970-03-23	806	A
USGS	11335000	1970-03-24	770	A
USGS	11335000	1970-03-25	752	A
USGS	11335000	1970-03-26	725	A
USGS	11335000	1970-03-27	680	A
USGS	11335000	1970-03-28	648	A
USGS	11335000	1970-03-29	648	A
USGS	11335000	1970-03-30	608	A
USGS	11335000	1970-03-31	576	A
USGS	11335000	1970-04-01	544	A
USGS	11335000	1970-04-02	518	A
USGS	11335000	1970-04-03	506	A
USGS	11335000	1970-04-04	488	A
USGS	11335000	1970-04-05	482	A
USGS	11335000	1970-04-06	470	A
USGS	11335000	1970-04-07	464	A
USGS	11335000	1970-04-08	454	A
USGS	11335000	1970-04-09	448	A
USGS	11335000	1970-04-10	442	A
USGS	11335000	1970-04-11	448	A
USGS	11335000	1970-04-12	432	A
USGS	11335000	1970-04-13	454	A
USGS	11335000	1970-04-14	632	A
USGS	11335000	1970-04-15	524	A
USGS	11335000	1970-04-16	470	A
USGS	11335000	1970-04-17	448	A
USGS	11335000	1970-04-18	437	A
USGS	11335000	1970-04-19	448	A
USGS	11335000	1970-04-20	470	A
USGS	11335000	1970-04-21	432	A
USGS	11335000	1970-04-22	415	A
USGS	11335000	1970-04-23	393	A
USGS	11335000	1970-04-24	376	A
USGS	11335000	1970-04-25	376	A
USGS	11335000	1970-04-26	388	A
USGS	11335000	1970-04-27	442	A
USGS	11335000	1970-04-28	426	A
USGS	11335000	1970-04-29	388	A
USGS	11335000	1970-04-30	388	A
USGS	11335000	1970-05-01	393	A
USGS	11335000	1970-05-02	404	A
USGS	11335000	1970-05-03	415	A
USGS	11335000	1970-05-04	432	A
USGS	11335000	1970-05-05	442	A
USGS	11335000	1970-05-06	448	A
USGS	11335000	1970-05-07	454	A
USGS	11335000	1970-05-08	432	A
USGS	11335000	1970-05-09	426	A
USGS	11335000	1970-05-10	426	A
USGS	11335000	1970-05-11	420	A
USGS	11335000	1970-05-12	404	A
USGS	11335000	1970-05-13	382	A
USGS	11335000	1970-05-14	371	A
USGS	11335000	1970-05-15	376	A
USGS	11335000	1970-05-16	393	A
USGS	11335000	1970-05-17	426	A
USGS	11335000	1970-05-18	442	A
USGS	11335000	1970-05-19	437	A
USGS	11335000	1970-05-20	415	A
USGS	11335000	1970-05-21	376	A
USGS	11335000	1970-05-22	355	A
USGS	11335000	1970-05-23	340	A
USGS	11335000	1970-05-24	330	A
USGS	11335000	1970-05-25	310	A
USGS	11335000	1970-05-26	301	A
USGS	11335000	1970-05-27	306	A
USGS	11335000	1970-05-28	288	A
USGS	11335000	1970-05-29	265	A
USGS	11335000	1970-05-30	245	A
USGS	11335000	1970-05-31	233	A
USGS	11335000	1970-06-01	222	A
USGS	11335000	1970-06-02	211	A
USGS	11335000	1970-06-03	211	A
USGS	11335000	1970-06-04	190	A
USGS	11335000	1970-06-05	172	A
USGS	11335000	1970-06-06	163	A
USGS	11335000	1970-06-07	155	A
USGS	11335000	1970-06-08	148	A
USGS	11335000	1970-06-09	224	A
USGS	11335000	1970-06-10	278	A
USGS	11335000	1970-06-11	200	A
USGS	11335000	1970-06-12	169	A
USGS	11335000	1970-06-13	158	A
USGS	11335000	1970-06-14	158	A
USGS	11335000	1970-06-15	155	A
USGS	11335000	1970-06-16	152	A
USGS	11335000	1970-06-17	131	A
USGS	11335000	1970-06-18	120	A
USGS	11335000	1970-06-19	120	A
USGS	11335000	1970-06-20	111	A
USGS	11335000	1970-06-21	102	A
USGS	11335000	1970-06-22	96.0	A
USGS	11335000	1970-06-23	89.0	A
USGS	11335000	1970-06-24	84.0	A
USGS	11335000	1970-06-25	83.0	A
USGS	11335000	1970-06-26	81.0	A
USGS	11335000	1970-06-27	86.0	A
USGS	11335000	1970-06-28	94.0	A
USGS	11335000	1970-06-29	88.0	A
USGS	11335000	1970-06-30	88.0	A
USGS	11335000	1970-07-01	80.0	A
USGS	11335000	1970-07-02	80.0	A
USGS	11335000	1970-07-03	80.0	A
USGS	11335000	1970-07-04	77.0	A
USGS	11335000	1970-07-05	71.0	A
USGS	11335000	1970-07-06	70.0	A
USGS	11335000	1970-07-07	65.0	A
USGS	11335000	1970-07-08	59.0	A
USGS	11335000	1970-07-09	58.0	A
USGS	11335000	1970-07-10	58.0	A
USGS	11335000	1970-07-11	57.0	A
USGS	11335000	1970-07-12	56.0	A
USGS	11335000	1970-07-13	54.0	A
USGS	11335000	1970-07-14	52.0	A
USGS	11335000	1970-07-15	50.0	A
USGS	11335000	1970-07-16	53.0	A
USGS	11335000	1970-07-17	74.0	A
USGS	11335000	1970-07-18	72.0	A
USGS	11335000	1970-07-19	71.0	A
USGS	11335000	1970-07-20	71.0	A
USGS	11335000	1970-07-21	68.0	A
USGS	11335000	1970-07-22	67.0	A
USGS	11335000	1970-07-23	68.0	A
USGS	11335000	1970-07-24	60.0	A
USGS	11335000	1970-07-25	59.0	A
USGS	11335000	1970-07-26	58.0	A
USGS	11335000	1970-07-27	58.0	A
USGS	11335000	1970-07-28	56.0	A
USGS	11335000	1970-07-29	54.0	A
USGS	11335000	1970-07-30	52.0	A
USGS	11335000	1970-07-31	48.0	A
USGS	11335000	1970-08-01	48.0	A
USGS	11335000	1970-08-02	46.0	A
USGS	11335000	1970-08-03	48.0	A
USGS	11335000	1970-08-04	46.0	A
USGS	11335000	1970-08-05	45.0	A
USGS	11335000	1970-08-06	46.0	A
USGS	11335000	1970-08-07	44.0	A
USGS	11335000	1970-08-08	43.0	A
USGS	11335000	1970-08-09	43.0	A
USGS	11335000	1970-08-10	57.0	A
USGS	11335000	1970-08-11	57.0	A
USGS	11335000	1970-08-12	57.0	A
USGS	11335000	1970-08-13	57.0	A
USGS	11335000	1970-08-14	56.0	A
USGS	11335000	1970-08-15	68.0	A
USGS	11335000	1970-08-16	71.0	A
USGS	11335000	1970-08-17	71.0	A
USGS	11335000	1970-08-18	72.0	A
USGS	11335000	1970-08-19	71.0	A
USGS	11335000	1970-08-20	70.0	A
USGS	11335000	1970-08-21	58.0	A
USGS	11335000	1970-08-22	56.0	A
USGS	11335000	1970-08-23	52.0	A
USGS	11335000	1970-08-24	53.0	A
USGS	11335000	1970-08-25	53.0	A
USGS	11335000	1970-08-26	50.0	A
USGS	11335000	1970-08-27	38.0	A
USGS	11335000	1970-08-28	34.0	A
USGS	11335000	1970-08-29	34.0	A
USGS	11335000	1970-08-30	33.0	A
USGS	11335000	1970-08-31	36.0	A
USGS	11335000	1970-09-01	41.0	A
USGS	11335000	1970-09-02	40.0	A
USGS	11335000	1970-09-03	41.0	A
USGS	11335000	1970-09-04	40.0	A
USGS	11335000	1970-09-05	41.0	A
USGS	11335000	1970-09-06	46.0	A
USGS	11335000	1970-09-07	49.0	A
USGS	11335000	1970-09-08	50.0	A
USGS	11335000	1970-09-09	53.0	A
USGS	11335000	1970-09-10	50.0	A
USGS	11335000	1970-09-11	48.0	A
USGS	11335000	1970-09-12	50.0	A
USGS	11335000	1970-09-13	49.0	A
USGS	11335000	1970-09-14	50.0	A
USGS	11335000	1970-09-15	50.0	A
USGS	11335000	1970-09-16	49.0	A
USGS	11335000	1970-09-17	50.0	A
USGS	11335000	1970-09-18	49.0	A
USGS	11335000	1970-09-19	49.0	A
USGS	11335000	1970-09-20	39.0	A
USGS	11335000	1970-09-21	30.0	A
USGS	11335000	1970-09-22	28.0	A
USGS	11335000	1970-09-23	26.0	A
USGS	11335000	1970-09-24	27.0	A
USGS	11335000	1970-09-25	23.0	A
USGS	11335000	1970-09-26	20.0	A
USGS	11335000	1970-09-27	20.0	A
USGS	11335000	1970-09-28	23.0	A
USGS	11335000	1970-09-29	24.0	A
USGS	11335000	1970-09-30	24.0	A
USGS	11335000	1970-10-01	23.0	A
USGS	11335000	1970-10-02	18.0	A
USGS	11335000	1970-10-03	18.0	A
USGS	11335000	1970-10-04	17.0	A
USGS	11335000	1970-10-05	16.0	A
USGS	11335000	1970-10-06	14.0	A
USGS	11335000	1970-10-07	14.0	A
USGS	11335000	1970-10-08	14.0	A
USGS	11335000	1970-10-09	14.0	A
USGS	11335000	1970-10-10	15.0	A
USGS	11335000	1970-10-11	15.0	A
USGS	11335000	1970-10-12	16.0	A
USGS	11335000	1970-10-13	17.0	A
USGS	11335000	1970-10-14	16.0	A
USGS	11335000	1970-10-15	16.0	A
USGS	11335000	1970-10-16	17.0	A
USGS	11335000	1970-10-17	18.0	A
USGS	11335000	1970-10-18	18.0	A
USGS	11335000	1970-10-19	18.0	A
USGS	11335000	1970-10-20	20.0	A
USGS	11335000	1970-10-21	23.0	A
USGS	11335000	1970-10-22	35.0	A
USGS	11335000	1970-10-23	43.0	A
USGS	11335000	1970-10-24	62.0	A
USGS	11335000	1970-10-25	62.0	A
USGS	11335000	1970-10-26	57.0	A
USGS	11335000	1970-10-27	45.0	A
USGS	11335000	1970-10-28	40.0	A
USGS	11335000	1970-10-29	35.0	A
USGS	11335000	1970-10-30	34.0	A
USGS	11335000	1970-10-31	33.0	A
USGS	11335000	1970-11-01	35.0	A
USGS	11335000	1970-11-02	35.0	A
USGS	11335000	1970-11-03	34.0	A
USGS	11335000	1970-11-04	39.0	A
USGS	11335000	1970-11-05	60.0	A
USGS	11335000	1970-11-06	148	A
USGS	11335000	1970-11-07	155	A
USGS	11335000	1970-11-08	135	A
USGS	11335000	1970-11-09	88.0	A
USGS	11335000	1970-11-10	75.0	A
USGS	11335000	1970-11-11	74.0	A
USGS	11335000	1970-11-12	75.0	A
USGS	11335000	1970-11-13	102	A
USGS	11335000	1970-11-14	91.0	A
USGS	11335000	1970-11-15	74.0	A
USGS	11335000	1970-11-16	68.0	A
USGS	11335000	1970-11-17	60.0	A
USGS	11335000	1970-11-18	57.0	A
USGS	11335000	1970-11-19	56.0	A
USGS	11335000	1970-11-20	53.0	A
USGS	11335000	1970-11-21	52.0	A
USGS	11335000	1970-11-22	52.0	A
USGS	11335000	1970-11-23	51.0	A
USGS	11335000	1970-11-24	52.0	A
USGS	11335000	1970-11-25	184	A
USGS	11335000	1970-11-26	1080	A
USGS	11335000	1970-11-27	420	A
USGS	11335000	1970-11-28	923	A
USGS	11335000	1970-11-29	2920	A
USGS	11335000	1970-11-30	1360	A
USGS	11335000	1970-12-01	2350	A
USGS	11335000	1970-12-02	3370	A
USGS	11335000	1970-12-03	1470	A
USGS	11335000	1970-12-04	4960	A
USGS	11335000	1970-12-05	2140	A
USGS	11335000	1970-12-06	1040	A
USGS	11335000	1970-12-07	716	A
USGS	11335000	1970-12-08	646	A
USGS	11335000	1970-12-09	980	A
USGS	11335000	1970-12-10	740	A
USGS	11335000	1970-12-11	584	A
USGS	11335000	1970-12-12	512	A
USGS	11335000	1970-12-13	446	A
USGS	11335000	1970-12-14	395	A
USGS	11335000	1970-12-15	360	A
USGS	11335000	1970-12-16	1080	A
USGS	11335000	1970-12-17	1720	A
USGS	11335000	1970-12-18	1010	A
USGS	11335000	1970-12-19	716	A
USGS	11335000	1970-12-20	590	A
USGS	11335000	1970-12-21	944	A
USGS	11335000	1970-12-22	848	A
USGS	11335000	1970-12-23	604	A
USGS	11335000	1970-12-24	524	A
USGS	11335000	1970-12-25	452	A
USGS	11335000	1970-12-26	428	A
USGS	11335000	1970-12-27	611	A
USGS	11335000	1970-12-28	902	A
USGS	11335000	1970-12-29	970	A
USGS	11335000	1970-12-30	884	A
USGS	11335000	1970-12-31	692	A
USGS	11335000	1971-01-01	597	A
USGS	11335000	1971-01-02	708	A
USGS	11335000	1971-01-03	548	A
USGS	11335000	1971-01-04	452	A
USGS	11335000	1971-01-05	428	A
USGS	11335000	1971-01-06	400	A
USGS	11335000	1971-01-07	375	A
USGS	11335000	1971-01-08	351	A
USGS	11335000	1971-01-09	338	A
USGS	11335000	1971-01-10	324	A
USGS	11335000	1971-01-11	345	A
USGS	11335000	1971-01-12	778	A
USGS	11335000	1971-01-13	1380	A
USGS	11335000	1971-01-14	1110	A
USGS	11335000	1971-01-15	866	A
USGS	11335000	1971-01-16	708	A
USGS	11335000	1971-01-17	812	A
USGS	11335000	1971-01-18	970	A
USGS	11335000	1971-01-19	950	A
USGS	11335000	1971-01-20	960	A
USGS	11335000	1971-01-21	911	A
USGS	11335000	1971-01-22	830	A
USGS	11335000	1971-01-23	749	A
USGS	11335000	1971-01-24	676	A
USGS	11335000	1971-01-25	618	A
USGS	11335000	1971-01-26	572	A
USGS	11335000	1971-01-27	560	A
USGS	11335000	1971-01-28	554	A
USGS	11335000	1971-01-29	554	A
USGS	11335000	1971-01-30	554	A
USGS	11335000	1971-01-31	560	A
USGS	11335000	1971-02-01	566	A
USGS	11335000	1971-02-02	572	A
USGS	11335000	1971-02-03	560	A
USGS	11335000	1971-02-04	524	A
USGS	11335000	1971-02-05	500	A
USGS	11335000	1971-02-06	476	A
USGS	11335000	1971-02-07	458	A
USGS	11335000	1971-02-08	434	A
USGS	11335000	1971-02-09	416	A
USGS	11335000	1971-02-10	405	A
USGS	11335000	1971-02-11	422	A
USGS	11335000	1971-02-12	476	A
USGS	11335000	1971-02-13	542	A
USGS	11335000	1971-02-14	584	A
USGS	11335000	1971-02-15	611	A
USGS	11335000	1971-02-16	618	A
USGS	11335000	1971-02-17	604	A
USGS	11335000	1971-02-18	560	A
USGS	11335000	1971-02-19	584	A
USGS	11335000	1971-02-20	530	A
USGS	11335000	1971-02-21	464	A
USGS	11335000	1971-02-22	434	A
USGS	11335000	1971-02-23	416	A
USGS	11335000	1971-02-24	385	A
USGS	11335000	1971-02-25	360	A
USGS	11335000	1971-02-26	338	A
USGS	11335000	1971-02-27	324	A
USGS	11335000	1971-02-28	328	A
USGS	11335000	1971-03-01	324	A
USGS	11335000	1971-03-02	299	A
USGS	11335000	1971-03-03	295	A
USGS	11335000	1971-03-04	291	A
USGS	11335000	1971-03-05	287	A
USGS	11335000	1971-03-06	275	A
USGS	11335000	1971-03-07	263	A
USGS	11335000	1971-03-08	259	A
USGS	11335000	1971-03-09	255	A
USGS	11335000	1971-03-10	247	A
USGS	11335000	1971-03-11	259	A
USGS	11335000	1971-03-12	643	A
USGS	11335000	1971-03-13	704	A
USGS	11335000	1971-03-14	536	A
USGS	11335000	1971-03-15	482	A
USGS	11335000	1971-03-16	458	A
USGS	11335000	1971-03-17	452	A
