# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:04:28 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11370500 SACRAMENTO R A KESWICK CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11370500
#            TS   parameter     statistic     Description
#         10158       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10158_00060_00003	10158_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11370500	1970-01-01	19600	A
USGS	11370500	1970-01-02	16900	A
USGS	11370500	1970-01-03	15200	A
USGS	11370500	1970-01-04	15300	A
USGS	11370500	1970-01-05	15300	A
USGS	11370500	1970-01-06	15200	A
USGS	11370500	1970-01-07	15200	A
USGS	11370500	1970-01-08	15200	A
USGS	11370500	1970-01-09	15400	A
USGS	11370500	1970-01-10	15300	A
USGS	11370500	1970-01-11	15200	A
USGS	11370500	1970-01-12	15300	A
USGS	11370500	1970-01-13	15400	A
USGS	11370500	1970-01-14	18000	A
USGS	11370500	1970-01-15	34100	A
USGS	11370500	1970-01-16	22700	A
USGS	11370500	1970-01-17	36200	A
USGS	11370500	1970-01-18	36100	A
USGS	11370500	1970-01-19	40900	A
USGS	11370500	1970-01-20	50400	A
USGS	11370500	1970-01-21	51600	A
USGS	11370500	1970-01-22	54200	A
USGS	11370500	1970-01-23	38900	A
USGS	11370500	1970-01-24	39500	A
USGS	11370500	1970-01-25	77200	A
USGS	11370500	1970-01-26	76000	A
USGS	11370500	1970-01-27	74500	A
USGS	11370500	1970-01-28	75800	A
USGS	11370500	1970-01-29	74700	A
USGS	11370500	1970-01-30	74800	A
USGS	11370500	1970-01-31	74700	A
USGS	11370500	1970-02-01	70300	A
USGS	11370500	1970-02-02	65200	A
USGS	11370500	1970-02-03	58600	A
USGS	11370500	1970-02-04	57000	A
USGS	11370500	1970-02-05	48900	A
USGS	11370500	1970-02-06	47400	A
USGS	11370500	1970-02-07	47900	A
USGS	11370500	1970-02-08	45900	A
USGS	11370500	1970-02-09	40400	A
USGS	11370500	1970-02-10	36600	A
USGS	11370500	1970-02-11	32500	A
USGS	11370500	1970-02-12	28900	A
USGS	11370500	1970-02-13	25100	A
USGS	11370500	1970-02-14	21400	A
USGS	11370500	1970-02-15	18600	A
USGS	11370500	1970-02-16	16900	A
USGS	11370500	1970-02-17	16500	A
USGS	11370500	1970-02-18	16400	A
USGS	11370500	1970-02-19	16000	A
USGS	11370500	1970-02-20	15600	A
USGS	11370500	1970-02-21	15400	A
USGS	11370500	1970-02-22	15100	A
USGS	11370500	1970-02-23	14900	A
USGS	11370500	1970-02-24	14900	A
USGS	11370500	1970-02-25	14900	A
USGS	11370500	1970-02-26	14700	A
USGS	11370500	1970-02-27	14600	A
USGS	11370500	1970-02-28	12300	A
USGS	11370500	1970-03-01	8830	A
USGS	11370500	1970-03-02	6600	A
USGS	11370500	1970-03-03	8180	A
USGS	11370500	1970-03-04	8270	A
USGS	11370500	1970-03-05	8130	A
USGS	11370500	1970-03-06	8060	A
USGS	11370500	1970-03-07	8060	A
USGS	11370500	1970-03-08	8060	A
USGS	11370500	1970-03-09	8050	A
USGS	11370500	1970-03-10	7930	A
USGS	11370500	1970-03-11	7860	A
USGS	11370500	1970-03-12	7800	A
USGS	11370500	1970-03-13	7810	A
USGS	11370500	1970-03-14	7800	A
USGS	11370500	1970-03-15	7800	A
USGS	11370500	1970-03-16	7790	A
USGS	11370500	1970-03-17	7810	A
USGS	11370500	1970-03-18	7810	A
USGS	11370500	1970-03-19	7790	A
USGS	11370500	1970-03-20	6920	A
USGS	11370500	1970-03-21	6800	A
USGS	11370500	1970-03-22	6820	A
USGS	11370500	1970-03-23	6930	A
USGS	11370500	1970-03-24	7090	A
USGS	11370500	1970-03-25	7140	A
USGS	11370500	1970-03-26	7140	A
USGS	11370500	1970-03-27	7140	A
USGS	11370500	1970-03-28	7140	A
USGS	11370500	1970-03-29	7130	A
USGS	11370500	1970-03-30	7110	A
USGS	11370500	1970-03-31	7070	A
USGS	11370500	1970-04-01	7080	A
USGS	11370500	1970-04-02	7060	A
USGS	11370500	1970-04-03	7050	A
USGS	11370500	1970-04-04	7060	A
USGS	11370500	1970-04-05	7060	A
USGS	11370500	1970-04-06	7060	A
USGS	11370500	1970-04-07	7050	A
USGS	11370500	1970-04-08	7040	A
USGS	11370500	1970-04-09	7040	A
USGS	11370500	1970-04-10	7070	A
USGS	11370500	1970-04-11	7870	A
USGS	11370500	1970-04-12	8190	A
USGS	11370500	1970-04-13	8380	A
USGS	11370500	1970-04-14	8390	A
USGS	11370500	1970-04-15	8330	A
USGS	11370500	1970-04-16	8320	A
USGS	11370500	1970-04-17	8320	A
USGS	11370500	1970-04-18	8320	A
USGS	11370500	1970-04-19	8340	A
USGS	11370500	1970-04-20	8720	A
USGS	11370500	1970-04-21	9170	A
USGS	11370500	1970-04-22	9710	A
USGS	11370500	1970-04-23	10300	A
USGS	11370500	1970-04-24	11400	A
USGS	11370500	1970-04-25	11400	A
USGS	11370500	1970-04-26	11400	A
USGS	11370500	1970-04-27	11400	A
USGS	11370500	1970-04-28	11400	A
USGS	11370500	1970-04-29	11400	A
USGS	11370500	1970-04-30	11400	A
USGS	11370500	1970-05-01	11400	A
USGS	11370500	1970-05-02	11400	A
USGS	11370500	1970-05-03	11400	A
USGS	11370500	1970-05-04	9710	A
USGS	11370500	1970-05-05	9600	A
USGS	11370500	1970-05-06	9610	A
USGS	11370500	1970-05-07	9620	A
USGS	11370500	1970-05-08	9580	A
USGS	11370500	1970-05-09	9570	A
USGS	11370500	1970-05-10	9590	A
USGS	11370500	1970-05-11	9570	A
USGS	11370500	1970-05-12	9530	A
USGS	11370500	1970-05-13	8360	A
USGS	11370500	1970-05-14	7910	A
USGS	11370500	1970-05-15	7910	A
USGS	11370500	1970-05-16	7900	A
USGS	11370500	1970-05-17	7910	A
USGS	11370500	1970-05-18	7910	A
USGS	11370500	1970-05-19	7900	A
USGS	11370500	1970-05-20	7900	A
USGS	11370500	1970-05-21	7900	A
USGS	11370500	1970-05-22	7900	A
USGS	11370500	1970-05-23	7930	A
USGS	11370500	1970-05-24	8300	A
USGS	11370500	1970-05-25	8390	A
USGS	11370500	1970-05-26	8460	A
USGS	11370500	1970-05-27	8470	A
USGS	11370500	1970-05-28	8520	A
USGS	11370500	1970-05-29	8390	A
