# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:56:29 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11372000 CLEAR C NR IGO CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11372000
#            TS   parameter     statistic     Description
#         10170       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10170_00060_00003	10170_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11372000	1970-01-01	107	A
USGS	11372000	1970-01-02	75.0	A
USGS	11372000	1970-01-03	74.0	A
USGS	11372000	1970-01-04	72.0	A
USGS	11372000	1970-01-05	70.0	A
USGS	11372000	1970-01-06	69.0	A
USGS	11372000	1970-01-07	69.0	A
USGS	11372000	1970-01-08	82.0	A
USGS	11372000	1970-01-09	399	A
USGS	11372000	1970-01-10	443	A
USGS	11372000	1970-01-11	273	A
USGS	11372000	1970-01-12	287	A
USGS	11372000	1970-01-13	827	A
USGS	11372000	1970-01-14	1850	A
USGS	11372000	1970-01-15	686	A
USGS	11372000	1970-01-16	1120	A
USGS	11372000	1970-01-17	562	A
USGS	11372000	1970-01-18	380	A
USGS	11372000	1970-01-19	705	A
USGS	11372000	1970-01-20	686	A
USGS	11372000	1970-01-21	1780	A
USGS	11372000	1970-01-22	1260	A
USGS	11372000	1970-01-23	2450	A
USGS	11372000	1970-01-24	2150	A
USGS	11372000	1970-01-25	2810	A
USGS	11372000	1970-01-26	3980	A
USGS	11372000	1970-01-27	6410	A
USGS	11372000	1970-01-28	4660	A
USGS	11372000	1970-01-29	3320	A
USGS	11372000	1970-01-30	2460	A
USGS	11372000	1970-01-31	1970	A
USGS	11372000	1970-02-01	1660	A
USGS	11372000	1970-02-02	1390	A
USGS	11372000	1970-02-03	1240	A
USGS	11372000	1970-02-04	1160	A
USGS	11372000	1970-02-05	1000	A
USGS	11372000	1970-02-06	1000	A
USGS	11372000	1970-02-07	802	A
USGS	11372000	1970-02-08	378	A
USGS	11372000	1970-02-09	237	A
USGS	11372000	1970-02-10	386	A
USGS	11372000	1970-02-11	695	A
USGS	11372000	1970-02-12	1070	A
USGS	11372000	1970-02-13	1420	A
USGS	11372000	1970-02-14	1380	A
USGS	11372000	1970-02-15	811	A
USGS	11372000	1970-02-16	857	A
USGS	11372000	1970-02-17	1070	A
USGS	11372000	1970-02-18	1040	A
USGS	11372000	1970-02-19	1080	A
USGS	11372000	1970-02-20	1030	A
USGS	11372000	1970-02-21	913	A
USGS	11372000	1970-02-22	306	A
USGS	11372000	1970-02-23	134	A
USGS	11372000	1970-02-24	178	A
USGS	11372000	1970-02-25	464	A
USGS	11372000	1970-02-26	594	A
USGS	11372000	1970-02-27	630	A
USGS	11372000	1970-02-28	656	A
USGS	11372000	1970-03-01	417	A
USGS	11372000	1970-03-02	302	A
USGS	11372000	1970-03-03	248	A
USGS	11372000	1970-03-04	291	A
USGS	11372000	1970-03-05	265	A
USGS	11372000	1970-03-06	197	A
USGS	11372000	1970-03-07	202	A
USGS	11372000	1970-03-08	191	A
USGS	11372000	1970-03-09	181	A
USGS	11372000	1970-03-10	225	A
USGS	11372000	1970-03-11	582	A
USGS	11372000	1970-03-12	880	A
USGS	11372000	1970-03-13	1070	A
USGS	11372000	1970-03-14	1060	A
USGS	11372000	1970-03-15	580	A
USGS	11372000	1970-03-16	403	A
USGS	11372000	1970-03-17	920	A
USGS	11372000	1970-03-18	1330	A
USGS	11372000	1970-03-19	1040	A
USGS	11372000	1970-03-20	1000	A
USGS	11372000	1970-03-21	999	A
USGS	11372000	1970-03-22	991	A
USGS	11372000	1970-03-23	983	A
USGS	11372000	1970-03-24	1010	A
USGS	11372000	1970-03-25	1050	A
USGS	11372000	1970-03-26	1050	A
USGS	11372000	1970-03-27	1040	A
USGS	11372000	1970-03-28	1040	A
USGS	11372000	1970-03-29	1040	A
USGS	11372000	1970-03-30	1040	A
USGS	11372000	1970-03-31	902	A
USGS	11372000	1970-04-01	292	A
USGS	11372000	1970-04-02	101	A
USGS	11372000	1970-04-03	89.0	A
USGS	11372000	1970-04-04	89.0	A
USGS	11372000	1970-04-05	88.0	A
USGS	11372000	1970-04-06	87.0	A
USGS	11372000	1970-04-07	86.0	A
USGS	11372000	1970-04-08	86.0	A
USGS	11372000	1970-04-09	84.0	A
USGS	11372000	1970-04-10	84.0	A
USGS	11372000	1970-04-11	82.0	A
USGS	11372000	1970-04-12	81.0	A
USGS	11372000	1970-04-13	83.0	A
USGS	11372000	1970-04-14	85.0	A
USGS	11372000	1970-04-15	83.0	A
USGS	11372000	1970-04-16	81.0	A
USGS	11372000	1970-04-17	79.0	A
USGS	11372000	1970-04-18	78.0	A
USGS	11372000	1970-04-19	79.0	A
USGS	11372000	1970-04-20	77.0	A
USGS	11372000	1970-04-21	77.0	A
USGS	11372000	1970-04-22	75.0	A
USGS	11372000	1970-04-23	73.0	A
USGS	11372000	1970-04-24	71.0	A
USGS	11372000	1970-04-25	69.0	A
USGS	11372000	1970-04-26	67.0	A
USGS	11372000	1970-04-27	67.0	A
USGS	11372000	1970-04-28	66.0	A
USGS	11372000	1970-04-29	65.0	A
USGS	11372000	1970-04-30	65.0	A
USGS	11372000	1970-05-01	65.0	A
USGS	11372000	1970-05-02	65.0	A
USGS	11372000	1970-05-03	64.0	A
USGS	11372000	1970-05-04	64.0	A
USGS	11372000	1970-05-05	64.0	A
USGS	11372000	1970-05-06	64.0	A
USGS	11372000	1970-05-07	64.0	A
USGS	11372000	1970-05-08	66.0	A
USGS	11372000	1970-05-09	65.0	A
USGS	11372000	1970-05-10	63.0	A
USGS	11372000	1970-05-11	63.0	A
USGS	11372000	1970-05-12	64.0	A
USGS	11372000	1970-05-13	62.0	A
USGS	11372000	1970-05-14	70.0	A
USGS	11372000	1970-05-15	60.0	A
USGS	11372000	1970-05-16	59.0	A
USGS	11372000	1970-05-17	58.0	A
USGS	11372000	1970-05-18	58.0	A
USGS	11372000	1970-05-19	57.0	A
USGS	11372000	1970-05-20	58.0	A
USGS	11372000	1970-05-21	57.0	A
USGS	11372000	1970-05-22	55.0	A
USGS	11372000	1970-05-23	56.0	A
USGS	11372000	1970-05-24	55.0	A
USGS	11372000	1970-05-25	53.0	A
USGS	11372000	1970-05-26	48.0	A
USGS	11372000	1970-05-27	55.0	A
USGS	11372000	1970-05-28	54.0	A
USGS	11372000	1970-05-29	53.0	A
USGS	11372000	1970-05-30	53.0	A
USGS	11372000	1970-05-31	52.0	A
USGS	11372000	1970-06-01	52.0	A
USGS	11372000	1970-06-02	52.0	A
USGS	11372000	1970-06-03	52.0	A
USGS	11372000	1970-06-04	51.0	A
USGS	11372000	1970-06-05	51.0	A
USGS	11372000	1970-06-06	51.0	A
USGS	11372000	1970-06-07	52.0	A
USGS	11372000	1970-06-08	60.0	A
USGS	11372000	1970-06-09	69.0	A
USGS	11372000	1970-06-10	57.0	A
USGS	11372000	1970-06-11	54.0	A
USGS	11372000	1970-06-12	52.0	A
USGS	11372000	1970-06-13	53.0	A
USGS	11372000	1970-06-14	59.0	A
USGS	11372000	1970-06-15	55.0	A
USGS	11372000	1970-06-16	53.0	A
USGS	11372000	1970-06-17	52.0	A
USGS	11372000	1970-06-18	51.0	A
USGS	11372000	1970-06-19	50.0	A
USGS	11372000	1970-06-20	50.0	A
USGS	11372000	1970-06-21	49.0	A
USGS	11372000	1970-06-22	49.0	A
USGS	11372000	1970-06-23	47.0	A
USGS	11372000	1970-06-24	47.0	A
USGS	11372000	1970-06-25	47.0	A
USGS	11372000	1970-06-26	47.0	A
USGS	11372000	1970-06-27	48.0	A
USGS	11372000	1970-06-28	50.0	A
USGS	11372000	1970-06-29	49.0	A
USGS	11372000	1970-06-30	47.0	A
USGS	11372000	1970-07-01	46.0	A
USGS	11372000	1970-07-02	46.0	A
USGS	11372000	1970-07-03	46.0	A
USGS	11372000	1970-07-04	46.0	A
USGS	11372000	1970-07-05	46.0	A
USGS	11372000	1970-07-06	45.0	A
USGS	11372000	1970-07-07	46.0	A
USGS	11372000	1970-07-08	46.0	A
USGS	11372000	1970-07-09	46.0	A
USGS	11372000	1970-07-10	46.0	A
USGS	11372000	1970-07-11	46.0	A
