# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:57:39 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11374000 COW C NR MILLVILLE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11374000
#            TS   parameter     statistic     Description
#         10185       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10185_00060_00003	10185_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11374000	1970-01-01	475	A
USGS	11374000	1970-01-02	406	A
USGS	11374000	1970-01-03	365	A
USGS	11374000	1970-01-04	329	A
USGS	11374000	1970-01-05	288	A
USGS	11374000	1970-01-06	264	A
USGS	11374000	1970-01-07	252	A
USGS	11374000	1970-01-08	329	A
USGS	11374000	1970-01-09	8850	A
USGS	11374000	1970-01-10	6350	A
USGS	11374000	1970-01-11	3160	A
USGS	11374000	1970-01-12	3910	A
USGS	11374000	1970-01-13	4510	A
USGS	11374000	1970-01-14	9100	A
USGS	11374000	1970-01-15	5130	A
USGS	11374000	1970-01-16	16100	A
USGS	11374000	1970-01-17	7240	A
USGS	11374000	1970-01-18	5180	A
USGS	11374000	1970-01-19	5730	A
USGS	11374000	1970-01-20	6390	A
USGS	11374000	1970-01-21	14500	A
USGS	11374000	1970-01-22	10800	A
USGS	11374000	1970-01-23	17700	A
USGS	11374000	1970-01-24	15900	A
USGS	11374000	1970-01-25	6060	A
USGS	11374000	1970-01-26	5270	A
USGS	11374000	1970-01-27	8190	A
USGS	11374000	1970-01-28	3630	A
USGS	11374000	1970-01-29	2820	A
USGS	11374000	1970-01-30	2260	A
USGS	11374000	1970-01-31	1880	A
USGS	11374000	1970-02-01	1570	A
USGS	11374000	1970-02-02	1360	A
USGS	11374000	1970-02-03	1240	A
USGS	11374000	1970-02-04	1130	A
USGS	11374000	1970-02-05	1010	A
USGS	11374000	1970-02-06	940	A
USGS	11374000	1970-02-07	900	A
USGS	11374000	1970-02-08	870	A
USGS	11374000	1970-02-09	860	A
USGS	11374000	1970-02-10	829	A
USGS	11374000	1970-02-11	789	A
USGS	11374000	1970-02-12	932	A
USGS	11374000	1970-02-13	2190	A
USGS	11374000	1970-02-14	1580	A
USGS	11374000	1970-02-15	1090	A
USGS	11374000	1970-02-16	2210	A
USGS	11374000	1970-02-17	2850	A
USGS	11374000	1970-02-18	1600	A
USGS	11374000	1970-02-19	1260	A
USGS	11374000	1970-02-20	1100	A
USGS	11374000	1970-02-21	992	A
USGS	11374000	1970-02-22	908	A
USGS	11374000	1970-02-23	836	A
USGS	11374000	1970-02-24	802	A
USGS	11374000	1970-02-25	744	A
USGS	11374000	1970-02-26	714	A
USGS	11374000	1970-02-27	690	A
USGS	11374000	1970-02-28	1170	A
USGS	11374000	1970-03-01	5240	A
USGS	11374000	1970-03-02	2000	A
USGS	11374000	1970-03-03	1000	A
USGS	11374000	1970-03-04	1350	A
USGS	11374000	1970-03-05	1250	A
USGS	11374000	1970-03-06	980	A
USGS	11374000	1970-03-07	1480	A
USGS	11374000	1970-03-08	2000	A
USGS	11374000	1970-03-09	1550	A
USGS	11374000	1970-03-10	1800	A
USGS	11374000	1970-03-11	1500	A
USGS	11374000	1970-03-12	1200	A
USGS	11374000	1970-03-13	1100	A
USGS	11374000	1970-03-14	1000	A
USGS	11374000	1970-03-15	950	A
USGS	11374000	1970-03-16	926	A
USGS	11374000	1970-03-17	864	A
USGS	11374000	1970-03-18	794	A
USGS	11374000	1970-03-19	754	A
USGS	11374000	1970-03-20	722	A
USGS	11374000	1970-03-21	688	A
USGS	11374000	1970-03-22	662	A
USGS	11374000	1970-03-23	636	A
USGS	11374000	1970-03-24	604	A
USGS	11374000	1970-03-25	571	A
USGS	11374000	1970-03-26	553	A
USGS	11374000	1970-03-27	532	A
USGS	11374000	1970-03-28	518	A
USGS	11374000	1970-03-29	495	A
USGS	11374000	1970-03-30	483	A
USGS	11374000	1970-03-31	467	A
USGS	11374000	1970-04-01	451	A
USGS	11374000	1970-04-02	431	A
USGS	11374000	1970-04-03	420	A
USGS	11374000	1970-04-04	403	A
USGS	11374000	1970-04-05	384	A
USGS	11374000	1970-04-06	377	A
USGS	11374000	1970-04-07	364	A
USGS	11374000	1970-04-08	348	A
USGS	11374000	1970-04-09	339	A
USGS	11374000	1970-04-10	337	A
USGS	11374000	1970-04-11	306	A
USGS	11374000	1970-04-12	302	A
USGS	11374000	1970-04-13	300	A
USGS	11374000	1970-04-14	314	A
USGS	11374000	1970-04-15	307	A
USGS	11374000	1970-04-16	311	A
USGS	11374000	1970-04-17	310	A
USGS	11374000	1970-04-18	298	A
USGS	11374000	1970-04-19	301	A
USGS	11374000	1970-04-20	285	A
USGS	11374000	1970-04-21	261	A
USGS	11374000	1970-04-22	254	A
USGS	11374000	1970-04-23	249	A
USGS	11374000	1970-04-24	240	A
USGS	11374000	1970-04-25	249	A
USGS	11374000	1970-04-26	261	A
USGS	11374000	1970-04-27	276	A
USGS	11374000	1970-04-28	261	A
USGS	11374000	1970-04-29	246	A
USGS	11374000	1970-04-30	234	A
USGS	11374000	1970-05-01	224	A
USGS	11374000	1970-05-02	219	A
USGS	11374000	1970-05-03	209	A
USGS	11374000	1970-05-04	205	A
USGS	11374000	1970-05-05	198	A
USGS	11374000	1970-05-06	210	A
USGS	11374000	1970-05-07	222	A
USGS	11374000	1970-05-08	224	A
USGS	11374000	1970-05-09	274	A
USGS	11374000	1970-05-10	261	A
USGS	11374000	1970-05-11	243	A
USGS	11374000	1970-05-12	255	A
USGS	11374000	1970-05-13	246	A
USGS	11374000	1970-05-14	219	A
USGS	11374000	1970-05-15	194	A
USGS	11374000	1970-05-16	195	A
USGS	11374000	1970-05-17	195	A
USGS	11374000	1970-05-18	189	A
USGS	11374000	1970-05-19	195	A
USGS	11374000	1970-05-20	188	A
USGS	11374000	1970-05-21	187	A
USGS	11374000	1970-05-22	171	A
USGS	11374000	1970-05-23	162	A
USGS	11374000	1970-05-24	163	A
USGS	11374000	1970-05-25	153	A
USGS	11374000	1970-05-26	146	A
USGS	11374000	1970-05-27	147	A
USGS	11374000	1970-05-28	146	A
USGS	11374000	1970-05-29	148	A
USGS	11374000	1970-05-30	141	A
USGS	11374000	1970-05-31	142	A
USGS	11374000	1970-06-01	136	A
USGS	11374000	1970-06-02	130	A
USGS	11374000	1970-06-03	125	A
USGS	11374000	1970-06-04	124	A
USGS	11374000	1970-06-05	120	A
USGS	11374000	1970-06-06	108	A
USGS	11374000	1970-06-07	96.0	A
USGS	11374000	1970-06-08	103	A
USGS	11374000	1970-06-09	140	A
USGS	11374000	1970-06-10	262	A
USGS	11374000	1970-06-11	191	A
