# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:57:12 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11376000 COTTONWOOD C NR COTTONWOOD CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11376000
#            TS   parameter     statistic     Description
#         10221       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10221_00060_00003	10221_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11376000	1970-01-01	840	A
USGS	11376000	1970-01-02	742	A
USGS	11376000	1970-01-03	639	A
USGS	11376000	1970-01-04	548	A
USGS	11376000	1970-01-05	511	A
USGS	11376000	1970-01-06	476	A
USGS	11376000	1970-01-07	462	A
USGS	11376000	1970-01-08	483	A
USGS	11376000	1970-01-09	3380	A
USGS	11376000	1970-01-10	4560	A
USGS	11376000	1970-01-11	2700	A
USGS	11376000	1970-01-12	2840	A
USGS	11376000	1970-01-13	3240	A
USGS	11376000	1970-01-14	10800	A
USGS	11376000	1970-01-15	7040	A
USGS	11376000	1970-01-16	18500	A
USGS	11376000	1970-01-17	11100	A
USGS	11376000	1970-01-18	7200	A
USGS	11376000	1970-01-19	6750	A
USGS	11376000	1970-01-20	7150	A
USGS	11376000	1970-01-21	12500	A
USGS	11376000	1970-01-22	14400	A
USGS	11376000	1970-01-23	21600	A
USGS	11376000	1970-01-24	31900	A
USGS	11376000	1970-01-25	12100	A
USGS	11376000	1970-01-26	8540	A
USGS	11376000	1970-01-27	20000	A
USGS	11376000	1970-01-28	8930	A
USGS	11376000	1970-01-29	6330	A
USGS	11376000	1970-01-30	4980	A
USGS	11376000	1970-01-31	4240	A
USGS	11376000	1970-02-01	3680	A
USGS	11376000	1970-02-02	3250	A
USGS	11376000	1970-02-03	2940	A
USGS	11376000	1970-02-04	2710	A
USGS	11376000	1970-02-05	2460	A
USGS	11376000	1970-02-06	2290	A
USGS	11376000	1970-02-07	2120	A
USGS	11376000	1970-02-08	1980	A
USGS	11376000	1970-02-09	1870	A
USGS	11376000	1970-02-10	1710	A
USGS	11376000	1970-02-11	1610	A
USGS	11376000	1970-02-12	1630	A
USGS	11376000	1970-02-13	2810	A
USGS	11376000	1970-02-14	2260	A
USGS	11376000	1970-02-15	1790	A
USGS	11376000	1970-02-16	2380	A
USGS	11376000	1970-02-17	3950	A
USGS	11376000	1970-02-18	2810	A
USGS	11376000	1970-02-19	2340	A
USGS	11376000	1970-02-20	2090	A
