# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:54:25 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11376550 BATTLE C BL COLEMAN FISH HATCHERY NR COTTONWOOD CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11376550
#            TS   parameter     statistic     Description
#         10252       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10252_00060_00003	10252_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11376550	1970-01-01	556	A
USGS	11376550	1970-01-02	518	A
USGS	11376550	1970-01-03	496	A
USGS	11376550	1970-01-04	474	A
USGS	11376550	1970-01-05	457	A
USGS	11376550	1970-01-06	446	A
USGS	11376550	1970-01-07	457	A
USGS	11376550	1970-01-08	520	A
USGS	11376550	1970-01-09	2300	A
USGS	11376550	1970-01-10	1520	A
USGS	11376550	1970-01-11	1090	A
USGS	11376550	1970-01-12	1050	A
USGS	11376550	1970-01-13	1440	A
USGS	11376550	1970-01-14	3410	A
USGS	11376550	1970-01-15	2030	A
USGS	11376550	1970-01-16	5460	A
USGS	11376550	1970-01-17	3140	A
USGS	11376550	1970-01-18	2170	A
USGS	11376550	1970-01-19	1750	A
USGS	11376550	1970-01-20	1710	A
USGS	11376550	1970-01-21	3480	A
USGS	11376550	1970-01-22	3730	A
USGS	11376550	1970-01-23	9640	A
USGS	11376550	1970-01-24	9800	A
USGS	11376550	1970-01-25	3550	A
USGS	11376550	1970-01-26	2870	A
USGS	11376550	1970-01-27	4150	A
USGS	11376550	1970-01-28	2900	A
USGS	11376550	1970-01-29	1650	A
USGS	11376550	1970-01-30	1380	A
USGS	11376550	1970-01-31	1320	A
USGS	11376550	1970-02-01	1270	A
USGS	11376550	1970-02-02	1230	A
USGS	11376550	1970-02-03	1160	A
USGS	11376550	1970-02-04	1080	A
USGS	11376550	1970-02-05	1020	A
USGS	11376550	1970-02-06	968	A
USGS	11376550	1970-02-07	912	A
USGS	11376550	1970-02-08	868	A
USGS	11376550	1970-02-09	845	A
USGS	11376550	1970-02-10	829	A
USGS	11376550	1970-02-11	823	A
USGS	11376550	1970-02-12	946	A
USGS	11376550	1970-02-13	1290	A
USGS	11376550	1970-02-14	1020	A
USGS	11376550	1970-02-15	849	A
USGS	11376550	1970-02-16	933	A
USGS	11376550	1970-02-17	1310	A
USGS	11376550	1970-02-18	966	A
USGS	11376550	1970-02-19	839	A
USGS	11376550	1970-02-20	791	A
USGS	11376550	1970-02-21	767	A
USGS	11376550	1970-02-22	736	A
USGS	11376550	1970-02-23	715	A
USGS	11376550	1970-02-24	711	A
USGS	11376550	1970-02-25	710	A
USGS	11376550	1970-02-26	710	A
USGS	11376550	1970-02-27	710	A
USGS	11376550	1970-02-28	730	A
USGS	11376550	1970-03-01	1410	A
USGS	11376550	1970-03-02	989	A
USGS	11376550	1970-03-03	822	A
USGS	11376550	1970-03-04	887	A
USGS	11376550	1970-03-05	898	A
USGS	11376550	1970-03-06	772	A
USGS	11376550	1970-03-07	820	A
USGS	11376550	1970-03-08	1510	A
USGS	11376550	1970-03-09	1120	A
USGS	11376550	1970-03-10	1370	A
USGS	11376550	1970-03-11	1020	A
USGS	11376550	1970-03-12	896	A
USGS	11376550	1970-03-13	851	A
USGS	11376550	1970-03-14	869	A
USGS	11376550	1970-03-15	837	A
USGS	11376550	1970-03-16	798	A
USGS	11376550	1970-03-17	759	A
USGS	11376550	1970-03-18	715	A
USGS	11376550	1970-03-19	710	A
USGS	11376550	1970-03-20	711	A
USGS	11376550	1970-03-21	695	A
USGS	11376550	1970-03-22	690	A
USGS	11376550	1970-03-23	680	A
USGS	11376550	1970-03-24	675	A
USGS	11376550	1970-03-25	670	A
USGS	11376550	1970-03-26	665	A
USGS	11376550	1970-03-27	660	A
USGS	11376550	1970-03-28	655	A
USGS	11376550	1970-03-29	648	A
USGS	11376550	1970-03-30	642	A
USGS	11376550	1970-03-31	639	A
USGS	11376550	1970-04-01	632	A
USGS	11376550	1970-04-02	625	A
USGS	11376550	1970-04-03	620	A
USGS	11376550	1970-04-04	617	A
USGS	11376550	1970-04-05	610	A
USGS	11376550	1970-04-06	605	A
USGS	11376550	1970-04-07	600	A
USGS	11376550	1970-04-08	595	A
USGS	11376550	1970-04-09	581	A
USGS	11376550	1970-04-10	604	A
USGS	11376550	1970-04-11	597	A
USGS	11376550	1970-04-12	611	A
USGS	11376550	1970-04-13	611	A
USGS	11376550	1970-04-14	611	A
USGS	11376550	1970-04-15	604	A
USGS	11376550	1970-04-16	604	A
USGS	11376550	1970-04-17	611	A
USGS	11376550	1970-04-18	611	A
USGS	11376550	1970-04-19	611	A
USGS	11376550	1970-04-20	611	A
USGS	11376550	1970-04-21	611	A
USGS	11376550	1970-04-22	604	A
USGS	11376550	1970-04-23	604	A
USGS	11376550	1970-04-24	590	A
USGS	11376550	1970-04-25	590	A
USGS	11376550	1970-04-26	604	A
USGS	11376550	1970-04-27	597	A
USGS	11376550	1970-04-28	597	A
USGS	11376550	1970-04-29	583	A
USGS	11376550	1970-04-30	590	A
USGS	11376550	1970-05-01	583	A
USGS	11376550	1970-05-02	576	A
USGS	11376550	1970-05-03	576	A
USGS	11376550	1970-05-04	597	A
USGS	11376550	1970-05-05	604	A
USGS	11376550	1970-05-06	611	A
USGS	11376550	1970-05-07	604	A
USGS	11376550	1970-05-08	604	A
USGS	11376550	1970-05-09	611	A
USGS	11376550	1970-05-10	604	A
USGS	11376550	1970-05-11	604	A
USGS	11376550	1970-05-12	604	A
USGS	11376550	1970-05-13	597	A
USGS	11376550	1970-05-14	590	A
USGS	11376550	1970-05-15	590	A
USGS	11376550	1970-05-16	583	A
USGS	11376550	1970-05-17	590	A
USGS	11376550	1970-05-18	618	A
USGS	11376550	1970-05-19	604	A
USGS	11376550	1970-05-20	604	A
USGS	11376550	1970-05-21	604	A
USGS	11376550	1970-05-22	590	A
USGS	11376550	1970-05-23	597	A
USGS	11376550	1970-05-24	597	A
USGS	11376550	1970-05-25	597	A
USGS	11376550	1970-05-26	590	A
USGS	11376550	1970-05-27	590	A
USGS	11376550	1970-05-28	590	A
USGS	11376550	1970-05-29	583	A
USGS	11376550	1970-05-30	583	A
USGS	11376550	1970-05-31	583	A
USGS	11376550	1970-06-01	576	A
USGS	11376550	1970-06-02	576	A
USGS	11376550	1970-06-03	569	A
USGS	11376550	1970-06-04	562	A
USGS	11376550	1970-06-05	562	A
USGS	11376550	1970-06-06	562	A
USGS	11376550	1970-06-07	555	A
USGS	11376550	1970-06-08	555	A
USGS	11376550	1970-06-09	548	A
USGS	11376550	1970-06-10	541	A
USGS	11376550	1970-06-11	531	A
USGS	11376550	1970-06-12	497	A
USGS	11376550	1970-06-13	504	A
