# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:00:22 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11379500 ELDER C NR PASKENTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11379500
#            TS   parameter     statistic     Description
#         10275       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10275_00060_00003	10275_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11379500	1970-01-01	62.0	A
USGS	11379500	1970-01-02	57.0	A
USGS	11379500	1970-01-03	51.0	A
USGS	11379500	1970-01-04	46.0	A
USGS	11379500	1970-01-05	41.0	A
USGS	11379500	1970-01-06	38.0	A
USGS	11379500	1970-01-07	38.0	A
USGS	11379500	1970-01-08	100	A
USGS	11379500	1970-01-09	168	A
USGS	11379500	1970-01-10	160	A
USGS	11379500	1970-01-11	133	A
USGS	11379500	1970-01-12	200	A
USGS	11379500	1970-01-13	550	A
USGS	11379500	1970-01-14	1550	A
USGS	11379500	1970-01-15	605	A
USGS	11379500	1970-01-16	2690	A
USGS	11379500	1970-01-17	910	A
USGS	11379500	1970-01-18	870	A
USGS	11379500	1970-01-19	810	A
USGS	11379500	1970-01-20	750	A
USGS	11379500	1970-01-21	1700	A
USGS	11379500	1970-01-22	1460	A
USGS	11379500	1970-01-23	3810	A
USGS	11379500	1970-01-24	2780	A
USGS	11379500	1970-01-25	1220	A
USGS	11379500	1970-01-26	1640	A
USGS	11379500	1970-01-27	2220	A
USGS	11379500	1970-01-28	1100	A
USGS	11379500	1970-01-29	720	A
USGS	11379500	1970-01-30	560	A
USGS	11379500	1970-01-31	470	A
USGS	11379500	1970-02-01	395	A
USGS	11379500	1970-02-02	338	A
USGS	11379500	1970-02-03	295	A
USGS	11379500	1970-02-04	254	A
USGS	11379500	1970-02-05	230	A
USGS	11379500	1970-02-06	195	A
USGS	11379500	1970-02-07	176	A
USGS	11379500	1970-02-08	162	A
USGS	11379500	1970-02-09	152	A
USGS	11379500	1970-02-10	145	A
USGS	11379500	1970-02-11	140	A
USGS	11379500	1970-02-12	164	A
USGS	11379500	1970-02-13	306	A
USGS	11379500	1970-02-14	216	A
USGS	11379500	1970-02-15	174	A
USGS	11379500	1970-02-16	340	A
USGS	11379500	1970-02-17	351	A
USGS	11379500	1970-02-18	253	A
USGS	11379500	1970-02-19	207	A
USGS	11379500	1970-02-20	182	A
USGS	11379500	1970-02-21	165	A
USGS	11379500	1970-02-22	153	A
USGS	11379500	1970-02-23	144	A
USGS	11379500	1970-02-24	137	A
USGS	11379500	1970-02-25	129	A
USGS	11379500	1970-02-26	123	A
USGS	11379500	1970-02-27	120	A
USGS	11379500	1970-02-28	128	A
USGS	11379500	1970-03-01	135	A
USGS	11379500	1970-03-02	121	A
USGS	11379500	1970-03-03	114	A
USGS	11379500	1970-03-04	676	A
USGS	11379500	1970-03-05	358	A
USGS	11379500	1970-03-06	242	A
USGS	11379500	1970-03-07	327	A
USGS	11379500	1970-03-08	409	A
USGS	11379500	1970-03-09	344	A
USGS	11379500	1970-03-10	299	A
USGS	11379500	1970-03-11	258	A
USGS	11379500	1970-03-12	230	A
USGS	11379500	1970-03-13	217	A
USGS	11379500	1970-03-14	222	A
USGS	11379500	1970-03-15	207	A
USGS	11379500	1970-03-16	192	A
USGS	11379500	1970-03-17	179	A
USGS	11379500	1970-03-18	165	A
USGS	11379500	1970-03-19	146	A
USGS	11379500	1970-03-20	143	A
USGS	11379500	1970-03-21	135	A
USGS	11379500	1970-03-22	127	A
USGS	11379500	1970-03-23	120	A
USGS	11379500	1970-03-24	115	A
USGS	11379500	1970-03-25	108	A
USGS	11379500	1970-03-26	104	A
USGS	11379500	1970-03-27	97.0	A
USGS	11379500	1970-03-28	91.0	A
USGS	11379500	1970-03-29	81.0	A
