# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:05:51 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11382000 THOMES C A PASKENTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11382000
#            TS   parameter     statistic     Description
#         10296       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10296_00060_00003	10296_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11382000	1970-01-01	335	A
USGS	11382000	1970-01-02	285	A
USGS	11382000	1970-01-03	246	A
USGS	11382000	1970-01-04	201	A
USGS	11382000	1970-01-05	152	A
USGS	11382000	1970-01-06	134	A
USGS	11382000	1970-01-07	130	A
USGS	11382000	1970-01-08	174	A
USGS	11382000	1970-01-09	951	A
USGS	11382000	1970-01-10	980	A
USGS	11382000	1970-01-11	645	A
USGS	11382000	1970-01-12	737	A
USGS	11382000	1970-01-13	1800	A
USGS	11382000	1970-01-14	5380	A
USGS	11382000	1970-01-15	2330	A
USGS	11382000	1970-01-16	8830	A
USGS	11382000	1970-01-17	5680	A
USGS	11382000	1970-01-18	2760	A
USGS	11382000	1970-01-19	2710	A
USGS	11382000	1970-01-20	2560	A
USGS	11382000	1970-01-21	7180	A
USGS	11382000	1970-01-22	5960	A
USGS	11382000	1970-01-23	11500	A
USGS	11382000	1970-01-24	7610	A
USGS	11382000	1970-01-25	3780	A
USGS	11382000	1970-01-26	3840	A
USGS	11382000	1970-01-27	6200	A
USGS	11382000	1970-01-28	2870	A
USGS	11382000	1970-01-29	1730	A
USGS	11382000	1970-01-30	1240	A
USGS	11382000	1970-01-31	974	A
USGS	11382000	1970-02-01	822	A
USGS	11382000	1970-02-02	718	A
USGS	11382000	1970-02-03	637	A
USGS	11382000	1970-02-04	600	A
USGS	11382000	1970-02-05	540	A
USGS	11382000	1970-02-06	493	A
USGS	11382000	1970-02-07	447	A
USGS	11382000	1970-02-08	416	A
USGS	11382000	1970-02-09	404	A
USGS	11382000	1970-02-10	398	A
USGS	11382000	1970-02-11	386	A
USGS	11382000	1970-02-12	461	A
USGS	11382000	1970-02-13	635	A
USGS	11382000	1970-02-14	475	A
USGS	11382000	1970-02-15	468	A
USGS	11382000	1970-02-16	768	A
USGS	11382000	1970-02-17	840	A
USGS	11382000	1970-02-18	542	A
USGS	11382000	1970-02-19	503	A
USGS	11382000	1970-02-20	489	A
USGS	11382000	1970-02-21	475	A
USGS	11382000	1970-02-22	447	A
USGS	11382000	1970-02-23	428	A
USGS	11382000	1970-02-24	416	A
USGS	11382000	1970-02-25	410	A
USGS	11382000	1970-02-26	422	A
USGS	11382000	1970-02-27	434	A
USGS	11382000	1970-02-28	468	A
USGS	11382000	1970-03-01	617	A
USGS	11382000	1970-03-02	447	A
USGS	11382000	1970-03-03	404	A
USGS	11382000	1970-03-04	661	A
USGS	11382000	1970-03-05	416	A
USGS	11382000	1970-03-06	422	A
USGS	11382000	1970-03-07	822	A
USGS	11382000	1970-03-08	1070	A
USGS	11382000	1970-03-09	830	A
USGS	11382000	1970-03-10	752	A
USGS	11382000	1970-03-11	698	A
USGS	11382000	1970-03-12	626	A
USGS	11382000	1970-03-13	590	A
USGS	11382000	1970-03-14	680	A
USGS	11382000	1970-03-15	635	A
USGS	11382000	1970-03-16	582	A
USGS	11382000	1970-03-17	526	A
USGS	11382000	1970-03-18	454	A
USGS	11382000	1970-03-19	410	A
USGS	11382000	1970-03-20	360	A
USGS	11382000	1970-03-21	345	A
USGS	11382000	1970-03-22	330	A
USGS	11382000	1970-03-23	317	A
USGS	11382000	1970-03-24	313	A
USGS	11382000	1970-03-25	313	A
USGS	11382000	1970-03-26	305	A
USGS	11382000	1970-03-27	284	A
USGS	11382000	1970-03-28	261	A
USGS	11382000	1970-03-29	254	A
USGS	11382000	1970-03-30	244	A
USGS	11382000	1970-03-31	229	A
USGS	11382000	1970-04-01	215	A
USGS	11382000	1970-04-02	208	A
USGS	11382000	1970-04-03	203	A
USGS	11382000	1970-04-04	201	A
USGS	11382000	1970-04-05	198	A
USGS	11382000	1970-04-06	198	A
USGS	11382000	1970-04-07	198	A
USGS	11382000	1970-04-08	195	A
USGS	11382000	1970-04-09	188	A
USGS	11382000	1970-04-10	190	A
USGS	11382000	1970-04-11	196	A
USGS	11382000	1970-04-12	186	A
USGS	11382000	1970-04-13	184	A
USGS	11382000	1970-04-14	182	A
USGS	11382000	1970-04-15	174	A
USGS	11382000	1970-04-16	173	A
USGS	11382000	1970-04-17	166	A
USGS	11382000	1970-04-18	162	A
USGS	11382000	1970-04-19	156	A
USGS	11382000	1970-04-20	146	A
USGS	11382000	1970-04-21	142	A
USGS	11382000	1970-04-22	137	A
USGS	11382000	1970-04-23	132	A
USGS	11382000	1970-04-24	132	A
USGS	11382000	1970-04-25	133	A
USGS	11382000	1970-04-26	138	A
USGS	11382000	1970-04-27	142	A
USGS	11382000	1970-04-28	142	A
USGS	11382000	1970-04-29	141	A
USGS	11382000	1970-04-30	140	A
USGS	11382000	1970-05-01	141	A
USGS	11382000	1970-05-02	148	A
USGS	11382000	1970-05-03	160	A
USGS	11382000	1970-05-04	173	A
USGS	11382000	1970-05-05	178	A
USGS	11382000	1970-05-06	173	A
USGS	11382000	1970-05-07	168	A
USGS	11382000	1970-05-08	165	A
USGS	11382000	1970-05-09	186	A
USGS	11382000	1970-05-10	174	A
USGS	11382000	1970-05-11	165	A
USGS	11382000	1970-05-12	157	A
USGS	11382000	1970-05-13	154	A
USGS	11382000	1970-05-14	148	A
USGS	11382000	1970-05-15	148	A
USGS	11382000	1970-05-16	171	A
USGS	11382000	1970-05-17	188	A
USGS	11382000	1970-05-18	186	A
USGS	11382000	1970-05-19	178	A
USGS	11382000	1970-05-20	158	A
USGS	11382000	1970-05-21	140	A
USGS	11382000	1970-05-22	135	A
USGS	11382000	1970-05-23	135	A
USGS	11382000	1970-05-24	132	A
USGS	11382000	1970-05-25	130	A
USGS	11382000	1970-05-26	133	A
USGS	11382000	1970-05-27	135	A
USGS	11382000	1970-05-28	120	A
USGS	11382000	1970-05-29	111	A
USGS	11382000	1970-05-30	103	A
USGS	11382000	1970-05-31	96.0	A
USGS	11382000	1970-06-01	91.0	A
USGS	11382000	1970-06-02	90.0	A
USGS	11382000	1970-06-03	87.0	A
USGS	11382000	1970-06-04	80.0	A
USGS	11382000	1970-06-05	74.0	A
USGS	11382000	1970-06-06	71.0	A
USGS	11382000	1970-06-07	66.0	A
USGS	11382000	1970-06-08	71.0	A
USGS	11382000	1970-06-09	80.0	A
USGS	11382000	1970-06-10	66.0	A
USGS	11382000	1970-06-11	58.0	A
USGS	11382000	1970-06-12	52.0	A
USGS	11382000	1970-06-13	51.0	A
USGS	11382000	1970-06-14	63.0	A
USGS	11382000	1970-06-15	62.0	A
USGS	11382000	1970-06-16	54.0	A
USGS	11382000	1970-06-17	51.0	A
USGS	11382000	1970-06-18	46.0	A
