# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:55:13 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11384000 BIG CHICO C NR CHICO CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11384000
#            TS   parameter     statistic     Description
#         10322       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	10322_00060_00003	10322_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11384000	1970-01-01	115	A
USGS	11384000	1970-01-02	102	A
USGS	11384000	1970-01-03	92.0	A
USGS	11384000	1970-01-04	85.0	A
USGS	11384000	1970-01-05	79.0	A
USGS	11384000	1970-01-06	74.0	A
USGS	11384000	1970-01-07	71.0	A
USGS	11384000	1970-01-08	83.0	A
USGS	11384000	1970-01-09	794	A
USGS	11384000	1970-01-10	1220	A
USGS	11384000	1970-01-11	665	A
USGS	11384000	1970-01-12	681	A
USGS	11384000	1970-01-13	2300	A
USGS	11384000	1970-01-14	4980	A
USGS	11384000	1970-01-15	2060	A
USGS	11384000	1970-01-16	2240	A
USGS	11384000	1970-01-17	1890	A
USGS	11384000	1970-01-18	1270	A
USGS	11384000	1970-01-19	948	A
USGS	11384000	1970-01-20	859	A
USGS	11384000	1970-01-21	2650	A
USGS	11384000	1970-01-22	2280	A
USGS	11384000	1970-01-23	4500	A
USGS	11384000	1970-01-24	6000	A
USGS	11384000	1970-01-25	2800	A
USGS	11384000	1970-01-26	1800	A
USGS	11384000	1970-01-27	2600	A
USGS	11384000	1970-01-28	1310	A
USGS	11384000	1970-01-29	939	A
USGS	11384000	1970-01-30	703	A
USGS	11384000	1970-01-31	545	A
USGS	11384000	1970-02-01	444	A
USGS	11384000	1970-02-02	376	A
USGS	11384000	1970-02-03	330	A
USGS	11384000	1970-02-04	300	A
USGS	11384000	1970-02-05	270	A
USGS	11384000	1970-02-06	241	A
USGS	11384000	1970-02-07	218	A
USGS	11384000	1970-02-08	200	A
USGS	11384000	1970-02-09	184	A
USGS	11384000	1970-02-10	170	A
USGS	11384000	1970-02-11	159	A
USGS	11384000	1970-02-12	213	A
USGS	11384000	1970-02-13	392	A
USGS	11384000	1970-02-14	387	A
USGS	11384000	1970-02-15	320	A
USGS	11384000	1970-02-16	394	A
USGS	11384000	1970-02-17	749	A
USGS	11384000	1970-02-18	543	A
USGS	11384000	1970-02-19	423	A
USGS	11384000	1970-02-20	357	A
USGS	11384000	1970-02-21	315	A
USGS	11384000	1970-02-22	275	A
USGS	11384000	1970-02-23	244	A
USGS	11384000	1970-02-24	223	A
USGS	11384000	1970-02-25	202	A
USGS	11384000	1970-02-26	184	A
USGS	11384000	1970-02-27	172	A
USGS	11384000	1970-02-28	216	A
USGS	11384000	1970-03-01	1500	A
USGS	11384000	1970-03-02	941	A
USGS	11384000	1970-03-03	611	A
USGS	11384000	1970-03-04	547	A
USGS	11384000	1970-03-05	465	A
USGS	11384000	1970-03-06	380	A
USGS	11384000	1970-03-07	341	A
USGS	11384000	1970-03-08	567	A
USGS	11384000	1970-03-09	485	A
USGS	11384000	1970-03-10	451	A
USGS	11384000	1970-03-11	389	A
USGS	11384000	1970-03-12	341	A
USGS	11384000	1970-03-13	304	A
USGS	11384000	1970-03-14	276	A
USGS	11384000	1970-03-15	249	A
USGS	11384000	1970-03-16	227	A
USGS	11384000	1970-03-17	207	A
USGS	11384000	1970-03-18	192	A
USGS	11384000	1970-03-19	180	A
USGS	11384000	1970-03-20	168	A
USGS	11384000	1970-03-21	157	A
USGS	11384000	1970-03-22	149	A
USGS	11384000	1970-03-23	140	A
USGS	11384000	1970-03-24	131	A
USGS	11384000	1970-03-25	122	A
USGS	11384000	1970-03-26	113	A
USGS	11384000	1970-03-27	107	A
USGS	11384000	1970-03-28	103	A
USGS	11384000	1970-03-29	99.0	A
USGS	11384000	1970-03-30	97.0	A
USGS	11384000	1970-03-31	94.0	A
USGS	11384000	1970-04-01	90.0	A
USGS	11384000	1970-04-02	88.0	A
USGS	11384000	1970-04-03	85.0	A
USGS	11384000	1970-04-04	83.0	A
USGS	11384000	1970-04-05	80.0	A
USGS	11384000	1970-04-06	79.0	A
USGS	11384000	1970-04-07	78.0	A
USGS	11384000	1970-04-08	76.0	A
USGS	11384000	1970-04-09	74.0	A
USGS	11384000	1970-04-10	73.0	A
USGS	11384000	1970-04-11	74.0	A
USGS	11384000	1970-04-12	70.0	A
USGS	11384000	1970-04-13	70.0	A
USGS	11384000	1970-04-14	71.0	A
USGS	11384000	1970-04-15	75.0	A
USGS	11384000	1970-04-16	75.0	A
USGS	11384000	1970-04-17	73.0	A
USGS	11384000	1970-04-18	72.0	A
USGS	11384000	1970-04-19	69.0	A
USGS	11384000	1970-04-20	67.0	A
USGS	11384000	1970-04-21	66.0	A
USGS	11384000	1970-04-22	65.0	A
USGS	11384000	1970-04-23	64.0	A
USGS	11384000	1970-04-24	61.0	A
USGS	11384000	1970-04-25	61.0	A
USGS	11384000	1970-04-26	62.0	A
USGS	11384000	1970-04-27	64.0	A
USGS	11384000	1970-04-28	62.0	A
USGS	11384000	1970-04-29	60.0	A
USGS	11384000	1970-04-30	58.0	A
USGS	11384000	1970-05-01	57.0	A
USGS	11384000	1970-05-02	56.0	A
USGS	11384000	1970-05-03	55.0	A
USGS	11384000	1970-05-04	54.0	A
USGS	11384000	1970-05-05	53.0	A
USGS	11384000	1970-05-06	52.0	A
USGS	11384000	1970-05-07	52.0	A
USGS	11384000	1970-05-08	52.0	A
USGS	11384000	1970-05-09	54.0	A
USGS	11384000	1970-05-10	57.0	A
USGS	11384000	1970-05-11	55.0	A
USGS	11384000	1970-05-12	55.0	A
USGS	11384000	1970-05-13	54.0	A
USGS	11384000	1970-05-14	52.0	A
USGS	11384000	1970-05-15	50.0	A
USGS	11384000	1970-05-16	48.0	A
USGS	11384000	1970-05-17	46.0	A
USGS	11384000	1970-05-18	45.0	A
USGS	11384000	1970-05-19	45.0	A
USGS	11384000	1970-05-20	45.0	A
USGS	11384000	1970-05-21	45.0	A
USGS	11384000	1970-05-22	44.0	A
USGS	11384000	1970-05-23	43.0	A
USGS	11384000	1970-05-24	43.0	A
USGS	11384000	1970-05-25	42.0	A
USGS	11384000	1970-05-26	41.0	A
USGS	11384000	1970-05-27	40.0	A
USGS	11384000	1970-05-28	41.0	A
USGS	11384000	1970-05-29	41.0	A
USGS	11384000	1970-05-30	40.0	A
USGS	11384000	1970-05-31	39.0	A
USGS	11384000	1970-06-01	39.0	A
USGS	11384000	1970-06-02	38.0	A
USGS	11384000	1970-06-03	37.0	A
USGS	11384000	1970-06-04	35.0	A
USGS	11384000	1970-06-05	33.0	A
USGS	11384000	1970-06-06	33.0	A
USGS	11384000	1970-06-07	32.0	A
USGS	11384000	1970-06-08	32.0	A
USGS	11384000	1970-06-09	36.0	A
USGS	11384000	1970-06-10	38.0	A
USGS	11384000	1970-06-11	37.0	A
USGS	11384000	1970-06-12	35.0	A
USGS	11384000	1970-06-13	35.0	A
USGS	11384000	1970-06-14	37.0	A
USGS	11384000	1970-06-15	36.0	A
USGS	11384000	1970-06-16	34.0	A
USGS	11384000	1970-06-17	33.0	A
USGS	11384000	1970-06-18	32.0	A
USGS	11384000	1970-06-19	32.0	A
USGS	11384000	1970-06-20	31.0	A
USGS	11384000	1970-06-21	32.0	A
USGS	11384000	1970-06-22	34.0	A
USGS	11384000	1970-06-23	33.0	A
USGS	11384000	1970-06-24	32.0	A
USGS	11384000	1970-06-25	32.0	A
USGS	11384000	1970-06-26	32.0	A
USGS	11384000	1970-06-27	32.0	A
USGS	11384000	1970-06-28	37.0	A
USGS	11384000	1970-06-29	42.0	A
USGS	11384000	1970-06-30	34.0	A
USGS	11384000	1970-07-01	32.0	A
USGS	11384000	1970-07-02	32.0	A
USGS	11384000	1970-07-03	31.0	A
USGS	11384000	1970-07-04	31.0	A
USGS	11384000	1970-07-05	31.0	A
USGS	11384000	1970-07-06	30.0	A
USGS	11384000	1970-07-07	30.0	A
USGS	11384000	1970-07-08	30.0	A
USGS	11384000	1970-07-09	28.0	A
USGS	11384000	1970-07-10	29.0	A
USGS	11384000	1970-07-11	29.0	A
USGS	11384000	1970-07-12	30.0	A
USGS	11384000	1970-07-13	30.0	A
USGS	11384000	1970-07-14	30.0	A
USGS	11384000	1970-07-15	29.0	A
USGS	11384000	1970-07-16	30.0	A
USGS	11384000	1970-07-17	29.0	A
USGS	11384000	1970-07-18	29.0	A
USGS	11384000	1970-07-19	29.0	A
USGS	11384000	1970-07-20	29.0	A
USGS	11384000	1970-07-21	29.0	A
USGS	11384000	1970-07-22	29.0	A
USGS	11384000	1970-07-23	29.0	A
USGS	11384000	1970-07-24	29.0	A
USGS	11384000	1970-07-25	28.0	A
USGS	11384000	1970-07-26	29.0	A
USGS	11384000	1970-07-27	28.0	A
USGS	11384000	1970-07-28	28.0	A
USGS	11384000	1970-07-29	28.0	A
USGS	11384000	1970-07-30	27.0	A
USGS	11384000	1970-07-31	28.0	A
USGS	11384000	1970-08-01	28.0	A
USGS	11384000	1970-08-02	28.0	A
USGS	11384000	1970-08-03	27.0	A
USGS	11384000	1970-08-04	27.0	A
USGS	11384000	1970-08-05	27.0	A
USGS	11384000	1970-08-06	27.0	A
USGS	11384000	1970-08-07	27.0	A
USGS	11384000	1970-08-08	27.0	A
USGS	11384000	1970-08-09	27.0	A
USGS	11384000	1970-08-10	27.0	A
USGS	11384000	1970-08-11	27.0	A
USGS	11384000	1970-08-12	26.0	A
USGS	11384000	1970-08-13	27.0	A
USGS	11384000	1970-08-14	26.0	A
USGS	11384000	1970-08-15	26.0	A
USGS	11384000	1970-08-16	27.0	A
USGS	11384000	1970-08-17	25.0	A
USGS	11384000	1970-08-18	27.0	A
USGS	11384000	1970-08-19	27.0	A
USGS	11384000	1970-08-20	26.0	A
USGS	11384000	1970-08-21	26.0	A
USGS	11384000	1970-08-22	25.0	A
USGS	11384000	1970-08-23	26.0	A
USGS	11384000	1970-08-24	25.0	A
USGS	11384000	1970-08-25	25.0	A
USGS	11384000	1970-08-26	25.0	A
USGS	11384000	1970-08-27	25.0	A
USGS	11384000	1970-08-28	25.0	A
USGS	11384000	1970-08-29	25.0	A
USGS	11384000	1970-08-30	25.0	A
USGS	11384000	1970-08-31	24.0	A
USGS	11384000	1970-09-01	25.0	A
USGS	11384000	1970-09-02	24.0	A
USGS	11384000	1970-09-03	24.0	A
USGS	11384000	1970-09-04	24.0	A
USGS	11384000	1970-09-05	26.0	A
USGS	11384000	1970-09-06	26.0	A
USGS	11384000	1970-09-07	26.0	A
USGS	11384000	1970-09-08	26.0	A
USGS	11384000	1970-09-09	25.0	A
USGS	11384000	1970-09-10	25.0	A
USGS	11384000	1970-09-11	25.0	A
USGS	11384000	1970-09-12	25.0	A
USGS	11384000	1970-09-13	28.0	A
USGS	11384000	1970-09-14	25.0	A
USGS	11384000	1970-09-15	25.0	A
USGS	11384000	1970-09-16	25.0	A
USGS	11384000	1970-09-17	24.0	A
USGS	11384000	1970-09-18	24.0	A
USGS	11384000	1970-09-19	23.0	A
USGS	11384000	1970-09-20	23.0	A
USGS	11384000	1970-09-21	22.0	A
USGS	11384000	1970-09-22	22.0	A
USGS	11384000	1970-09-23	21.0	A
USGS	11384000	1970-09-24	21.0	A
USGS	11384000	1970-09-25	20.0	A
USGS	11384000	1970-09-26	20.0	A
USGS	11384000	1970-09-27	19.0	A
USGS	11384000	1970-09-28	21.0	A
USGS	11384000	1970-09-29	21.0	A
USGS	11384000	1970-09-30	21.0	A
USGS	11384000	1970-10-01	22.0	A
USGS	11384000	1970-10-02	22.0	A
USGS	11384000	1970-10-03	22.0	A
USGS	11384000	1970-10-04	23.0	A
USGS	11384000	1970-10-05	23.0	A
USGS	11384000	1970-10-06	24.0	A
USGS	11384000	1970-10-07	24.0	A
USGS	11384000	1970-10-08	24.0	A
USGS	11384000	1970-10-09	24.0	A
USGS	11384000	1970-10-10	24.0	A
USGS	11384000	1970-10-11	24.0	A
USGS	11384000	1970-10-12	24.0	A
USGS	11384000	1970-10-13	24.0	A
USGS	11384000	1970-10-14	23.0	A
USGS	11384000	1970-10-15	23.0	A
USGS	11384000	1970-10-16	23.0	A
USGS	11384000	1970-10-17	23.0	A
USGS	11384000	1970-10-18	25.0	A
USGS	11384000	1970-10-19	27.0	A
USGS	11384000	1970-10-20	33.0	A
USGS	11384000	1970-10-21	38.0	A
USGS	11384000	1970-10-22	51.0	A
USGS	11384000	1970-10-23	41.0	A
USGS	11384000	1970-10-24	59.0	A
USGS	11384000	1970-10-25	34.0	A
USGS	11384000	1970-10-26	29.0	A
USGS	11384000	1970-10-27	27.0	A
USGS	11384000	1970-10-28	25.0	A
USGS	11384000	1970-10-29	26.0	A
USGS	11384000	1970-10-30	25.0	A
USGS	11384000	1970-10-31	25.0	A
USGS	11384000	1970-11-01	25.0	A
USGS	11384000	1970-11-02	25.0	A
USGS	11384000	1970-11-03	24.0	A
USGS	11384000	1970-11-04	42.0	A
USGS	11384000	1970-11-05	261	A
USGS	11384000	1970-11-06	145	A
USGS	11384000	1970-11-07	110	A
USGS	11384000	1970-11-08	73.0	A
USGS	11384000	1970-11-09	106	A
USGS	11384000	1970-11-10	218	A
USGS	11384000	1970-11-11	110	A
USGS	11384000	1970-11-12	114	A
USGS	11384000	1970-11-13	83.0	A
USGS	11384000	1970-11-14	65.0	A
USGS	11384000	1970-11-15	53.0	A
USGS	11384000	1970-11-16	46.0	A
USGS	11384000	1970-11-17	40.0	A
USGS	11384000	1970-11-18	39.0	A
USGS	11384000	1970-11-19	37.0	A
USGS	11384000	1970-11-20	36.0	A
USGS	11384000	1970-11-21	35.0	A
USGS	11384000	1970-11-22	35.0	A
USGS	11384000	1970-11-23	36.0	A
USGS	11384000	1970-11-24	36.0	A
USGS	11384000	1970-11-25	43.0	A
USGS	11384000	1970-11-26	50.0	A
USGS	11384000	1970-11-27	131	A
USGS	11384000	1970-11-28	1140	A
USGS	11384000	1970-11-29	1180	A
USGS	11384000	1970-11-30	940	A
USGS	11384000	1970-12-01	720	A
USGS	11384000	1970-12-02	1010	A
USGS	11384000	1970-12-03	870	A
USGS	11384000	1970-12-04	2380	A
USGS	11384000	1970-12-05	1010	A
USGS	11384000	1970-12-06	676	A
USGS	11384000	1970-12-07	545	A
USGS	11384000	1970-12-08	702	A
USGS	11384000	1970-12-09	726	A
USGS	11384000	1970-12-10	464	A
USGS	11384000	1970-12-11	330	A
USGS	11384000	1970-12-12	257	A
USGS	11384000	1970-12-13	211	A
USGS	11384000	1970-12-14	176	A
USGS	11384000	1970-12-15	157	A
USGS	11384000	1970-12-16	232	A
USGS	11384000	1970-12-17	244	A
USGS	11384000	1970-12-18	237	A
USGS	11384000	1970-12-19	206	A
USGS	11384000	1970-12-20	222	A
USGS	11384000	1970-12-21	402	A
USGS	11384000	1970-12-22	252	A
USGS	11384000	1970-12-23	198	A
USGS	11384000	1970-12-24	170	A
USGS	11384000	1970-12-25	151	A
USGS	11384000	1970-12-26	141	A
USGS	11384000	1970-12-27	141	A
USGS	11384000	1970-12-28	177	A
USGS	11384000	1970-12-29	680	A
USGS	11384000	1970-12-30	468	A
USGS	11384000	1970-12-31	343	A
USGS	11384000	1971-01-01	292	A
USGS	11384000	1971-01-02	270	A
USGS	11384000	1971-01-03	220	A
USGS	11384000	1971-01-04	190	A
USGS	11384000	1971-01-05	168	A
USGS	11384000	1971-01-06	150	A
USGS	11384000	1971-01-07	138	A
USGS	11384000	1971-01-08	128	A
USGS	11384000	1971-01-09	125	A
USGS	11384000	1971-01-10	159	A
USGS	11384000	1971-01-11	415	A
USGS	11384000	1971-01-12	357	A
USGS	11384000	1971-01-13	305	A
USGS	11384000	1971-01-14	262	A
USGS	11384000	1971-01-15	325	A
USGS	11384000	1971-01-16	929	A
USGS	11384000	1971-01-17	1090	A
USGS	11384000	1971-01-18	878	A
USGS	11384000	1971-01-19	727	A
USGS	11384000	1971-01-20	562	A
USGS	11384000	1971-01-21	427	A
USGS	11384000	1971-01-22	343	A
USGS	11384000	1971-01-23	287	A
USGS	11384000	1971-01-24	246	A
USGS	11384000	1971-01-25	213	A
USGS	11384000	1971-01-26	186	A
USGS	11384000	1971-01-27	170	A
USGS	11384000	1971-01-28	160	A
USGS	11384000	1971-01-29	154	A
USGS	11384000	1971-01-30	150	A
USGS	11384000	1971-01-31	150	A
USGS	11384000	1971-02-01	151	A
USGS	11384000	1971-02-02	149	A
USGS	11384000	1971-02-03	140	A
USGS	11384000	1971-02-04	130	A
USGS	11384000	1971-02-05	122	A
USGS	11384000	1971-02-06	117	A
USGS	11384000	1971-02-07	111	A
USGS	11384000	1971-02-08	106	A
USGS	11384000	1971-02-09	101	A
USGS	11384000	1971-02-10	98.0	A
USGS	11384000	1971-02-11	97.0	A
USGS	11384000	1971-02-12	103	A
USGS	11384000	1971-02-13	109	A
USGS	11384000	1971-02-14	111	A
USGS	11384000	1971-02-15	110	A
USGS	11384000	1971-02-16	108	A
USGS	11384000	1971-02-17	105	A
USGS	11384000	1971-02-18	99.0	A
USGS	11384000	1971-02-19	103	A
USGS	11384000	1971-02-20	94.0	A
USGS	11384000	1971-02-21	90.0	A
USGS	11384000	1971-02-22	88.0	A
USGS	11384000	1971-02-23	86.0	A
USGS	11384000	1971-02-24	83.0	A
USGS	11384000	1971-02-25	80.0	A
USGS	11384000	1971-02-26	77.0	A
USGS	11384000	1971-02-27	76.0	A
USGS	11384000	1971-02-28	76.0	A
USGS	11384000	1971-03-01	73.0	A
USGS	11384000	1971-03-02	71.0	A
USGS	11384000	1971-03-03	70.0	A
USGS	11384000	1971-03-04	71.0	A
