# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:03:55 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11384350 MUD C NR CHICO CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11384350
#            TS   parameter     statistic     Description
#         10323       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	10323_00060_00003	10323_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11384350	1970-01-01	8.80	A
USGS	11384350	1970-01-02	7.00	A
USGS	11384350	1970-01-03	6.00	A
USGS	11384350	1970-01-04	5.30	A
USGS	11384350	1970-01-05	4.30	A
USGS	11384350	1970-01-06	3.70	A
USGS	11384350	1970-01-07	3.60	A
USGS	11384350	1970-01-08	38.0	A
USGS	11384350	1970-01-09	1210	A
USGS	11384350	1970-01-10	362	A
USGS	11384350	1970-01-11	176	A
USGS	11384350	1970-01-12	239	A
USGS	11384350	1970-01-13	813	A
USGS	11384350	1970-01-14	3990	A
USGS	11384350	1970-01-15	813	A
USGS	11384350	1970-01-16	918	A
USGS	11384350	1970-01-17	430	A
USGS	11384350	1970-01-18	275	A
USGS	11384350	1970-01-19	294	A
USGS	11384350	1970-01-20	326	A
USGS	11384350	1970-01-21	1430	A
USGS	11384350	1970-01-22	640	A
USGS	11384350	1970-01-23	1880	A
USGS	11384350	1970-01-24	4520	A
USGS	11384350	1970-01-25	582	A
USGS	11384350	1970-01-26	348	A
USGS	11384350	1970-01-27	705	A
USGS	11384350	1970-01-28	280	A
USGS	11384350	1970-01-29	209	A
USGS	11384350	1970-01-30	169	A
USGS	11384350	1970-01-31	140	A
USGS	11384350	1970-02-01	118	A
USGS	11384350	1970-02-02	97.0	A
USGS	11384350	1970-02-03	81.0	A
USGS	11384350	1970-02-04	73.0	A
USGS	11384350	1970-02-05	62.0	A
USGS	11384350	1970-02-06	54.0	A
USGS	11384350	1970-02-07	47.0	A
USGS	11384350	1970-02-08	42.0	A
USGS	11384350	1970-02-09	38.0	A
USGS	11384350	1970-02-10	33.0	A
USGS	11384350	1970-02-11	30.0	A
USGS	11384350	1970-02-12	53.0	A
USGS	11384350	1970-02-13	332	A
USGS	11384350	1970-02-14	183	A
USGS	11384350	1970-02-15	113	A
USGS	11384350	1970-02-16	211	A
USGS	11384350	1970-02-17	228	A
USGS	11384350	1970-02-18	136	A
USGS	11384350	1970-02-19	102	A
