# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:05:32 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11388000 STONY C BL BLACK BUTTE DAM NR ORLAND CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11388000
#            TS   parameter     statistic     Description
#         10348       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	10348_00060_00003	10348_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11388000	1970-01-01	70.0	A
USGS	11388000	1970-01-02	70.0	A
USGS	11388000	1970-01-03	69.0	A
USGS	11388000	1970-01-04	70.0	A
USGS	11388000	1970-01-05	60.0	A
USGS	11388000	1970-01-06	55.0	A
USGS	11388000	1970-01-07	55.0	A
USGS	11388000	1970-01-08	55.0	A
USGS	11388000	1970-01-09	396	A
USGS	11388000	1970-01-10	1070	A
USGS	11388000	1970-01-11	1050	A
USGS	11388000	1970-01-12	1860	A
USGS	11388000	1970-01-13	3140	A
USGS	11388000	1970-01-14	4430	A
USGS	11388000	1970-01-15	5840	A
USGS	11388000	1970-01-16	7460	A
USGS	11388000	1970-01-17	8100	A
USGS	11388000	1970-01-18	8700	A
USGS	11388000	1970-01-19	9850	A
USGS	11388000	1970-01-20	9930	A
USGS	11388000	1970-01-21	9970	A
USGS	11388000	1970-01-22	9760	A
USGS	11388000	1970-01-23	9700	A
USGS	11388000	1970-01-24	12700	A
USGS	11388000	1970-01-25	11900	A
USGS	11388000	1970-01-26	8700	A
USGS	11388000	1970-01-27	10000	A
USGS	11388000	1970-01-28	10000	A
USGS	11388000	1970-01-29	9900	A
USGS	11388000	1970-01-30	9730	A
USGS	11388000	1970-01-31	9870	A
USGS	11388000	1970-02-01	9830	A
USGS	11388000	1970-02-02	9000	A
USGS	11388000	1970-02-03	7060	A
USGS	11388000	1970-02-04	5510	A
USGS	11388000	1970-02-05	4530	A
USGS	11388000	1970-02-06	3430	A
USGS	11388000	1970-02-07	2470	A
USGS	11388000	1970-02-08	2460	A
USGS	11388000	1970-02-09	2250	A
USGS	11388000	1970-02-10	1320	A
USGS	11388000	1970-02-11	229	A
USGS	11388000	1970-02-12	60.0	A
USGS	11388000	1970-02-13	246	A
USGS	11388000	1970-02-14	514	A
USGS	11388000	1970-02-15	528	A
USGS	11388000	1970-02-16	1330	A
USGS	11388000	1970-02-17	2100	A
USGS	11388000	1970-02-18	981	A
USGS	11388000	1970-02-19	2830	A
USGS	11388000	1970-02-20	2670	A
USGS	11388000	1970-02-21	2150	A
USGS	11388000	1970-02-22	2020	A
USGS	11388000	1970-02-23	1990	A
USGS	11388000	1970-02-24	1980	A
USGS	11388000	1970-02-25	1020	A
USGS	11388000	1970-02-26	74.0	A
USGS	11388000	1970-02-27	55.0	A
USGS	11388000	1970-02-28	51.0	A
USGS	11388000	1970-03-01	21.0	A
USGS	11388000	1970-03-02	2.30	A
USGS	11388000	1970-03-03	0.00	A
USGS	11388000	1970-03-04	26.0	A
USGS	11388000	1970-03-05	48.0	A
USGS	11388000	1970-03-06	49.0	A
USGS	11388000	1970-03-07	49.0	A
USGS	11388000	1970-03-08	50.0	A
USGS	11388000	1970-03-09	262	A
USGS	11388000	1970-03-10	1040	A
USGS	11388000	1970-03-11	1000	A
USGS	11388000	1970-03-12	1000	A
USGS	11388000	1970-03-13	595	A
USGS	11388000	1970-03-14	69.0	A
USGS	11388000	1970-03-15	56.0	A
USGS	11388000	1970-03-16	53.0	A
USGS	11388000	1970-03-17	52.0	A
USGS	11388000	1970-03-18	51.0	A
USGS	11388000	1970-03-19	51.0	A
USGS	11388000	1970-03-20	51.0	A
USGS	11388000	1970-03-21	51.0	A
USGS	11388000	1970-03-22	52.0	A
USGS	11388000	1970-03-23	52.0	A
USGS	11388000	1970-03-24	74.0	A
USGS	11388000	1970-03-25	84.0	A
USGS	11388000	1970-03-26	98.0	A
USGS	11388000	1970-03-27	118	A
USGS	11388000	1970-03-28	130	A
USGS	11388000	1970-03-29	139	A
USGS	11388000	1970-03-30	148	A
USGS	11388000	1970-03-31	164	A
USGS	11388000	1970-04-01	174	A
USGS	11388000	1970-04-02	176	A
USGS	11388000	1970-04-03	184	A
USGS	11388000	1970-04-04	174	A
USGS	11388000	1970-04-05	153	A
USGS	11388000	1970-04-06	151	A
USGS	11388000	1970-04-07	138	A
USGS	11388000	1970-04-08	130	A
USGS	11388000	1970-04-09	129	A
USGS	11388000	1970-04-10	130	A
USGS	11388000	1970-04-11	142	A
USGS	11388000	1970-04-12	162	A
USGS	11388000	1970-04-13	176	A
USGS	11388000	1970-04-14	178	A
