# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:00:46 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11407150 FEATHER R NR GRIDLEY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11407150
#            TS   parameter     statistic     Description
#         10572       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10572_00060_00003	10572_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11407150	1970-01-01	14800	A
USGS	11407150	1970-01-02	14000	A
USGS	11407150	1970-01-03	12800	A
USGS	11407150	1970-01-04	11600	A
USGS	11407150	1970-01-05	8580	A
USGS	11407150	1970-01-06	4230	A
USGS	11407150	1970-01-07	4190	A
USGS	11407150	1970-01-08	4160	A
USGS	11407150	1970-01-09	4170	A
USGS	11407150	1970-01-10	5900	A
USGS	11407150	1970-01-11	9950	A
USGS	11407150	1970-01-12	11500	A
USGS	11407150	1970-01-13	16500	A
USGS	11407150	1970-01-14	43600	A
USGS	11407150	1970-01-15	57900	A
USGS	11407150	1970-01-16	65600	A
USGS	11407150	1970-01-17	69500	A
USGS	11407150	1970-01-18	68300	A
USGS	11407150	1970-01-19	66300	A
USGS	11407150	1970-01-20	57400	A
USGS	11407150	1970-01-21	40000	A
USGS	11407150	1970-01-22	47100	A
USGS	11407150	1970-01-23	59900	A
USGS	11407150	1970-01-24	67900	A
USGS	11407150	1970-01-25	70600	A
USGS	11407150	1970-01-26	71800	A
USGS	11407150	1970-01-27	70800	A
USGS	11407150	1970-01-28	62900	A
USGS	11407150	1970-01-29	54600	A
USGS	11407150	1970-01-30	47500	A
USGS	11407150	1970-01-31	29600	A
USGS	11407150	1970-02-01	20500	A
USGS	11407150	1970-02-02	16100	A
USGS	11407150	1970-02-03	12000	A
USGS	11407150	1970-02-04	9470	A
USGS	11407150	1970-02-05	9020	A
USGS	11407150	1970-02-06	8890	A
USGS	11407150	1970-02-07	8800	A
USGS	11407150	1970-02-08	8770	A
USGS	11407150	1970-02-09	8740	A
USGS	11407150	1970-02-10	8690	A
USGS	11407150	1970-02-11	8810	A
USGS	11407150	1970-02-12	9120	A
USGS	11407150	1970-02-13	9610	A
USGS	11407150	1970-02-14	11100	A
USGS	11407150	1970-02-15	12400	A
USGS	11407150	1970-02-16	12600	A
USGS	11407150	1970-02-17	13300	A
USGS	11407150	1970-02-18	13200	A
USGS	11407150	1970-02-19	13200	A
USGS	11407150	1970-02-20	13200	A
USGS	11407150	1970-02-21	13300	A
USGS	11407150	1970-02-22	13300	A
USGS	11407150	1970-02-23	13400	A
USGS	11407150	1970-02-24	13200	A
USGS	11407150	1970-02-25	12500	A
USGS	11407150	1970-02-26	9300	A
USGS	11407150	1970-02-27	9260	A
USGS	11407150	1970-02-28	9310	A
USGS	11407150	1970-03-01	10600	A
USGS	11407150	1970-03-02	13500	A
USGS	11407150	1970-03-03	13500	A
USGS	11407150	1970-03-04	13600	A
USGS	11407150	1970-03-05	13600	A
USGS	11407150	1970-03-06	13600	A
USGS	11407150	1970-03-07	13600	A
USGS	11407150	1970-03-08	13700	A
USGS	11407150	1970-03-09	14000	A
USGS	11407150	1970-03-10	14400	A
USGS	11407150	1970-03-11	14400	A
USGS	11407150	1970-03-12	14400	A
USGS	11407150	1970-03-13	12800	A
USGS	11407150	1970-03-14	12100	A
USGS	11407150	1970-03-15	12300	A
USGS	11407150	1970-03-16	10200	A
USGS	11407150	1970-03-17	9080	A
USGS	11407150	1970-03-18	9220	A
USGS	11407150	1970-03-19	9300	A
USGS	11407150	1970-03-20	5670	A
USGS	11407150	1970-03-21	2970	A
USGS	11407150	1970-03-22	2650	A
USGS	11407150	1970-03-23	2420	A
USGS	11407150	1970-03-24	2160	A
USGS	11407150	1970-03-25	2010	A
USGS	11407150	1970-03-26	2020	A
USGS	11407150	1970-03-27	2230	A
USGS	11407150	1970-03-28	2410	A
USGS	11407150	1970-03-29	2590	A
USGS	11407150	1970-03-30	2770	A
USGS	11407150	1970-03-31	2980	A
USGS	11407150	1970-04-01	2990	A
USGS	11407150	1970-04-02	2980	A
USGS	11407150	1970-04-03	2920	A
USGS	11407150	1970-04-04	2860	A
USGS	11407150	1970-04-05	2870	A
USGS	11407150	1970-04-06	2810	A
USGS	11407150	1970-04-07	2740	A
USGS	11407150	1970-04-08	2700	A
USGS	11407150	1970-04-09	2680	A
USGS	11407150	1970-04-10	2670	A
USGS	11407150	1970-04-11	2660	A
USGS	11407150	1970-04-12	2670	A
USGS	11407150	1970-04-13	2640	A
USGS	11407150	1970-04-14	2530	A
USGS	11407150	1970-04-15	2490	A
USGS	11407150	1970-04-16	2470	A
USGS	11407150	1970-04-17	2400	A
USGS	11407150	1970-04-18	2210	A
USGS	11407150	1970-04-19	2050	A
USGS	11407150	1970-04-20	2060	A
USGS	11407150	1970-04-21	2090	A
USGS	11407150	1970-04-22	2080	A
USGS	11407150	1970-04-23	2070	A
USGS	11407150	1970-04-24	1980	A
USGS	11407150	1970-04-25	1880	A
USGS	11407150	1970-04-26	1860	A
USGS	11407150	1970-04-27	1840	A
USGS	11407150	1970-04-28	1840	A
USGS	11407150	1970-04-29	1840	A
USGS	11407150	1970-04-30	1850	A
USGS	11407150	1970-05-01	1860	A
USGS	11407150	1970-05-02	1870	A
USGS	11407150	1970-05-03	1870	A
USGS	11407150	1970-05-04	1870	A
USGS	11407150	1970-05-05	1890	A
USGS	11407150	1970-05-06	1920	A
USGS	11407150	1970-05-07	1850	A
USGS	11407150	1970-05-08	1620	A
USGS	11407150	1970-05-09	1650	A
USGS	11407150	1970-05-10	1630	A
USGS	11407150	1970-05-11	1630	A
USGS	11407150	1970-05-12	1700	A
USGS	11407150	1970-05-13	1670	A
USGS	11407150	1970-05-14	1630	A
USGS	11407150	1970-05-15	1660	A
USGS	11407150	1970-05-16	1640	A
USGS	11407150	1970-05-17	1590	A
USGS	11407150	1970-05-18	1680	A
USGS	11407150	1970-05-19	1680	A
USGS	11407150	1970-05-20	1620	A
USGS	11407150	1970-05-21	1600	A
USGS	11407150	1970-05-22	1620	A
USGS	11407150	1970-05-23	1570	A
USGS	11407150	1970-05-24	1580	A
USGS	11407150	1970-05-25	1630	A
USGS	11407150	1970-05-26	1640	A
USGS	11407150	1970-05-27	1580	A
USGS	11407150	1970-05-28	1550	A
USGS	11407150	1970-05-29	1520	A
USGS	11407150	1970-05-30	1510	A
USGS	11407150	1970-05-31	1520	A
USGS	11407150	1970-06-01	1530	A
USGS	11407150	1970-06-02	1540	A
USGS	11407150	1970-06-03	1700	A
USGS	11407150	1970-06-04	1970	A
USGS	11407150	1970-06-05	2110	A
USGS	11407150	1970-06-06	1940	A
USGS	11407150	1970-06-07	1820	A
USGS	11407150	1970-06-08	1850	A
USGS	11407150	1970-06-09	1830	A
USGS	11407150	1970-06-10	1790	A
USGS	11407150	1970-06-11	1750	A
USGS	11407150	1970-06-12	1720	A
USGS	11407150	1970-06-13	1730	A
USGS	11407150	1970-06-14	1740	A
USGS	11407150	1970-06-15	1750	A
USGS	11407150	1970-06-16	1760	A
USGS	11407150	1970-06-17	1750	A
USGS	11407150	1970-06-18	1760	A
USGS	11407150	1970-06-19	1750	A
USGS	11407150	1970-06-20	1740	A
USGS	11407150	1970-06-21	1740	A
USGS	11407150	1970-06-22	1740	A
USGS	11407150	1970-06-23	1760	A
USGS	11407150	1970-06-24	1760	A
USGS	11407150	1970-06-25	1760	A
USGS	11407150	1970-06-26	1760	A
USGS	11407150	1970-06-27	1760	A
USGS	11407150	1970-06-28	1760	A
USGS	11407150	1970-06-29	1760	A
USGS	11407150	1970-06-30	1760	A
USGS	11407150	1970-07-01	1730	A
USGS	11407150	1970-07-02	1690	A
USGS	11407150	1970-07-03	1670	A
USGS	11407150	1970-07-04	1660	A
USGS	11407150	1970-07-05	1660	A
USGS	11407150	1970-07-06	1640	A
USGS	11407150	1970-07-07	1630	A
USGS	11407150	1970-07-08	1620	A
USGS	11407150	1970-07-09	1610	A
USGS	11407150	1970-07-10	1640	A
USGS	11407150	1970-07-11	1640	A
USGS	11407150	1970-07-12	1620	A
USGS	11407150	1970-07-13	1620	A
USGS	11407150	1970-07-14	1650	A
USGS	11407150	1970-07-15	1620	A
USGS	11407150	1970-07-16	1650	A
USGS	11407150	1970-07-17	1650	A
USGS	11407150	1970-07-18	1670	A
USGS	11407150	1970-07-19	1620	A
USGS	11407150	1970-07-20	1650	A
USGS	11407150	1970-07-21	1650	A
USGS	11407150	1970-07-22	1660	A
USGS	11407150	1970-07-23	1630	A
USGS	11407150	1970-07-24	1660	A
USGS	11407150	1970-07-25	1630	A
USGS	11407150	1970-07-26	1620	A
USGS	11407150	1970-07-27	1700	A
USGS	11407150	1970-07-28	1890	A
USGS	11407150	1970-07-29	2090	A
USGS	11407150	1970-07-30	2200	A
USGS	11407150	1970-07-31	2290	A
USGS	11407150	1970-08-01	2500	A
USGS	11407150	1970-08-02	2670	A
USGS	11407150	1970-08-03	2960	A
USGS	11407150	1970-08-04	3460	A
USGS	11407150	1970-08-05	3560	A
USGS	11407150	1970-08-06	3690	A
USGS	11407150	1970-08-07	3700	A
USGS	11407150	1970-08-08	3680	A
USGS	11407150	1970-08-09	3690	A
USGS	11407150	1970-08-10	3750	A
USGS	11407150	1970-08-11	3950	A
USGS	11407150	1970-08-12	3970	A
USGS	11407150	1970-08-13	3930	A
USGS	11407150	1970-08-14	4010	A
USGS	11407150	1970-08-15	4140	A
USGS	11407150	1970-08-16	4030	A
USGS	11407150	1970-08-17	4050	A
USGS	11407150	1970-08-18	4030	A
USGS	11407150	1970-08-19	4040	A
USGS	11407150	1970-08-20	4030	A
USGS	11407150	1970-08-21	4010	A
USGS	11407150	1970-08-22	3990	A
USGS	11407150	1970-08-23	4000	A
USGS	11407150	1970-08-24	4020	A
USGS	11407150	1970-08-25	4110	A
USGS	11407150	1970-08-26	4290	A
USGS	11407150	1970-08-27	4350	A
USGS	11407150	1970-08-28	4340	A
USGS	11407150	1970-08-29	4390	A
USGS	11407150	1970-08-30	4380	A
USGS	11407150	1970-08-31	4370	A
USGS	11407150	1970-09-01	4330	A
USGS	11407150	1970-09-02	4290	A
USGS	11407150	1970-09-03	4330	A
USGS	11407150	1970-09-04	4340	A
USGS	11407150	1970-09-05	4340	A
USGS	11407150	1970-09-06	4330	A
USGS	11407150	1970-09-07	4330	A
USGS	11407150	1970-09-08	4300	A
USGS	11407150	1970-09-09	4310	A
USGS	11407150	1970-09-10	4310	A
USGS	11407150	1970-09-11	4330	A
USGS	11407150	1970-09-12	4340	A
USGS	11407150	1970-09-13	4360	A
USGS	11407150	1970-09-14	4340	A
USGS	11407150	1970-09-15	4320	A
USGS	11407150	1970-09-16	4340	A
USGS	11407150	1970-09-17	4410	A
USGS	11407150	1970-09-18	4530	A
USGS	11407150	1970-09-19	4520	A
USGS	11407150	1970-09-20	4520	A
USGS	11407150	1970-09-21	4520	A
USGS	11407150	1970-09-22	4520	A
USGS	11407150	1970-09-23	4560	A
USGS	11407150	1970-09-24	4480	A
USGS	11407150	1970-09-25	4480	A
USGS	11407150	1970-09-26	4560	A
USGS	11407150	1970-09-27	4410	A
USGS	11407150	1970-09-28	4080	A
USGS	11407150	1970-09-29	3560	A
USGS	11407150	1970-09-30	3110	A
USGS	11407150	1970-10-01	3110	A
USGS	11407150	1970-10-02	3090	A
USGS	11407150	1970-10-03	3030	A
USGS	11407150	1970-10-04	3030	A
USGS	11407150	1970-10-05	3030	A
USGS	11407150	1970-10-06	3050	A
USGS	11407150	1970-10-07	3030	A
USGS	11407150	1970-10-08	3050	A
USGS	11407150	1970-10-09	3040	A
USGS	11407150	1970-10-10	3020	A
USGS	11407150	1970-10-11	3060	A
USGS	11407150	1970-10-12	3050	A
USGS	11407150	1970-10-13	3050	A
USGS	11407150	1970-10-14	3040	A
USGS	11407150	1970-10-15	3060	A
USGS	11407150	1970-10-16	3050	A
USGS	11407150	1970-10-17	3050	A
USGS	11407150	1970-10-18	3040	A
USGS	11407150	1970-10-19	3040	A
