# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:06:37 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11421000 YUBA R NR MARYSVILLE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11421000
#            TS   parameter     statistic     Description
#         10767       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	10767_00060_00003	10767_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11421000	1970-01-01	688	A
USGS	11421000	1970-01-02	664	A
USGS	11421000	1970-01-03	640	A
USGS	11421000	1970-01-04	624	A
USGS	11421000	1970-01-05	612	A
USGS	11421000	1970-01-06	607	A
USGS	11421000	1970-01-07	602	A
USGS	11421000	1970-01-08	607	A
USGS	11421000	1970-01-09	701	A
USGS	11421000	1970-01-10	1260	A
USGS	11421000	1970-01-11	935	A
USGS	11421000	1970-01-12	994	A
USGS	11421000	1970-01-13	3690	A
USGS	11421000	1970-01-14	14700	A
USGS	11421000	1970-01-15	10100	A
USGS	11421000	1970-01-16	18100	A
USGS	11421000	1970-01-17	35500	A
USGS	11421000	1970-01-18	23500	A
USGS	11421000	1970-01-19	16700	A
USGS	11421000	1970-01-20	19700	A
USGS	11421000	1970-01-21	47900	A
USGS	11421000	1970-01-22	90200	A
USGS	11421000	1970-01-23	40300	A
USGS	11421000	1970-01-24	63900	A
USGS	11421000	1970-01-25	35600	A
USGS	11421000	1970-01-26	19500	A
USGS	11421000	1970-01-27	21700	A
USGS	11421000	1970-01-28	13100	A
USGS	11421000	1970-01-29	16700	A
USGS	11421000	1970-01-30	18200	A
USGS	11421000	1970-01-31	11500	A
USGS	11421000	1970-02-01	8890	A
USGS	11421000	1970-02-02	5970	A
USGS	11421000	1970-02-03	7910	A
USGS	11421000	1970-02-04	5010	A
USGS	11421000	1970-02-05	4810	A
USGS	11421000	1970-02-06	7060	A
USGS	11421000	1970-02-07	4190	A
USGS	11421000	1970-02-08	3390	A
USGS	11421000	1970-02-09	3490	A
USGS	11421000	1970-02-10	3770	A
USGS	11421000	1970-02-11	3410	A
USGS	11421000	1970-02-12	4790	A
USGS	11421000	1970-02-13	5820	A
USGS	11421000	1970-02-14	6770	A
USGS	11421000	1970-02-15	5300	A
