# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 19:56:07 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11451760 CACHE C AB RUMSEY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11451760
#            TS   parameter     statistic     Description
#         11085       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	11085_00060_00003	11085_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11451760	1970-01-01	254	A
USGS	11451760	1970-01-02	224	A
USGS	11451760	1970-01-03	202	A
USGS	11451760	1970-01-04	187	A
USGS	11451760	1970-01-05	170	A
USGS	11451760	1970-01-06	156	A
USGS	11451760	1970-01-07	147	A
USGS	11451760	1970-01-08	229	A
USGS	11451760	1970-01-09	6600	A
USGS	11451760	1970-01-10	3770	A
USGS	11451760	1970-01-11	1360	A
USGS	11451760	1970-01-12	1100	A
USGS	11451760	1970-01-13	2340	A
USGS	11451760	1970-01-14	11300	A
USGS	11451760	1970-01-15	6500	A
USGS	11451760	1970-01-16	14000	A
USGS	11451760	1970-01-17	8370	A
USGS	11451760	1970-01-18	6040	A
USGS	11451760	1970-01-19	5150	A
USGS	11451760	1970-01-20	5130	A
USGS	11451760	1970-01-21	12600	A
USGS	11451760	1970-01-22	9430	A
USGS	11451760	1970-01-23	15400	A
USGS	11451760	1970-01-24	23600	A
