# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-20 20:04:12 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11454000 PUTAH C NR WINTERS CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11454000
#            TS   parameter     statistic     Description
#         11151       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11151_00060_00003	11151_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11454000	1970-01-01	64.0	A
USGS	11454000	1970-01-02	70.0	A
USGS	11454000	1970-01-03	70.0	A
USGS	11454000	1970-01-04	70.0	A
USGS	11454000	1970-01-05	70.0	A
USGS	11454000	1970-01-06	71.0	A
USGS	11454000	1970-01-07	70.0	A
USGS	11454000	1970-01-08	61.0	A
USGS	11454000	1970-01-09	70.0	A
USGS	11454000	1970-01-10	58.0	A
USGS	11454000	1970-01-11	39.0	A
USGS	11454000	1970-01-12	41.0	A
USGS	11454000	1970-01-13	66.0	A
USGS	11454000	1970-01-14	450	A
USGS	11454000	1970-01-15	992	A
USGS	11454000	1970-01-16	3390	A
USGS	11454000	1970-01-17	5040	A
USGS	11454000	1970-01-18	4980	A
USGS	11454000	1970-01-19	4600	A
USGS	11454000	1970-01-20	4490	A
USGS	11454000	1970-01-21	7310	A
USGS	11454000	1970-01-22	9470	A
USGS	11454000	1970-01-23	9870	A
USGS	11454000	1970-01-24	15600	A
USGS	11454000	1970-01-25	14100	A
USGS	11454000	1970-01-26	12000	A
USGS	11454000	1970-01-27	11500	A
USGS	11454000	1970-01-28	9840	A
