"","year","sub_1","sub_2","sub_3","sub_4","sub_5","sub_6","sub_7","sub_8","sub_9","sub_10","sub_11","sub_12","sub_13","sub_14","sub_15","sub_16","sub_17","sub_18","sub_19","sub_20","sub_21"
"X2007",2007,13.268416,343.558208,379.289792,129.231424,346.43392,131.68064,31.667328,274.327872,73.611328,218.927296,331.519104,346.164224,722.481088,349.657728,348.186944,161.281344,479.779776,686.928256,493.40256,415.962176,140.339136
"X2008",2008,13.6467,459.7767,456.9822,167.4054,603.6993,158.3658,51.1533,279.6255,80.3619,283.4928,375.7806,362.8458,887.0346,479.727,440.4168,223.9344,583.8174,880.9938,601.0686,505.7415,261.6696
"X2009",2009,23.0319,490.5162,490.0914,175.8501,549.4743,151.3323,43.2342,320.8104,86.4297,301.0923,424.9431,386.6769,830.8989,459.1332,428.4657,203.004,510.3036,832.1895,599.1228,518.7276,289.8585
"X2010",2010,31.5585,530.9082,449.4609,159.5061,464.2686,106.2378,45.4842,373.6053,78.9741,279.6408,442.3986,400.5594,883.9332,367.1649,422.6733,181.0359,446.6727,737.217,302.7816,356.9643,203.9958
"X2011",2011,0.0207,484.6149,439.0317,132.2091,447.0246,123.0777,37.2672,359.3772,85.9194,320.0211,450.306,430.4538,913.5864,445.4154,462.5658,225.6831,548.5365,862.1253,583.7526,509.7771,235.9665
"X2012",2012,0.0918,411.6861,477.9999,160.8606,458.0649,124.9875,31.8573,331.6869,89.8254,316.1223,416.1141,341.9973,1042.6671,480.0501,486.6318,195.8571,457.1307,885.888,551.9979,510.3459,259.1127
"X2013",2013,0.0324,493.335,486.7839,153.9171,498.1176,141.0012,34.8318,328.3785,89.7372,352.6551,497.4642,468.3132,909.1881,552.8745,603.8829,223.8912,713.9322,933.39,617.1723,519.0372,295.164
"X2014",2014,0.0252,408.7485,539.64,181.4472,536.8581,178.4997,38.6325,288.3888,120.9708,355.2948,358.1712,293.5836,779.9031,535.7403,610.1982,205.7616,587.1942,1024.632,585.9864,547.5402,343.647
"X2015",2015,0,498.8754,543.7278,179.5419,542.1258,179.7759,44.0154,338.85,101.5839,392.8869,463.9608,438.4287,966.6675,553.3506,653.4288,202.1157,641.1717,1103.0247,656.4015,561.7197,303.7824
"X2016",2016,0.0099,506.4003,602.7093,195.5367,545.2641,275.3487,39.0582,360.2304,116.5671,432.9504,487.4058,409.8618,1086.3036,603.387,685.8351,211.2156,529.4403,1171.6344,693.7929,589.1103,406.3428
"X2017",2017,0.0342,542.9124,702.9666,225.0846,583.5573,280.6308,41.6358,441.5544,151.515,551.6271,625.3623,515.79,1204.2297,732.3282,926.0487,245.0781,636.5808,1259.2026,768.3021,567.5292,515.4894
"X2018",2018,8.6292,503.2359,604.9125,210.7602,593.6031,251.4249,50.9931,402.1056,138.3813,465.2091,544.1049,484.083,1260.7992,662.7762,777.9114,278.1783,667.6146,1261.1124,725.7096,587.1096,488.2689
