"","year","sub_1","sub_2","sub_3","sub_4","sub_5","sub_6","sub_7","sub_8","sub_9","sub_10","sub_11","sub_12","sub_13","sub_14","sub_15","sub_16","sub_17","sub_18","sub_19","sub_20","sub_21"
"X2007",2007,6.886656,176.324736,481.488896,427.06048,285.272512,842.527168,114.6992,746.637696,1608.441856,1304.648128,413.469056,439.065088,1377.694976,1271.196416,2166.59968,328.241984,500.138688,1577.467584,538.07488,347.606784,1034.610304
"X2008",2008,6.7527,90.414,461.3814,483.2235,138.2157,915.2694,113.4711,766.9188,1581.2523,1275.5484,318.3327,415.5795,1474.3053,1430.3718,2087.6481,340.6986,510.4962,1607.8734,483.5322,365.2614,944.3691
"X2009",2009,12.8142,102.5352,441.4635,419.7051,163.3851,861.291,132.3135,768.2445,1585.9215,1331.7795,324.0495,517.437,1711.4958,1189.3896,1952.5824,369.0351,547.9245,1633.9356,445.1013,344.2734,876.7089
"X2010",2010,11.2437,150.3909,464.2515,380.5839,214.2351,931.1895,126.7839,872.9136,1714.2948,1269.603,421.5906,497.6532,1468.9332,1013.4081,2027.6244,287.1603,534.1455,1468.6371,499.7421,308.4453,729.4887
"X2011",2011,0.0765,120.0366,452.7639,400.3398,145.2321,864.7524,116.2107,735.4863,1555.3107,1290.6306,369.8082,401.7249,1309.2372,1463.7951,1989.8046,318.5658,486.3204,1457.8704,452.8746,308.4237,903.7395
"X2012",2012,0.081,147.1446,480.6018,411.8913,105.4728,953.0451,88.2342,840.3759,1686.3984,1316.3346,372.3273,436.3974,1489.2696,1430.9739,1917.2106,335.9961,525.5748,1499.2353,437.6322,303.2946,889.8273
"X2013",2013,0.0828,123.7482,486.9945,418.8249,135.6165,899.4609,92.6037,802.1835,1553.9049,1214.6643,343.6587,400.3155,1485.8946,1341.6048,1803.483,322.7184,400.185,1461.951,355.023,313.416,859.5324
"X2014",2014,0.0333,110.3184,397.2384,402.2856,138.6387,873.7119,114.6879,945.7677,1660.2903,1142.0982,477.0918,514.2843,1630.6317,1088.55,1706.3262,367.2486,501.1011,1380.5217,373.4577,252.7398,820.8774
"X2015",2015,0.0198,103.9167,389.4201,367.6437,124.8849,820.4229,90.8604,813.6063,1599.5889,1089.0315,359.2773,429.4629,1484.9856,770.7924,1546.3737,357.948,450.8487,1294.1037,286.7652,254.8305,785.9844
"X2016",2016,0.0765,96.6168,373.0338,381.4794,120.069,822.9294,94.8285,793.7883,1562.9589,1086.3639,328.4037,457.1127,1391.2488,913.4415,1672.1982,335.8647,548.9559,1273.9689,291.3921,249.8391,768.7989
"X2017",2017,0.0657,109.314,375.2919,364.041,115.0686,849.1383,92.1825,751.7862,1576.3644,1072.9278,288.9,412.2801,1357.4619,1035.7992,1789.3224,326.826,496.9728,1310.6844,303.1245,272.7405,726.6978
"X2018",2018,14.8761,158.2911,400.5936,405.3042,105.5385,875.1186,97.8678,824.0436,1630.5561,1031.0292,369.0351,434.0439,1212.4557,980.4546,1584.5661,267.5934,437.3442,1181.8476,251.2701,251.4627,680.2848
