"year","mn","ET"
2000,1,2.92300610308421
2000,2,12.6087492389706
2000,3,31.0205366556286
2000,4,28.3337392156572
2000,5,51.5138321726089
2000,6,78.446965534651
2000,7,110.691356191438
2000,8,81.8630889624757
2000,9,46.5435902766434
2000,10,10.719421469195
2000,11,3.7526840206109
2000,12,4.32509689203035
2001,1,1.59816165006014
2001,2,3.46784372540576
2001,3,25.226185349628
2001,4,29.3741146073089
2001,5,23.9338164322944
2001,6,84.8888971385296
2001,7,104.032178548624
2001,8,72.9275648545506
2001,9,46.8042261259522
2001,10,7.55025763627994
2001,11,3.6249795821392
2001,12,1.40408060228977
2002,1,1.33448168332269
2002,2,6.43077973954234
2002,3,7.93323730751526
2002,4,22.4440105133421
2002,5,70.1594820545565
2002,6,85.1945562270763
2002,7,97.1333768914364
2002,8,87.7761163001351
2002,9,39.0792806973256
2002,10,9.95435308792302
2002,11,8.41346539358211
2002,12,1.30300105430409
2003,1,6.04331556360721
2003,2,12.2425344876231
2003,3,31.4111934425256
2003,4,41.3304129605156
2003,5,68.9759885956967
2003,6,90.3021100931054
2003,7,93.1468007068292
2003,8,94.9919071024457
2003,9,47.9966291967985
2003,10,5.39166654292206
2003,11,1.58856896782145
2003,12,1.22290364254637
2004,1,0.976463775002599
2004,2,7.37965341609373
2004,3,17.0660944715858
2004,4,18.671428359295
2004,5,60.123606016958
2004,6,94.3685164011107
2004,7,101.254250627385
2004,8,89.3421736483376
2004,9,37.3652049953225
2004,10,14.5097634498018
2004,11,12.5431447960441
2004,12,6.86359384048825
2005,1,3.48544020907889
2005,2,12.3771290260309
2005,3,37.3326403635122
2005,4,56.5564646659638
2005,5,89.7364982255023
2005,6,105.977013201075
2005,7,99.843888748645
2005,8,72.6523914883507
2005,9,52.7988803587604
2005,10,9.8856748288612
2005,11,2.54269931544481
2005,12,5.03703428715679
2006,1,0.874270525518614
2006,2,5.5581426428879
2006,3,19.9643467027011
2006,4,60.8338357364537
2006,5,57.8626137831697
2006,6,89.6999094189448
2006,7,95.0843740255112
2006,8,89.0869578129873
2006,9,51.1852456825505
2006,10,20.769463789852
2006,11,2.44763375554995
2006,12,3.53035950284365
2007,1,2.81989219369496
2007,2,3.79629657128432
2007,3,14.2846621029654
2007,4,32.0063258245103
2007,5,60.0370194378035
2007,6,76.6443134401497
2007,7,95.8664152176173
2007,8,70.4041993971163
2007,9,50.8555751897005
2007,10,11.7360378955496
2007,11,2.89382712382876
2007,12,4.60870469091071
2008,1,1.0084938300937
2008,2,6.09356577521049
2008,3,15.7092496621772
2008,4,17.3734909344698
2008,5,55.5523810938034
2008,6,78.8558573274134
2008,7,97.277950195269
2008,8,65.4772433660514
2008,9,38.7099624311361
2008,10,8.61042721589475
2008,11,6.55875146637364
2008,12,8.17148033203154
2009,1,3.6503274282405
2009,2,5.42056338446461
2009,3,23.3404956714135
2009,4,23.9939414638493
2009,5,49.9243276955289
2009,6,82.7202084849205
2009,7,76.3378376371709
2009,8,79.8732310707869
2009,9,31.8723549589415
2009,10,14.7293705359132
2009,11,3.38606833672394
2009,12,5.23013527760866
